Compound Name,Compound formula,mz,RT,Fold change,p-value,Compound concentration ratio
1,C21H26N2S2,371.1617,18.8,0.47,0,1/2
2,C25H31NO6,442.2233,17.84,21.23,0,16/1
3,C14H17N3O2S,292.1118,3.1,1.91,0.019,2/1
4,C27H31N7OS,502.2395,22.82,1.06,0.29,1/1
5,C20H23NO4,342.1706,3.23,1.07,0.399,1/1
6,C20H22N8O5,455.1791,17.06,0.93,0.098,1/1
7,C21H24ClO6,408.1344,28.84,0.84,0.157,1/1
8,C20H30N4O2,359.2447,0.73,0.99,0.847,1/1
9,C31H38N6O2,527.3126,27,0.85,0.151,1/1
10,C31H38N8O3,571.3155,5.62,1.01,0.932,1/1
11,C14H11Cl3N2O3,360.9916,28.73,0.95,0.463,1/1
12,C18H17NO4,312.1234,23.55,0.67,0.073,1/1
13,C11H12N2O2,205.0975,3.47,0.91,0.113,1/1
14,C15H20BrN3O,338.0867,3.2,0.94,0.406,1/1
15,C17H11F6N7O,444.0999,19.56,1.05,0.36,1/1
16,C23H20N6O,397.1778,4.56,0.77,0.032,1/1
17,C27H27N5O2,454.2245,3.27,1.18,0.042,1/1
18,C26H27N5O2,442.2246,3.31,1.14,0.011,1/1
19,C26H35N7O2S,510.2657,3.66,1.07,0.166,1/1
20,C18H15NO4,310.1077,23.68,1.03,0.144,1/1
21,C10H17NOS,200.1107,3.38,0.91,0.112,1/1
22,C19H20N2O2,309.1601,4.31,0.86,0.072,1/1
23,C21H15F4N5O2S,478.0977,22.69,0.23,0.2,1/4
24,C15H24N2O4S,329.1535,0.53,0.99,0.707,1/1
25,C25H27NO2,374.2121,19.34,0.98,0.716,1/1
26,C22H21N3O3S,408.1383,27,1.01,0.711,1/1
27,C19H24N2S,313.1736,12.18,4.12,0,4/1
28,C24H30F2O6,453.2091,15.48,0.05,0,1/16
29,C26H32F2O7,495.2201,25.98,0.45,0,1/2
30,C21H23ClFNO2,376.1461,12.58,1.07,0.16,1/1
31,C26H28Cl2N4O4,531.1575,12.35,0.95,0.542,1/1
32,C18H34N2O6S,407.2218,3.22,0.26,0,1/4
33,C22H32O3,345.2429,24.7,0.55,0,1/2
34,C15H25NO3,268.1912,4.17,2.21,0,2/1
35,C18H14Cl4N2O,416.9913,24.88,3.68,0,4/1
36,C19H21N,264.1751,12.26,0.27,0,1/4
37,C16H18FN3O3,320.141,3.38,22.46,0,16/1
38,C22H23NO7,414.1554,5.02,0.8,0.032,1/1
39,C18H23NO,270.1856,10.04,0.89,0.05,1/1
40,C16H24N2O,261.1965,6.81,12.59,0,16/1
41,C20H21NO4,340.1549,4.82,0.12,0,1/4
42,C11H11N5,214.1091,5.47,0.06,0,1/16
43,C19H29NO,288.2324,9.72,3.43,0,4/1
44,C21H30O2,315.2323,28.21,0.46,0.001,1/2
45,C17H23N3O,286.1917,4.19,9.21,0,16/1
46,C13H12N2O3S,277.0646,6.46,0.51,0,1/2
47,C18H14N4O5S,399.0764,11.55,0.24,0,1/4
48,C13H24N4O3S,317.1647,3.81,0.06,0,1/16
49,C19H17NOS,308.1106,31.54,1.83,0.001,2/1
50,C21H24F3N3S,408.1721,16.69,15.01,0,16/1
51,C20H31NO,302.2482,11.46,0.26,0,1/4
52,C16H21N3,256.1812,4.3,9.74,0,16/1
53,C19H22N2,279.186,5.24,0.99,0.883,1/1
54,C16H24N2,245.2016,9.63,3.41,0,4/1
55,C10H13NO2,180.1022,5.88,0.05,0,1/16
56,C21H26N2O3,355.2022,4.54,1.99,0,2/1
57,C18H28N2O4,337.2127,3.67,0.06,0,1/16
58,C19H19NOS,310.1264,5.46,1.11,0.134,1/1
59,C18H19ClN4,327.1377,4.98,0.48,0,1/2
60,C21H21NO6,384.1448,4.12,0.05,0,1/16
61,C14H22N2O,235.1808,3.59,0.53,0.001,1/2
62,C13H10N2,195.092,3.47,1.03,0.396,1/1
63,C22H26F3N3OS,438.1831,15.79,0.29,0,1/4
64,C20H21ClO4,361.1206,31.63,1.87,0.001,2/1
65,C15H15NO2,242.1179,28.54,4.48,0,4/1
66,C25H35NO5,430.2596,12.4,0.45,0.001,1/2
67,C12H21N,180.1749,5.13,2.03,0,2/1
68,C24H26BrN3O3,484.1241,14.2,4.2,0,4/1
69,C26H29N3O6,480.214,12.53,0.37,0,1/2
70,C17H19NO,254.1543,5.53,0.06,0,1/16
71,C10H9ClN4O2S,285.0211,4.73,2,0,2/1
72,C12H14N4O4S,311.0813,6.9,0.08,0,1/16
73,C18H15Cl3N2S,397.0101,22.36,14.57,0,16/1
74,C20H35NOS,338.2515,25.73,1.72,0,2/1
75,C25H28O3,377.2121,31.73,2.91,0.004,4/1
76,C18H15Cl3N2O,381.0328,21.77,15.15,0,16/1
77,C14H21N3O3S,312.1379,16.03,4.02,0,4/1
78,C17H13N3O5S2,404.0377,4.96,4.15,0,4/1
79,C23H31NO2,354.2431,20.1,0.31,0,1/4
80,C21H25NO2,324.1962,10.37,1.69,0.005,2/1
81,C32H47F5O3S,607.3258,31.43,0.22,0,1/4
82,C25H32ClN5O2,470.233,16.51,0.41,0,1/2
83,C23H27FN4O3,427.2148,4.56,3.68,0,4/1
84,C19H28N2O4,349.2128,3.51,1.15,0.136,1/1
85,C19H21NS,296.147,11.56,1.69,0.003,2/1
86,C21H35NO,318.2795,21.48,1.73,0.003,2/1
87,C50H75NO14,914.5281,31.9,0.21,0,1/4
88,C15H13ClFNO2,294.0696,27.18,4.29,0,4/1
89,C17H19N3,266.1656,6.6,16.85,0,16/1
