Compound Name,Compound formula,mz,RT,Fold change,Compound concentration ratio,p-value
1,C19H24N2S,313.1734,12.32,4.44,4/1,0
2,C24H30F2O6,453.2079,15.8,0.05,1/16,0
3,C26H32F2O7,495.2184,26.07,0.54,1/2,0.001
4,C21H23ClFNO2,376.1464,12.96,1.35,1/1,0.014
5,C26H28Cl2N4O4,531.1562,12.46,1.17,1/1,0.284
6,C18H34N2O6S,407.2227,3.3,0.28,1/4,0
7,C20H23N,278.1905,12.39,0.54,1/2,0
8,C22H32O3,345.2421,25.02,0.54,1/2,0
9,C15H25NO3,268.1907,3.94,2.06,2/1,0.001
10,C18H14Cl4N2O,416.9905,24.58,3.91,4/1,0
11,C19H21N,264.1749,12.18,0.27,1/4,0
12,C16H18FN3O3,320.1409,3.42,16.15,16/1,0
13,C22H23NO7,414.1546,5.18,0.99,1/1,0.936
14,C18H23NO,270.1851,10,0.92,1/1,0.3
15,C16H24N2O,261.1963,6.83,12.67,16/1,0
16,C20H21NO4,340.1543,4.95,0.09,1/16,0
17,C11H11N5,214.1088,5.53,0.09,1/16,0
18,C21H28O5,361.1992,8.59,18.5,16/1,0
19,C19H29NO,288.2323,9.9,4.07,4/1,0
20,C21H30O2,315.2316,28.13,0.54,1/2,0.001
21,C17H23N3O,286.1914,4.3,14.44,16/1,0
22,C12H13ClN4,249.0903,4.99,1.34,1/1,0.006
23,C13H12N2O3S,277.0641,6.57,0.47,1/2,0
24,C18H14N4O5S,399.0755,11.84,0.27,1/4,0
25,C21H26N2S2,371.1612,18.84,0.55,1/2,0
26,C13H24N4O3S,317.1642,3.75,0.06,1/16,0
27,C21H24F3N3S,408.1716,17,16.61,16/1,0
28,C20H31NO,302.248,11.24,0.27,1/4,0
29,C16H21N3,256.1808,4.2,15.22,16/1,0
30,C19H22N2,279.1856,5.1,1.01,1/1,0.828
31,C16H24N2,245.2014,9.47,3.89,4/1,0
32,C10H13NO2,180.1017,5.91,0.07,1/16,0
33,C21H26N2O3,355.2015,4.36,1.91,2/1,0.001
34,C18H28N2O4,337.2121,3.78,0.07,1/16,0
35,C19H19NOS,310.1261,5.6,1.08,1/1,0.436
36,C18H19ClN4,327.1369,5.25,0.49,1/2,0
37,C21H21NO6,384.144,4.18,0.06,1/16,0
38,C14H22N2O,235.1802,3.57,0.46,1/2,0.002
39,C13H10N2,195.0917,3.52,0.86,1/1,0.09
40,C22H26F3N3OS,438.182,15.81,0.28,1/4,0
41,C20H21ClO4,361.1199,31.6,1.82,2/1,0.031
42,C15H15NO2,242.1175,25.46,1.32,1/1,0.133
43,C25H35NO5,430.2586,12.39,0.51,1/2,0
44,C12H21N,180.1747,5.24,2.32,2/1,0.001
45,C24H26BrN3O3,484.1226,14.09,4.93,4/1,0.001
46,C26H29N3O6,480.2131,12.8,0.28,1/4,0
47,C17H19NO,254.1539,5.32,0.06,1/16,0
48,C10H9ClN4O2S,285.0206,4.68,2.63,2/1,0.005
49,C12H14N4O4S,311.0809,7.22,0.05,1/16,0
50,C18H15Cl3N2S,397.0093,22.58,15.95,16/1,0
51,C20H35NOS,338.2514,25.45,1.8,2/1,0.001
52,C25H28O3,377.2109,31.56,0.14,1/4,0
53,C18H15Cl3N2O,381.0322,21.68,19.29,16/1,0
54,C14H21N3O3S,312.1378,16.24,5.18,4/1,0
55,C17H13N3O5S2,404.0368,5.23,5.25,4/1,0
56,C23H31NO2,354.2429,20.1,0.28,1/4,0
57,C21H25NO2,324.196,10.55,1.97,2/1,0.001
58,C32H47F5O3S,607.3224,31.18,0.15,1/4,0
59,C25H32ClN5O2,470.2307,16.48,0.41,1/2,0.025
60,C23H27FN4O3,427.2136,4.62,3.79,4/1,0
61,C19H28N2O4,349.2121,3.64,1.25,1/1,0.055
62,C21H19F2N3O3,400.1475,4.07,0.35,1/2,0.001
63,C19H21NS,296.1469,11.69,2.06,2/1,0.001
64,C21H35NO,318.2793,21.44,1.84,2/1,0.004
65,C25H31NO6,442.2221,17.92,18.53,16/1,0
66,C50H75NO14,914.5269,31.72,0.14,1/4,0
67,C15H13ClFNO2,294.069,27.23,4.65,4/1,0
68,C17H19N3,266.1653,6.48,14.97,16/1,0
69,C19H24N2O4,345.1807,3.94,1.22,1/1,0.017
70,C22H38O5,383.2803,5.33,1,1/1,0.978
71,C22H38O5,383.2789,31.12,1.41,1/1,0.032
72,C12H20N4O7,333.1403,0.64,4.76,4/1,0
73,C25H37NO4,416.2774,18.99,1.16,1/1,0.155
74,C17H16FN3O2S,346.1019,5.3,1.08,1/1,0.613
75,C22H28F2O5,411.1975,12.3,1.14,1/1,0.038
76,C22H28O2,325.2163,25.66,1.18,1/1,0.002
77,C49H66N10O10S2,1019.4478,4.46,1.68,1/1,0.07
78,C20H15BrN6O,435.0565,29.5,1.06,1/1,0.519
79,C18H18ClNO5,364.0948,26.56,1.16,1/1,0.005
80,C9H11NO5,214.071,0.67,3.06,4/1,0
81,C13H16N2,201.1385,5.12,1.04,1/1,0.768
82,C27H36N2O5,469.2698,5.36,1.19,1/1,0.04
83,C20H25NO2,312.1959,13.1,1.02,1/1,0.895
84,C10H8F2N4O,239.0743,15.17,1.36,1/1,0.006
85,C19H30O3,307.2267,17.53,1.19,1/1,0.015
86,C19H20N2O3,325.1546,4.29,1.22,1/1,0.008
87,C15H28N4O4,329.2172,3.37,1.16,1/1,0.046
88,C30H34N2O3,471.264,12.3,0.99,1/1,0.662
89,C36H41N3O6,612.307,25.49,1.06,1/1,0.74
90,C20H29FO3,337.2176,13.04,1.3,1/1,0
91,C18H26ClN3O3,368.1737,3.71,1.18,1/1,0.045
92,C25H24FNO4,422.176,6.05,0.97,1/1,0.553
93,C22H36N2O5S,441.2419,8.4,1.17,1/1,0.057
94,C15H15NO3,258.1127,16.84,1.64,1/1,0.059
