Compound Name,Compound formula,mz,RT,Fold change,p-value,Compound concentration ratio
1,C19H24N2S,313.1734,12.27,4.44,0,4/1
2,C24H30F2O6,453.2079,15.98,0.05,0,1/16
3,C26H32F2O7,495.2184,26.16,0.54,0.001,1/2
4,C21H23ClFNO2,376.1464,13,1.35,0.014,1/1
5,C26H28Cl2N4O4,531.1562,12.32,1.17,0.284,1/1
6,C18H34N2O6S,407.2227,3.16,0.28,0,1/4
7,C20H23N,278.1905,12.21,0.54,0,1/2
8,C22H32O3,345.2421,25.17,0.54,0,1/2
9,C15H25NO3,268.1907,3.98,2.06,0.001,2/1
10,C18H14Cl4N2O,416.9905,24.66,3.91,0,4/1
11,C19H21N,264.1749,11.99,0.27,0,1/4
12,C16H18FN3O3,320.1409,3.61,16.15,0,16/1
13,C22H23NO7,414.1546,5.31,0.99,0.936,1/1
14,C18H23NO,270.1851,9.88,0.92,0.3,1/1
15,C16H24N2O,261.1963,6.7,12.67,0,16/1
16,C20H21NO4,340.1543,4.82,0.09,0,1/16
17,C11H11N5,214.1088,5.45,0.09,0,1/16
18,C21H28O5,361.1992,8.6,18.5,0,16/1
19,C19H29NO,288.2323,9.87,4.07,0,4/1
20,C21H30O2,315.2316,28.05,0.54,0.001,1/2
21,C17H23N3O,286.1914,4.34,14.44,0,16/1
22,C12H13ClN4,249.0903,4.85,1.34,0.006,1/1
23,C13H12N2O3S,277.0641,6.49,0.47,0,1/2
24,C18H14N4O5S,399.0755,11.79,0.27,0,1/4
25,C21H26N2S2,371.1612,18.82,0.55,0,1/2
26,C13H24N4O3S,317.1642,3.86,0.06,0,1/16
27,C21H24F3N3S,408.1716,16.88,16.61,0,16/1
28,C20H31NO,302.248,11.25,0.27,0,1/4
29,C16H21N3,256.1808,4.24,15.22,0,16/1
30,C19H22N2,279.1856,4.92,1.01,0.828,1/1
31,C16H24N2,245.2014,9.51,3.89,0,4/1
32,C10H13NO2,180.1017,5.78,0.07,0,1/16
33,C21H26N2O3,355.2015,4.19,1.91,0.001,2/1
34,C18H28N2O4,337.2121,3.96,0.07,0,1/16
35,C19H19NOS,310.1261,5.79,1.08,0.436,1/1
36,C18H19ClN4,327.1369,5.37,0.49,0,1/2
37,C21H21NO6,384.144,4.1,0.06,0,1/16
38,C14H22N2O,235.1802,3.41,0.46,0.002,1/2
39,C13H10N2,195.0917,3.59,0.86,0.09,1/1
40,C22H26F3N3OS,438.182,15.79,0.28,0,1/4
41,C20H21ClO4,361.1199,31.45,1.82,0.031,2/1
42,C15H15NO2,242.1175,25.46,1.32,0.133,1/1
43,C25H35NO5,430.2586,12.2,0.51,0,1/2
44,C12H21N,180.1747,5.4,2.32,0.001,2/1
45,C24H26BrN3O3,484.1226,13.99,4.93,0.001,4/1
46,C26H29N3O6,480.2131,12.87,0.28,0,1/4
47,C17H19NO,254.1539,5.24,0.06,0,1/16
48,C10H9ClN4O2S,285.0206,4.69,2.63,0.005,2/1
49,C12H14N4O4S,311.0809,7.24,0.05,0,1/16
50,C18H15Cl3N2S,397.0093,22.45,15.95,0,16/1
51,C20H35NOS,338.2514,25.64,1.8,0.001,2/1
52,C25H28O3,377.2109,31.67,0.14,0,1/4
53,C18H15Cl3N2O,381.0322,21.86,19.29,0,16/1
54,C14H21N3O3S,312.1378,16.4,5.18,0,4/1
55,C17H13N3O5S2,404.0368,5.27,5.25,0,4/1
56,C23H31NO2,354.2429,20.27,0.28,0,1/4
