id,area,rt,mz_range:min,mz_range:max,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,alignment_scores:ion_mobility_absolute_error,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,datafile:SB2.mzML:area,datafile:SB2.mzML:rt,datafile:SB2.mzML:mz_range:min,datafile:SB2.mzML:mz_range:max,datafile:SB2.mzML:fwhm,datafile:SB2.mzML:rt_range:min,datafile:SB2.mzML:rt_range:max,datafile:SB2.mzML:feature_state,datafile:SB2.mzML:mz,datafile:SB2.mzML:intensity_range:min,datafile:SB2.mzML:intensity_range:max,datafile:SB2.mzML:asymmetry_factor,datafile:SB2.mzML:tailing_factor,datafile:SB2.mzML:height,datafile:SA4.mzML:area,datafile:SA4.mzML:rt,datafile:SA4.mzML:mz_range:min,datafile:SA4.mzML:mz_range:max,datafile:SA4.mzML:fwhm,datafile:SA4.mzML:rt_range:min,datafile:SA4.mzML:rt_range:max,datafile:SA4.mzML:feature_state,datafile:SA4.mzML:mz,datafile:SA4.mzML:intensity_range:min,datafile:SA4.mzML:intensity_range:max,datafile:SA4.mzML:asymmetry_factor,datafile:SA4.mzML:tailing_factor,datafile:SA4.mzML:height,datafile:SB4.mzML:area,datafile:SB4.mzML:rt,datafile:SB4.mzML:mz_range:min,datafile:SB4.mzML:mz_range:max,datafile:SB4.mzML:fwhm,datafile:SB4.mzML:rt_range:min,datafile:SB4.mzML:rt_range:max,datafile:SB4.mzML:feature_state,datafile:SB4.mzML:mz,datafile:SB4.mzML:intensity_range:min,datafile:SB4.mzML:intensity_range:max,datafile:SB4.mzML:asymmetry_factor,datafile:SB4.mzML:tailing_factor,datafile:SB4.mzML:height,datafile:SA5.mzML:area,datafile:SA5.mzML:rt,datafile:SA5.mzML:mz_range:min,datafile:SA5.mzML:mz_range:max,datafile:SA5.mzML:fwhm,datafile:SA5.mzML:rt_range:min,datafile:SA5.mzML:rt_range:max,datafile:SA5.mzML:feature_state,datafile:SA5.mzML:mz,datafile:SA5.mzML:intensity_range:min,datafile:SA5.mzML:intensity_range:max,datafile:SA5.mzML:asymmetry_factor,datafile:SA5.mzML:tailing_factor,datafile:SA5.mzML:height,datafile:SB3.mzML:area,datafile:SB3.mzML:rt,datafile:SB3.mzML:mz_range:min,datafile:SB3.mzML:mz_range:max,datafile:SB3.mzML:fwhm,datafile:SB3.mzML:rt_range:min,datafile:SB3.mzML:rt_range:max,datafile:SB3.mzML:feature_state,datafile:SB3.mzML:mz,datafile:SB3.mzML:intensity_range:min,datafile:SB3.mzML:intensity_range:max,datafile:SB3.mzML:asymmetry_factor,datafile:SB3.mzML:tailing_factor,datafile:SB3.mzML:height,datafile:SB5.mzML:area,datafile:SB5.mzML:rt,datafile:SB5.mzML:mz_range:min,datafile:SB5.mzML:mz_range:max,datafile:SB5.mzML:fwhm,datafile:SB5.mzML:rt_range:min,datafile:SB5.mzML:rt_range:max,datafile:SB5.mzML:feature_state,datafile:SB5.mzML:mz,datafile:SB5.mzML:intensity_range:min,datafile:SB5.mzML:intensity_range:max,datafile:SB5.mzML:asymmetry_factor,datafile:SB5.mzML:tailing_factor,datafile:SB5.mzML:height,datafile:SA1.mzML:area,datafile:SA1.mzML:rt,datafile:SA1.mzML:mz_range:min,datafile:SA1.mzML:mz_range:max,datafile:SA1.mzML:fwhm,datafile:SA1.mzML:rt_range:min,datafile:SA1.mzML:rt_range:max,datafile:SA1.mzML:feature_state,datafile:SA1.mzML:mz,datafile:SA1.mzML:intensity_range:min,datafile:SA1.mzML:intensity_range:max,datafile:SA1.mzML:asymmetry_factor,datafile:SA1.mzML:tailing_factor,datafile:SA1.mzML:height,datafile:SA3.mzML:area,datafile:SA3.mzML:rt,datafile:SA3.mzML:mz_range:min,datafile:SA3.mzML:mz_range:max,datafile:SA3.mzML:fwhm,datafile:SA3.mzML:rt_range:min,datafile:SA3.mzML:rt_range:max,datafile:SA3.mzML:feature_state,datafile:SA3.mzML:mz,datafile:SA3.mzML:intensity_range:min,datafile:SA3.mzML:intensity_range:max,datafile:SA3.mzML:asymmetry_factor,datafile:SA3.mzML:tailing_factor,datafile:SA3.mzML:height,datafile:SA2.mzML:area,datafile:SA2.mzML:rt,datafile:SA2.mzML:mz_range:min,datafile:SA2.mzML:mz_range:max,datafile:SA2.mzML:fwhm,datafile:SA2.mzML:rt_range:min,datafile:SA2.mzML:rt_range:max,datafile:SA2.mzML:feature_state,datafile:SA2.mzML:mz,datafile:SA2.mzML:intensity_range:min,datafile:SA2.mzML:intensity_range:max,datafile:SA2.mzML:asymmetry_factor,datafile:SA2.mzML:tailing_factor,datafile:SA2.mzML:height,datafile:SB1.mzML:area,datafile:SB1.mzML:rt,datafile:SB1.mzML:mz_range:min,datafile:SB1.mzML:mz_range:max,datafile:SB1.mzML:fwhm,datafile:SB1.mzML:rt_range:min,datafile:SB1.mzML:rt_range:max,datafile:SB1.mzML:feature_state,datafile:SB1.mzML:mz,datafile:SB1.mzML:intensity_range:min,datafile:SB1.mzML:intensity_range:max,datafile:SB1.mzML:asymmetry_factor,datafile:SB1.mzML:tailing_factor,datafile:SB1.mzML:height
1,9.88E5,0.5679,109.07608,109.07647,0.4,4,9,0.849,2.63,0.00029,0.0539,0,0.4369,0.6888,109.0763,8.637E3,1.31E7,1.31E7,9.88E5,0.5757,109.07608,109.07647,0.0689,0.4929,0.6888,ESTIMATED,109.07628,4.796E5,1.193E7,1.2943,1.201,1.193E7,9.301E5,0.5818,109.07603,109.0764,0.0848,0.4384,0.6339,ESTIMATED,109.07634,8.637E3,1.299E7,0.5115,0.791,1.299E7,9.213E5,0.5846,109.07616,109.07649,0.0753,0.4384,0.6338,ESTIMATED,109.07645,1.004E4,1.272E7,0.4952,0.7774,1.272E7,3.126E5,0.526,109.07629,109.07639,0.0535,0.4906,0.5559,ESTIMATED,109.07636,6.159E5,6.909E6,0.8459,0.9219,6.909E6,8.49E5,0.5936,109.07604,109.07647,0.0941,0.4379,0.6342,ESTIMATED,109.07614,1.598E4,1.132E7,0.4835,0.7093,1.132E7,8.849E5,0.5918,109.07608,109.07651,0.0868,0.4369,0.6353,ESTIMATED,109.0764,1.081E4,1.205E7,0.6059,0.7238,1.205E7,3.194E5,0.5228,109.07601,109.07631,0.1201,0.4905,0.5556,ESTIMATED,109.07607,1.111E6,6.588E6,1.0134,1.0067,6.588E6,9.345E5,0.589,109.07601,109.07636,0.0767,0.4376,0.6354,ESTIMATED,109.07631,1.907E4,1.194E7,0.5093,0.7312,1.194E7,9.761E5,0.5916,109.07614,109.07638,0.0914,0.437,0.6351,ESTIMATED,109.07632,1.032E4,1.31E7,0.4593,0.7126,1.31E7,3.189E5,0.5218,109.07613,109.07646,0.0521,0.4924,0.5576,ESTIMATED,109.07634,9.589E5,7.014E6,1.2727,1.1062,7.014E6
2,1.876E6,0.5754,150.07766,150.07794,1,10,0,0.907,1.27,0.00019,0.007,0,0.5539,0.6699,150.0777,2.457E4,4.642E7,4.642E7,1.701E6,0.5757,150.07766,150.07794,0.0238,0.5583,0.6685,ESTIMATED,150.07777,2.035E5,4.642E7,4.5788,3.6044,4.642E7,1.763E6,0.5731,150.07714,150.07798,0.0264,0.5556,0.6687,ESTIMATED,150.07764,2.457E4,4.214E7,10.9266,3.977,4.214E7,1.653E6,0.5759,150.07773,150.07816,0.025,0.5585,0.6686,ESTIMATED,150.07779,8.399E5,4.313E7,8.9264,3.163,4.313E7,1.784E6,0.5733,150.07756,150.07778,0.0301,0.5559,0.669,ESTIMATED,150.07767,1.071E6,3.918E7,6.7759,3.2479,3.918E7,1.625E6,0.5791,150.07723,150.07788,0.0283,0.5588,0.669,ESTIMATED,150.07775,4.382E4,3.777E7,4.9984,3.0381,3.777E7,1.698E6,0.5774,150.0777,150.07793,0.0259,0.5571,0.6672,ESTIMATED,150.07778,4.353E5,4.251E7,4.0904,2.7122,4.251E7,1.876E6,0.573,150.07755,150.07775,0.0264,0.5556,0.6686,ESTIMATED,150.07765,3.732E5,4.291E7,5.4079,3.5873,4.291E7,1.81E6,0.5775,150.07752,150.07772,0.0262,0.5543,0.6673,ESTIMATED,150.0776,2.37E5,4.181E7,3.2519,2.6717,4.181E7,1.871E6,0.5771,150.07754,150.07804,0.0268,0.5539,0.6699,ESTIMATED,150.07761,2.718E4,4.365E7,3.3221,2.7991,4.365E7,1.748E6,0.5721,150.07758,150.07784,0.0271,0.5546,0.6677,ESTIMATED,150.07772,2.502E4,4.292E7,7.1294,3.8627,4.292E7
3,4.43E5,0.576,136.06186,136.06241,1,10,0,0.894,2.54,0.00035,0.0197,0,0.5539,0.6794,136.06201,2.967E4,7.423E6,7.423E6,4.171E5,0.5873,136.06186,136.06241,0.0538,0.5583,0.6772,ESTIMATED,136.06197,1.248E5,7.109E6,3.438,2.0493,7.109E6,4.246E5,0.5731,136.06179,136.06231,0.082,0.5556,0.6774,ESTIMATED,136.06195,2.967E4,6.404E6,7.4679,4.0158,6.404E6,4E5,0.5788,136.06194,136.06241,0.0767,0.5585,0.6773,ESTIMATED,136.0622,3.457E5,6.206E6,5.3242,2.9266,6.206E6,4.371E5,0.5676,136.06183,136.06232,0.0624,0.5559,0.6777,ESTIMATED,136.06194,4.141E5,6.859E6,11.4246,5.242,6.859E6,4.051E5,0.5791,136.0619,136.06209,0.0368,0.5588,0.6777,ESTIMATED,136.06197,9.112E4,6.657E6,5.7472,3.2418,6.657E6,4.119E5,0.5745,136.06191,136.06242,0.06,0.5571,0.6789,ESTIMATED,136.06203,2.11E5,6.881E6,6.7782,3.4965,6.881E6,4.369E5,0.5788,136.06165,136.06198,0.0879,0.5556,0.6773,ESTIMATED,136.06186,2.201E5,7.145E6,4.7678,2.6236,7.145E6,4.29E5,0.5688,136.06178,136.06227,0.0566,0.5543,0.6789,ESTIMATED,136.06201,1.768E5,6.466E6,9.1292,4.287,6.466E6,4.43E5,0.5742,136.06178,136.0623,0.0519,0.5539,0.6786,ESTIMATED,136.06209,4.093E4,7.423E6,6.1166,3.3836,7.423E6,4.079E5,0.5779,136.0619,136.06239,0.0561,0.5546,0.6794,ESTIMATED,136.06209,4.944E4,6.523E6,5.0834,2.9324,6.523E6
4,6.198E6,0.576,146.11753,146.11807,1,10,0,0.861,3.71,0.00054,0.0087,0,0.5509,0.6794,146.11782,2.469E4,1.71E8,1.71E8,5.458E6,0.5757,146.11753,146.11807,0.028,0.5583,0.6772,ESTIMATED,146.11768,1.198E6,1.57E8,3.907,3.3604,1.57E8,5.656E6,0.5731,146.11747,146.11799,0.0309,0.5556,0.6774,ESTIMATED,146.11787,4.346E4,1.552E8,4.1835,4.0193,1.552E8,5.515E6,0.5759,146.11768,146.11815,0.0258,0.5554,0.6773,ESTIMATED,146.11804,4.544E4,1.599E8,2.9046,3.2093,1.599E8,5.588E6,0.5705,146.11783,146.11804,0.0294,0.553,0.6777,ESTIMATED,146.11793,4.307E4,1.482E8,4.2996,4.2212,1.482E8,5.539E6,0.5791,146.11749,146.11804,0.0301,0.5558,0.6777,ESTIMATED,146.11756,2.469E4,1.492E8,2.7655,2.8578,1.492E8,5.431E6,0.5774,146.11759,146.11811,0.0283,0.5571,0.6789,ESTIMATED,146.11795,2.991E6,1.509E8,2.7565,2.9159,1.509E8,6.198E6,0.5788,146.1174,146.11792,0.031,0.5556,0.6773,ESTIMATED,146.1175,2.465E6,1.592E8,2.1231,2.6278,1.592E8,5.689E6,0.5775,146.11742,146.11797,0.0306,0.5543,0.6789,ESTIMATED,146.11784,1.501E6,1.444E8,3.1432,2.6524,1.444E8,5.819E6,0.5771,146.1178,146.11797,0.0289,0.5509,0.6786,ESTIMATED,146.11787,2.863E4,1.58E8,2.9737,2.7601,1.58E8,6.127E6,0.575,146.11753,146.11808,0.0278,0.5546,0.6794,ESTIMATED,146.11794,2.206E5,1.71E8,2.848,2.8204,1.71E8
5,4.912E6,0.5766,172.1191,172.11956,1,10,0,0.907,1.3,0.00022,0.0087,0,0.553,0.6794,172.11942,2.123E4,1.386E8,1.386E8,4.627E6,0.5757,172.1191,172.11956,0.027,0.5583,0.6772,ESTIMATED,172.11949,5.133E5,1.353E8,3.2174,2.6862,1.353E8,4.721E6,0.5789,172.11927,172.11975,0.0291,0.5586,0.6774,ESTIMATED,172.11936,3.234E6,1.275E8,2.4429,2.0935,1.275E8,4.503E6,0.5759,172.11939,172.12003,0.0281,0.5585,0.6773,ESTIMATED,172.11954,1.954E6,1.292E8,3.0881,2.3646,1.292E8,4.713E6,0.5705,172.11932,172.11987,0.0342,0.553,0.6777,ESTIMATED,172.1194,2.123E4,1.164E8,6.8957,3.1742,1.164E8,4.525E6,0.5791,172.11939,172.1196,0.0305,0.5588,0.6777,ESTIMATED,172.11948,1.901E5,1.183E8,2.8246,2.5392,1.183E8,4.662E6,0.5774,172.1194,172.1196,0.0285,0.5571,0.6789,ESTIMATED,172.11951,1.119E6,1.324E8,2.6045,2.8634,1.324E8,4.365E6,0.5788,172.11926,172.11942,0.0297,0.5556,0.628,ESTIMATED,172.11935,1.353E6,1.295E8,2.0889,8.2762,1.295E8,4.796E6,0.5775,172.11923,172.11946,0.0304,0.5543,0.6789,ESTIMATED,172.11932,7.382E5,1.288E8,2.1906,2.4709,1.288E8,4.912E6,0.5771,172.11921,172.11981,0.0329,0.5539,0.6786,ESTIMATED,172.11932,1.346E5,1.301E8,2.4044,3.2825,1.301E8,4.887E6,0.575,172.11927,172.12011,0.0293,0.5546,0.6794,ESTIMATED,172.11944,5.356E4,1.386E8,2.7918,2.5524,1.386E8
6,2.557E5,0.5792,359.24372,359.24563,1,10,0,0.915,1.12,0.0004,0.0044,0,0.5598,0.6342,359.24504,7.508E4,9.059E6,9.059E6,2.362E5,0.5815,359.24372,359.24563,0.0272,0.5641,0.6163,ESTIMATED,359.24518,5.534E5,8.008E6,1.9997,1.4999,8.008E6,2.508E5,0.5789,359.24465,359.2455,0.0272,0.5644,0.631,ESTIMATED,359.24498,2.084E5,7.905E6,2.9887,1.9796,7.905E6,2.38E5,0.5788,359.24491,359.24569,0.0293,0.5643,0.6338,ESTIMATED,359.24524,1.881E5,8.691E6,3.2655,2.2685,8.691E6,2.526E5,0.5791,359.24462,359.24546,0.028,0.5618,0.6255,ESTIMATED,359.245,2.831E5,9.059E6,1.9544,1.6369,9.059E6,2.231E5,0.5791,359.24351,359.24538,0.0285,0.5646,0.6342,ESTIMATED,359.2451,2.055E5,7.088E6,2.9794,2.2066,7.088E6,2.238E5,0.5803,359.24354,359.24555,0.0356,0.56,0.6295,ESTIMATED,359.24517,7.508E4,7.356E6,2.353,1.7626,7.356E6,2.182E5,0.5788,359.24312,359.24527,0.031,0.5614,0.6222,ESTIMATED,359.2449,2.965E5,6.927E6,2.3238,1.6594,6.927E6,2.557E5,0.5804,359.24314,359.24527,0.0277,0.5601,0.6267,ESTIMATED,359.24484,2.062E5,7.837E6,1.5748,1.4616,7.837E6,2.544E5,0.5771,359.24311,359.24545,0.0304,0.5598,0.6293,ESTIMATED,359.24487,1.712E5,7.888E6,2.1573,1.6658,7.888E6,2.393E5,0.5779,359.24492,359.24556,0.0296,0.5605,0.6242,ESTIMATED,359.24514,2.401E5,7.923E6,2.6184,1.7315,7.923E6
7,1.569E5,0.5798,214.07068,214.07153,1,10,0,0.909,1.23,0.00026,0.0281,0,0.547,0.6686,214.07122,2.285E4,3.525E6,3.525E6,1.189E5,0.5815,214.07068,214.07153,0.0533,0.5523,0.622,ESTIMATED,214.07129,4.612E4,2.701E6,1.5536,1.2122,2.701E6,1.257E5,0.5876,214.07049,214.07138,0.047,0.5496,0.631,ESTIMATED,214.07113,2.285E4,2.84E6,1.2826,1.1205,2.84E6,1.521E5,0.5701,214.07071,214.07157,0.0496,0.5524,0.6686,ESTIMATED,214.07138,1.404E5,2.861E6,5.048,3.2952,2.861E6,1.25E5,0.5762,214.07097,214.07159,0.0468,0.547,0.6371,ESTIMATED,214.07124,3.088E4,3.061E6,2.4312,1.6174,3.061E6,1.115E5,0.5762,214.07061,214.07152,0.0516,0.5528,0.6284,ESTIMATED,214.07121,4.202E4,2.492E6,2.6902,1.7485,2.492E6,1.23E5,0.5774,214.07069,214.07157,0.0381,0.5511,0.6237,ESTIMATED,214.07135,9.702E4,2.737E6,2.0354,1.4543,2.737E6,1.03E5,0.5817,214.07042,214.07134,0.0408,0.5496,0.6193,ESTIMATED,214.07112,4.351E4,2.528E6,1.2884,1.0871,2.528E6,1.398E5,0.5775,214.07095,214.07128,0.048,0.5482,0.6383,ESTIMATED,214.07114,9.897E4,3.525E6,2.3312,1.6254,3.525E6,1.569E5,0.5713,214.07069,214.07143,0.0508,0.5509,0.6467,ESTIMATED,214.07114,1.957E5,2.966E6,3.8546,2.3421,2.966E6,1.136E5,0.5982,214.07091,214.07142,0.0508,0.5516,0.6126,ESTIMATED,214.07123,1.659E5,2.728E6,0.315,0.6557,2.728E6
8,9.944E5,0.5806,156.10225,156.10325,1,10,0,0.884,3.49,0.00055,0.0103,0,0.5576,0.6794,156.10254,2.655E4,2.882E7,2.882E7,9.006E5,0.5815,156.10225,156.10325,0.0237,0.5641,0.6772,ESTIMATED,156.10248,8.45E5,2.698E7,5.8211,3.5136,2.698E7,9.136E5,0.5789,156.10212,156.10299,0.0276,0.5586,0.6774,ESTIMATED,156.10257,2.655E4,2.53E7,3.8953,3.6176,2.53E7,9.047E5,0.5817,156.10275,156.10325,0.0242,0.5614,0.6773,ESTIMATED,156.10285,1.328E5,2.672E7,3.7192,3.1206,2.672E7,9.284E5,0.5791,156.10219,156.10296,0.0257,0.5589,0.6777,ESTIMATED,156.10263,1.58E5,2.726E7,3.3479,2.9265,2.726E7,8.771E5,0.5878,156.10221,156.10313,0.0267,0.5646,0.6777,ESTIMATED,156.10234,5.653E5,2.541E7,4.0354,2.1938,2.541E7,9.067E5,0.5832,156.10223,156.10303,0.0247,0.56,0.6789,ESTIMATED,156.10256,1.009E5,2.801E7,2.4566,2.9435,2.801E7,9.189E5,0.5788,156.10206,156.10283,0.0271,0.5614,0.6773,ESTIMATED,156.10231,9.354E5,2.66E7,4.383,3.408,2.66E7,9.598E5,0.5775,156.10209,156.10296,0.0263,0.5601,0.6789,ESTIMATED,156.1025,1.074E6,2.808E7,4.2193,3.3707,2.808E7,9.944E5,0.58,156.10212,156.1029,0.0277,0.5598,0.6786,ESTIMATED,156.10258,4.458E5,2.882E7,2.4378,2.9898,2.882E7,9.206E5,0.5779,156.10222,156.10324,0.0271,0.5576,0.6794,ESTIMATED,156.10263,6.066E4,2.603E7,3.8419,2.8908,2.603E7
9,1.047E6,0.5806,245.1396,245.14097,1,10,0,0.842,3.88,0.00095,0.0074,0,0.5568,0.6789,245.14022,2.735E4,3.523E7,3.523E7,9.711E5,0.5815,245.1396,245.14097,0.0275,0.5612,0.654,ESTIMATED,245.13985,8.638E4,3.391E7,2.499,1.8718,3.391E7,9.819E5,0.5818,245.13949,245.14077,0.0308,0.5586,0.6716,ESTIMATED,245.14033,2.735E4,2.977E7,2.1897,1.7297,2.977E7,1.025E6,0.5788,245.13977,245.14096,0.0302,0.5614,0.6425,ESTIMATED,245.14062,1.382E5,3.396E7,2.9389,2.134,3.396E7,1.006E6,0.5791,245.13958,245.14098,0.0268,0.5589,0.6719,ESTIMATED,245.14042,2.093E5,3.444E7,2.0844,1.7334,3.444E7,9.907E5,0.5849,245.13958,245.14077,0.0286,0.5617,0.669,ESTIMATED,245.13968,5.401E4,3.095E7,4.7195,1.6488,3.095E7,1.03E6,0.5803,245.13961,245.1409,0.0264,0.56,0.6585,ESTIMATED,245.14039,1.441E5,3.333E7,2.3615,1.8001,3.333E7,8.781E5,0.5788,245.13939,245.1406,0.0291,0.5585,0.6773,ESTIMATED,245.13967,1.515E5,2.76E7,2.5834,1.8531,2.76E7,1.037E6,0.5775,245.13948,245.14073,0.0281,0.5572,0.6789,ESTIMATED,245.14041,6.787E4,3.36E7,2.3487,1.9636,3.36E7,1.047E6,0.5829,245.13947,245.14077,0.0269,0.5568,0.6554,ESTIMATED,245.14038,5.472E4,3.523E7,1.5177,1.5824,3.523E7,1.006E6,0.5808,245.13963,245.14087,0.3466,0.5605,0.659,ESTIMATED,245.1405,2.759E5,3.247E7,1.9903,1.4975,3.247E7
10,6.315E5,0.5806,316.17616,316.17887,1,10,0,0.908,1.24,0.00039,0.0128,0,0.5572,0.6777,316.17738,5.76E4,1.654E7,1.654E7,5.929E5,0.5815,316.17616,316.17887,0.0282,0.5612,0.6714,ESTIMATED,316.17751,6.698E4,1.654E7,4.4075,3.0038,1.654E7,5.855E5,0.5818,316.17702,316.17791,0.0311,0.5615,0.6716,ESTIMATED,316.17725,1.086E5,1.595E7,3.4369,2.624,1.595E7,5.896E5,0.5846,316.17681,316.17836,0.0296,0.5643,0.6773,ESTIMATED,316.17757,5.98E5,1.615E7,3.296,2.6027,1.615E7,5.883E5,0.5791,316.17591,316.17877,0.0268,0.5589,0.6661,ESTIMATED,316.17734,1.642E5,1.649E7,3.758,2.8582,1.649E7,5.78E5,0.5878,316.17669,316.17785,0.0294,0.5646,0.6777,ESTIMATED,316.1775,2.132E5,1.565E7,4.2827,2.622,1.565E7,5.757E5,0.5803,316.17726,316.17828,0.0337,0.5629,0.673,ESTIMATED,316.17751,3.283E5,1.483E7,5.0743,3.0925,1.483E7,5.918E5,0.5817,316.17707,316.17774,0.0363,0.5614,0.6773,ESTIMATED,316.17728,2.901E5,1.544E7,3.6981,2.5608,1.544E7,6.151E5,0.5775,316.17701,316.17754,0.0317,0.5572,0.6644,ESTIMATED,316.1772,5.76E4,1.589E7,4.198,3.9176,1.589E7,6.315E5,0.5771,316.17656,316.17865,0.0291,0.5598,0.6757,ESTIMATED,316.17718,2.47E5,1.565E7,5.1163,3.0588,1.565E7,5.752E5,0.575,316.17726,316.1779,0.6076,0.5605,0.6648,ESTIMATED,316.17743,2.221E5,1.589E7,6.3365,3.8864,1.589E7
