id,area,rt,mz_range:min,mz_range:max,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,alignment_scores:ion_mobility_absolute_error,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,datafile:SB1.mzML:area,datafile:SB1.mzML:rt,datafile:SB1.mzML:mz_range:min,datafile:SB1.mzML:mz_range:max,datafile:SB1.mzML:fwhm,datafile:SB1.mzML:rt_range:min,datafile:SB1.mzML:rt_range:max,datafile:SB1.mzML:feature_state,datafile:SB1.mzML:mz,datafile:SB1.mzML:intensity_range:min,datafile:SB1.mzML:intensity_range:max,datafile:SB1.mzML:asymmetry_factor,datafile:SB1.mzML:tailing_factor,datafile:SB1.mzML:height,datafile:SA1.mzML:area,datafile:SA1.mzML:rt,datafile:SA1.mzML:mz_range:min,datafile:SA1.mzML:mz_range:max,datafile:SA1.mzML:fwhm,datafile:SA1.mzML:rt_range:min,datafile:SA1.mzML:rt_range:max,datafile:SA1.mzML:feature_state,datafile:SA1.mzML:mz,datafile:SA1.mzML:intensity_range:min,datafile:SA1.mzML:intensity_range:max,datafile:SA1.mzML:asymmetry_factor,datafile:SA1.mzML:tailing_factor,datafile:SA1.mzML:height,datafile:SB3.mzML:area,datafile:SB3.mzML:rt,datafile:SB3.mzML:mz_range:min,datafile:SB3.mzML:mz_range:max,datafile:SB3.mzML:fwhm,datafile:SB3.mzML:rt_range:min,datafile:SB3.mzML:rt_range:max,datafile:SB3.mzML:feature_state,datafile:SB3.mzML:mz,datafile:SB3.mzML:intensity_range:min,datafile:SB3.mzML:intensity_range:max,datafile:SB3.mzML:asymmetry_factor,datafile:SB3.mzML:tailing_factor,datafile:SB3.mzML:height,datafile:SB5.mzML:area,datafile:SB5.mzML:rt,datafile:SB5.mzML:mz_range:min,datafile:SB5.mzML:mz_range:max,datafile:SB5.mzML:fwhm,datafile:SB5.mzML:rt_range:min,datafile:SB5.mzML:rt_range:max,datafile:SB5.mzML:feature_state,datafile:SB5.mzML:mz,datafile:SB5.mzML:intensity_range:min,datafile:SB5.mzML:intensity_range:max,datafile:SB5.mzML:asymmetry_factor,datafile:SB5.mzML:tailing_factor,datafile:SB5.mzML:height,datafile:SB2.mzML:area,datafile:SB2.mzML:rt,datafile:SB2.mzML:mz_range:min,datafile:SB2.mzML:mz_range:max,datafile:SB2.mzML:fwhm,datafile:SB2.mzML:rt_range:min,datafile:SB2.mzML:rt_range:max,datafile:SB2.mzML:feature_state,datafile:SB2.mzML:mz,datafile:SB2.mzML:intensity_range:min,datafile:SB2.mzML:intensity_range:max,datafile:SB2.mzML:asymmetry_factor,datafile:SB2.mzML:tailing_factor,datafile:SB2.mzML:height,datafile:SA5.mzML:area,datafile:SA5.mzML:rt,datafile:SA5.mzML:mz_range:min,datafile:SA5.mzML:mz_range:max,datafile:SA5.mzML:fwhm,datafile:SA5.mzML:rt_range:min,datafile:SA5.mzML:rt_range:max,datafile:SA5.mzML:feature_state,datafile:SA5.mzML:mz,datafile:SA5.mzML:intensity_range:min,datafile:SA5.mzML:intensity_range:max,datafile:SA5.mzML:asymmetry_factor,datafile:SA5.mzML:tailing_factor,datafile:SA5.mzML:height,datafile:SB4.mzML:area,datafile:SB4.mzML:rt,datafile:SB4.mzML:mz_range:min,datafile:SB4.mzML:mz_range:max,datafile:SB4.mzML:fwhm,datafile:SB4.mzML:rt_range:min,datafile:SB4.mzML:rt_range:max,datafile:SB4.mzML:feature_state,datafile:SB4.mzML:mz,datafile:SB4.mzML:intensity_range:min,datafile:SB4.mzML:intensity_range:max,datafile:SB4.mzML:asymmetry_factor,datafile:SB4.mzML:tailing_factor,datafile:SB4.mzML:height,datafile:SA4.mzML:area,datafile:SA4.mzML:rt,datafile:SA4.mzML:mz_range:min,datafile:SA4.mzML:mz_range:max,datafile:SA4.mzML:fwhm,datafile:SA4.mzML:rt_range:min,datafile:SA4.mzML:rt_range:max,datafile:SA4.mzML:feature_state,datafile:SA4.mzML:mz,datafile:SA4.mzML:intensity_range:min,datafile:SA4.mzML:intensity_range:max,datafile:SA4.mzML:asymmetry_factor,datafile:SA4.mzML:tailing_factor,datafile:SA4.mzML:height,datafile:SA2.mzML:area,datafile:SA2.mzML:rt,datafile:SA2.mzML:mz_range:min,datafile:SA2.mzML:mz_range:max,datafile:SA2.mzML:fwhm,datafile:SA2.mzML:rt_range:min,datafile:SA2.mzML:rt_range:max,datafile:SA2.mzML:feature_state,datafile:SA2.mzML:mz,datafile:SA2.mzML:intensity_range:min,datafile:SA2.mzML:intensity_range:max,datafile:SA2.mzML:asymmetry_factor,datafile:SA2.mzML:tailing_factor,datafile:SA2.mzML:height,datafile:SA3.mzML:area,datafile:SA3.mzML:rt,datafile:SA3.mzML:mz_range:min,datafile:SA3.mzML:mz_range:max,datafile:SA3.mzML:fwhm,datafile:SA3.mzML:rt_range:min,datafile:SA3.mzML:rt_range:max,datafile:SA3.mzML:feature_state,datafile:SA3.mzML:mz,datafile:SA3.mzML:intensity_range:min,datafile:SA3.mzML:intensity_range:max,datafile:SA3.mzML:asymmetry_factor,datafile:SA3.mzML:tailing_factor,datafile:SA3.mzML:height
1,1.929E3,0.427,146.11748,146.11803,0.4,4,0,0.878,0.79,0.00011,0.0494,0,0.3511,0.5466,146.11786,4.727E3,2.823E4,2.823E4,1.88E3,0.3931,146.1175,146.11804,0.0947,0.3523,0.4643,ESTIMATED,146.11796,8.768E3,2.631E4,1.7453,1.3727,2.631E4,8.418E1,0.5436,146.11744,146.11786,0.006,0.5407,0.5466,ESTIMATED,146.11744,2.823E4,2.823E4,0.9993,0.9996,2.823E4,1.007E3,0.4644,146.11748,146.11803,0.0162,0.4142,0.4812,ESTIMATED,146.1178,6.055E3,2.352E4,0.3347,0.6673,2.352E4,1.662E3,0.4369,146.11758,146.11816,0.0901,0.3511,0.4598,ESTIMATED,146.11799,6.805E3,2.543E4,0.2667,0.6334,2.543E4,1.929E3,0.3608,146.11755,146.11806,0.0824,0.3532,0.4869,ESTIMATED,146.11782,6.96E3,2.137E4,16.4527,8.7264,2.137E4,1.606E3,0.4547,146.11748,146.11803,0.0587,0.3632,0.4655,ESTIMATED,146.11792,5.621E3,2.231E4,0.1174,0.5587,2.231E4,1.606E3,0.3616,146.11759,146.11813,0.023,0.354,0.4611,ESTIMATED,146.11804,6.545E3,2.159E4,13.2249,7.1124,2.159E4,5.762E2,0.37,146.11772,146.11793,0.0155,0.3512,0.3888,ESTIMATED,146.11788,5.586E3,2.105E4,0.9962,0.9981,2.105E4,9.431E2,0.4176,146.11787,146.11795,0.038,0.3609,0.4257,ESTIMATED,146.11789,5.136E3,2.32E4,0.1427,0.5714,2.32E4,1.619E3,0.467,146.11741,146.11792,0.0252,0.3617,0.4735,ESTIMATED,146.11783,4.727E3,2.319E4,0.0622,0.5311,2.319E4
2,5.895E5,0.5806,316.17703,316.17877,1,10,0,0.875,1.2,0.00038,0.0128,0,0.5572,0.64,316.17737,5.76E4,1.654E7,1.654E7,5.432E5,0.575,316.17726,316.1779,0.6076,0.5605,0.6387,ESTIMATED,316.17743,2.221E5,1.589E7,5.6727,3.1307,1.589E7,5.449E5,0.5817,316.17707,316.17763,0.0363,0.5614,0.6396,ESTIMATED,316.17728,9.113E5,1.544E7,2.7991,1.9298,1.544E7,5.261E5,0.5878,316.17669,316.17785,0.0294,0.5646,0.64,ESTIMATED,316.17749,2.132E5,1.565E7,2.8625,1.7336,1.565E7,5.339E5,0.5803,316.17726,316.17798,0.0337,0.5629,0.6382,ESTIMATED,316.1775,6.506E5,1.483E7,3.6517,2.1671,1.483E7,5.541E5,0.5815,316.17729,316.17887,0.0282,0.5612,0.6394,ESTIMATED,316.17752,6.698E4,1.654E7,4.3976,2.2167,1.654E7,5.533E5,0.5791,316.17703,316.17877,0.0268,0.5589,0.6371,ESTIMATED,316.17734,1.642E5,1.649E7,3.7213,2.1509,1.649E7,5.449E5,0.5846,316.17681,316.1781,0.0296,0.5643,0.6396,ESTIMATED,316.17755,8.428E5,1.615E7,2.822,1.8583,1.615E7,5.469E5,0.5818,316.17702,316.17791,0.0311,0.5615,0.6397,ESTIMATED,316.17724,1.086E5,1.595E7,3.2666,2.134,1.595E7,5.895E5,0.5771,316.17656,316.17865,0.0291,0.5598,0.638,ESTIMATED,316.17717,2.47E5,1.565E7,3.6088,2.2506,1.565E7,5.836E5,0.5775,316.17701,316.17754,0.0317,0.5572,0.6383,ESTIMATED,316.1772,5.76E4,1.589E7,3.7689,2.2852,1.589E7
3,3.779E5,0.5809,114.12778,114.12825,1,10,0,0.831,2.86,0.00033,0.0078,0,0.5572,0.6542,114.128,8.484E4,1.337E7,1.337E7,3.779E5,0.5837,114.12781,114.12816,0.0267,0.5605,0.6416,ESTIMATED,114.12809,2.922E5,1.265E7,1.9214,1.6864,1.265E7,3.668E5,0.5788,114.12767,114.12832,0.0237,0.5585,0.6425,ESTIMATED,114.12782,8.484E4,1.337E7,3.3356,2.2038,1.337E7,3.07E5,0.5849,114.12771,114.1281,0.0362,0.5646,0.6342,ESTIMATED,114.12782,1.546E5,1.144E7,1.8917,1.8535,1.144E7,3.307E5,0.5803,114.12782,114.12821,0.0288,0.5629,0.6324,ESTIMATED,114.12807,3.892E5,1.234E7,2.646,1.9584,1.234E7,3.201E5,0.5844,114.12778,114.12818,0.027,0.5641,0.6336,ESTIMATED,114.12802,3.789E5,1.184E7,2.2203,1.5893,1.184E7,3.377E5,0.5791,114.12778,114.12825,0.0273,0.5589,0.6371,ESTIMATED,114.12804,3.425E5,1.173E7,2.4577,1.9776,1.173E7,3.258E5,0.5788,114.12785,114.12828,0.0252,0.5643,0.6367,ESTIMATED,114.12814,3.003E5,1.105E7,2.8551,2.0335,1.105E7,3.518E5,0.5847,114.12768,114.12815,0.0248,0.5615,0.6542,ESTIMATED,114.12802,1.195E5,1.199E7,1.6585,1.7814,1.199E7,3.33E5,0.5771,114.12772,114.12817,0.023,0.5598,0.6322,ESTIMATED,114.12799,3.596E5,1.254E7,2.8098,1.8433,1.254E7,3.226E5,0.5775,114.12772,114.12815,0.0229,0.5572,0.6296,ESTIMATED,114.128,8.548E4,1.179E7,2.6038,2.6514,1.179E7
4,8.882E5,0.5809,249.19663,249.19687,1,10,0,0.857,2.21,0.00055,0.0119,0,0.5568,0.6296,249.19671,4.548E4,2.844E7,2.844E7,8.384E5,0.5779,249.19669,249.19696,0.0294,0.5605,0.6271,ESTIMATED,249.1968,5.263E5,2.563E7,2.828,1.9054,2.563E7,7.267E5,0.5759,249.19557,249.19685,0.0296,0.5614,0.628,ESTIMATED,249.19665,9.538E5,2.303E7,4.0617,2.5637,2.303E7,7.755E5,0.5878,249.19575,249.19695,0.0263,0.5617,0.6284,ESTIMATED,249.19636,4.548E4,2.715E7,2.2995,1.3189,2.715E7,8.154E5,0.5832,249.19596,249.19713,0.0274,0.56,0.6295,ESTIMATED,249.19688,1.122E5,2.653E7,2.3301,1.647,2.653E7,8.234E5,0.5844,249.19587,249.19708,0.0281,0.5641,0.6278,ESTIMATED,249.19688,6.806E5,2.75E7,2.4302,1.5198,2.75E7,8.279E5,0.5791,249.19663,249.19687,0.0349,0.5589,0.6284,ESTIMATED,249.19674,1.97E5,2.744E7,2.1967,2.0271,2.744E7,8.117E5,0.5817,249.19679,249.19709,0.0277,0.5614,0.628,ESTIMATED,249.19691,1.166E5,2.686E7,2.8254,1.7232,2.686E7,8.196E5,0.5818,249.19575,249.19675,0.0302,0.5615,0.6281,ESTIMATED,249.19667,4.302E5,2.634E7,2.5391,1.6491,2.634E7,8.882E5,0.58,249.19641,249.19674,0.0278,0.5568,0.6293,ESTIMATED,249.19663,5.803E4,2.844E7,2.3265,1.7813,2.844E7,8.655E5,0.5775,249.19644,249.1967,0.027,0.5601,0.6296,ESTIMATED,249.19662,9.571E5,2.791E7,2.4634,1.9861,2.791E7
5,8.429E6,0.5809,329.1533,329.15373,1,10,0,0.878,1.12,0.00037,0.0074,0,0.5559,0.6296,329.15358,1.241E5,2.529E8,2.529E8,7.924E6,0.5779,329.15317,329.15382,0.0295,0.5576,0.6271,ESTIMATED,329.15363,4.139E5,2.305E8,3.6325,2.006,2.305E8,7.496E6,0.5788,329.15329,329.15376,0.0299,0.5585,0.628,ESTIMATED,329.15347,1.505E6,2.25E8,4.6165,1.919,2.25E8,7.464E6,0.5849,329.15347,329.15383,0.0295,0.5617,0.6284,ESTIMATED,329.15368,5.674E5,2.297E8,2.9497,1.6206,2.297E8,7.976E6,0.5832,329.15351,329.15408,0.0287,0.56,0.6295,ESTIMATED,329.15372,1.402E6,2.462E8,2.624,1.6655,2.462E8,7.807E6,0.5815,329.15359,329.15395,0.0295,0.5612,0.6278,ESTIMATED,329.15374,9.018E5,2.344E8,5.0672,1.8729,2.344E8,7.935E6,0.5791,329.1533,329.15373,0.0318,0.5559,0.6284,ESTIMATED,329.15354,2.878E5,2.406E8,4.0309,1.888,2.406E8,7.908E6,0.5846,329.15347,329.15412,0.03,0.5585,0.628,ESTIMATED,329.15376,1.241E5,2.417E8,2.6341,1.5753,2.417E8,7.891E6,0.5818,329.1532,329.15372,0.0302,0.5586,0.6281,ESTIMATED,329.15347,1.421E5,2.354E8,7.8762,1.7964,2.354E8,8.429E6,0.58,329.15319,329.15365,0.0291,0.5568,0.6293,ESTIMATED,329.1534,5.903E5,2.458E8,5.3769,1.7872,2.458E8,8.371E6,0.5775,329.15319,329.15359,0.0301,0.5572,0.6296,ESTIMATED,329.1534,1.239E6,2.529E8,3.8024,2.0438,2.529E8
6,1.047E6,0.5806,245.13958,245.14098,0.6,6,0,0.7,3.85,0.00094,0.0062,0,0.5539,0.6889,245.14022,5.472E4,3.523E7,3.523E7,1.007E6,0.5808,245.13963,245.14087,0.3466,0.5576,0.659,ESTIMATED,245.1405,2.759E5,3.247E7,1.9903,1.5464,3.247E7,8.056E5,0.5788,245.13942,245.1406,0.0346,0.5701,0.6889,ESTIMATED,245.13968,2.159E5,2.76E7,4.905,3.2165,2.76E7,9.63E5,0.5849,245.13958,245.14077,0.0286,0.5704,0.669,ESTIMATED,245.13967,2.97E5,3.095E7,5.8229,2.0773,3.095E7,9.54E5,0.5803,245.13971,245.1409,0.0284,0.5716,0.6585,ESTIMATED,245.14039,3.305E5,3.333E7,4.3777,3.0851,3.333E7,9.068E5,0.5815,245.1396,245.14097,0.0302,0.5728,0.654,ESTIMATED,245.13983,2.719E5,3.391E7,4.2699,3.1296,3.391E7,1.007E6,0.5791,245.13958,245.14098,0.0268,0.5559,0.6719,ESTIMATED,245.14042,2.093E5,3.444E7,2.0844,1.7334,3.444E7,9.836E5,0.5788,245.13977,245.14096,0.0302,0.5701,0.6425,ESTIMATED,245.14062,3.427E5,3.396E7,4.5136,3.2043,3.396E7,9.382E5,0.5818,245.13949,245.14077,0.0422,0.5702,0.6716,ESTIMATED,245.14032,2.652E5,2.977E7,3.1426,2.3692,2.977E7,1.047E6,0.5829,245.13947,245.14077,0.0269,0.5539,0.6554,ESTIMATED,245.14038,5.472E4,3.523E7,1.5177,1.5824,3.523E7,1.038E6,0.5775,245.13948,245.14073,0.0281,0.5543,0.6789,ESTIMATED,245.14041,6.787E4,3.36E7,2.3487,1.9636,3.36E7
7,2.061E6,0.5815,242.08027,242.08077,1,10,0,0.874,1.19,0.00029,0.0074,0,0.5559,0.7425,242.08056,4.81E4,6.16E7,6.16E7,2.061E6,0.5837,242.0802,242.08094,0.0284,0.5576,0.7142,ESTIMATED,242.0806,1.287E5,5.987E7,1.7532,1.8233,5.987E7,2.036E6,0.5788,242.07957,242.08068,0.054,0.5585,0.7208,ESTIMATED,242.08047,3.291E5,6.16E7,2.6224,2.3436,6.16E7,1.912E6,0.5849,242.0798,242.0809,0.0288,0.5617,0.7387,ESTIMATED,242.08065,8.137E4,5.596E7,2.4222,2.045,5.596E7,1.966E6,0.5803,242.07982,242.08104,0.0276,0.56,0.7137,ESTIMATED,242.08067,2.152E5,5.757E7,2.5509,2.3085,5.757E7,1.923E6,0.5844,242.08022,242.08085,0.0278,0.5612,0.712,ESTIMATED,242.08068,2.924E5,5.913E7,2.1496,2.0765,5.913E7,1.913E6,0.5791,242.08027,242.08077,0.0283,0.5559,0.7242,ESTIMATED,242.08053,4.81E4,5.848E7,2.4894,2.2805,5.848E7,1.893E6,0.5846,242.08038,242.08125,0.0275,0.5614,0.6977,ESTIMATED,242.08071,3.347E5,5.597E7,2.034,1.8504,5.597E7,1.92E6,0.5789,242.08024,242.08132,0.0289,0.5586,0.7181,ESTIMATED,242.08048,5.397E4,5.706E7,3.0651,2.3269,5.706E7,1.995E6,0.5829,242.08022,242.08153,0.0277,0.5568,0.7425,ESTIMATED,242.08043,2.365E5,5.832E7,1.8163,1.5788,5.832E7,1.971E6,0.5775,242.08002,242.08062,0.0286,0.5572,0.708,ESTIMATED,242.08043,3.059E5,5.85E7,2.7268,2.3193,5.85E7
8,7.765E5,0.5815,265.19117,265.19144,1,10,0,0.87,1.25,0.00033,0.0103,0,0.5559,0.6197,265.19133,3.529E4,2.841E7,2.841E7,7.475E5,0.5779,265.19122,265.19162,0.0273,0.5605,0.6184,ESTIMATED,265.19138,4.134E5,2.569E7,2.6089,1.7457,2.569E7,6.891E5,0.5788,265.19109,265.19144,0.0287,0.5614,0.6193,ESTIMATED,265.19123,1.237E6,2.294E7,2.1773,1.667,2.294E7,7.158E5,0.5878,265.19134,265.19158,0.0293,0.5646,0.6197,ESTIMATED,265.19142,4.476E5,2.388E7,1.5951,1.1878,2.388E7,7.151E5,0.5832,265.19128,265.19261,0.0275,0.56,0.6179,ESTIMATED,265.19144,1.006E5,2.457E7,1.8226,1.3663,2.457E7,7.358E5,0.5844,265.19136,265.19162,0.027,0.5612,0.6191,ESTIMATED,265.19147,8.572E4,2.497E7,1.8081,1.378,2.497E7,7.49E5,0.5791,265.19117,265.19144,0.0278,0.5559,0.6197,ESTIMATED,265.19128,3.529E4,2.553E7,2.7538,1.6619,2.553E7,7.321E5,0.5846,265.19138,265.192,0.0263,0.5614,0.6193,ESTIMATED,265.19149,1.527E5,2.592E7,1.9124,1.3564,2.592E7,7.52E5,0.5789,265.19112,265.19139,0.0263,0.5615,0.6194,ESTIMATED,265.19123,1.285E5,2.706E7,2.8679,1.9063,2.706E7,7.757E5,0.5829,265.191,265.19234,0.0271,0.5598,0.6177,ESTIMATED,265.19117,5.21E5,2.635E7,1.6341,1.3218,2.635E7,7.765E5,0.5775,265.19106,265.19225,0.0289,0.5572,0.618,ESTIMATED,265.19116,8.466E4,2.841E7,2.5379,1.8847,2.841E7
9,1.437E6,0.5815,288.15915,288.15993,1,10,0,0.871,1.21,0.00035,0.0103,0,0.5568,0.73,288.15954,5.074E4,4.326E7,4.326E7,1.353E6,0.5808,288.1594,288.16072,0.0301,0.5605,0.7171,ESTIMATED,288.15964,2.93E5,3.723E7,2.2495,2.0716,3.723E7,1.292E6,0.5817,288.15919,288.15983,0.0305,0.5585,0.7034,ESTIMATED,288.15944,1.137E5,3.707E7,2.0992,1.8043,3.707E7,1.331E6,0.5878,288.15893,288.16106,0.0315,0.5617,0.73,ESTIMATED,288.15963,5.074E4,3.66E7,2.2097,1.882,3.66E7,1.337E6,0.5832,288.15951,288.16021,0.028,0.56,0.7108,ESTIMATED,288.15968,9.488E4,3.805E7,2.2614,2.0118,3.805E7,1.353E6,0.5815,288.15916,288.16078,0.0302,0.5612,0.7091,ESTIMATED,288.15967,7.257E4,3.849E7,2.9775,91.5809,3.849E7,1.333E6,0.5791,288.15915,288.15993,0.0261,0.5589,0.7213,ESTIMATED,288.1595,1.874E5,3.876E7,2.39,2.3709,3.876E7,1.362E6,0.5846,288.15942,288.1608,0.0304,0.5614,0.7093,ESTIMATED,288.15971,2.853E5,3.94E7,2.0656,1.934,3.94E7,1.336E6,0.5789,288.15908,288.15972,0.0291,0.5615,0.7152,ESTIMATED,288.15943,2.996E5,3.893E7,3.2582,2.8102,3.893E7,1.422E6,0.58,288.15911,288.16046,0.0292,0.5568,0.7047,ESTIMATED,288.15936,7.708E4,4.094E7,2.7964,2.3457,4.094E7,1.437E6,0.5775,288.15901,288.16051,0.0279,0.5572,0.7196,ESTIMATED,288.15937,1.329E5,4.326E7,2.6878,2.4645,4.326E7
10,8.573E5,0.5815,304.20235,304.20273,1,10,0,0.881,1.07,0.00033,0.0074,0,0.5572,0.6902,304.20255,4.584E4,2.81E7,2.81E7,7.752E5,0.5808,304.20243,304.20303,0.0277,0.5605,0.6242,ESTIMATED,304.2026,3.827E5,2.596E7,1.9531,1.6603,2.596E7,6.736E5,0.5817,304.20115,304.20297,0.0283,0.5614,0.6222,ESTIMATED,304.20244,3.318E5,2.403E7,1.5995,1.3724,2.403E7,7.314E5,0.5849,304.20138,304.20291,0.0335,0.5617,0.6371,ESTIMATED,304.20266,4.584E4,2.253E7,2.0005,1.733,2.253E7,7.729E5,0.5832,304.2015,304.20306,0.0268,0.56,0.6324,ESTIMATED,304.20266,1.063E5,2.492E7,2.8183,1.5028,2.492E7,7.711E5,0.5815,304.20138,304.203,0.0277,0.5641,0.6424,ESTIMATED,304.20267,3.471E5,2.63E7,2.495,49.3653,2.63E7,7.891E5,0.5791,304.20235,304.20273,0.0301,0.5589,0.64,ESTIMATED,304.20251,3.094E5,2.563E7,2.0548,1.6997,2.563E7,8.258E5,0.5846,304.20143,304.20292,0.0282,0.5614,0.6686,ESTIMATED,304.20271,2.055E5,2.777E7,1.7785,1.4945,2.777E7,7.71E5,0.5789,304.20222,304.20282,0.0296,0.5615,0.631,ESTIMATED,304.20246,1.825E5,2.484E7,2.9879,2.0952,2.484E7,8.573E5,0.5829,304.20214,304.20254,0.0273,0.5598,0.6902,ESTIMATED,304.20239,1.614E5,2.81E7,1.4779,1.4049,2.81E7,8.443E5,0.5775,304.20109,304.2026,0.0301,0.5572,0.6673,ESTIMATED,304.20239,7.319E4,2.8E7,2.4919,1.8933,2.8E7
