rt,rt_range:min,rt_range:max,mz,datafile:SA2.mzML:area,datafile:SA4.mzML:area,datafile:SA1.mzML:area,datafile:SA5.mzML:area,datafile:SA3.mzML:area,datafile:SB5.mzML:area,datafile:SB2.mzML:area,datafile:SB1.mzML:area,datafile:SB4.mzML:area,datafile:SB3.mzML:area,True RT,Compound Name,Fold change,Compound concentration ratio,p-value,AVG-A,CV-A,AVG-B,CV-B,fc,ratio,true p-value
18.8898,18.5511,19.1493,371.1622,5941000,5835000,5481000,7282000,5819000,8282,3167000,2679000,3277000,2705000,18.85,1,0.47,1/2,0,6071600,11.5017581489705,2367256.4,56.8448455735994,0.38989004545754,0.829553288207532,0.000599005194177016
17.6603,17.3603,17.96,442.22328,390000,392200,400500,394000,384700,8679000,9394000,8318000,8533000,8530000,17.66,2,21.23,16/1,0,392280,1.47097870781693,8690800,4.75942749408116,22.1545834607933,1.04355079890689,6.73569889756418E-11
2.9726,2.5819,3.0468,292.11165,148100,94460,163700,10640,106200,19970,31890,45260,7959,46850,3.01,3,1.91,2/1,0.019,104620,57.1887241603151,30385.8,54.7244892964434,0.29043968648442,0.152062663080848,0.0282284178494092
22.774,22.4683,23.0799,502.23951,2415000,2434000,2319000,2744000,2394000,1671000,2547000,2370000,2258000,2452000,22.78,4,1.06,1/1,0.29,2461200,6.663502930784,2259600,15.3027399033406,0.918088737201365,0.866121450189967,0.272679590608051
3.3664,3.2577,3.4613,342.17061,1095000,1001000,1066000,973200,1000000,1109000,1007000,986200,1067000,1156000,3.37,5,1.07,1/1,0.399,1027040,4.97536629023217,1065040,6.60504236353011,1.03699953263748,0.969158441717273,0.357056977026402
17.1983,16.9972,17.3862,455.17883,11700,12390,10960,12610,11840,9713,12810,11430,10690,10470,17.2,6,0.93,1/1,0.098,11900,5.43204353410663,11022.6,10.6302606689873,0.926268907563025,0.995988072648414,0.180796743833315
28.9935,28.722,29.1359,408.13497,13700,13540,14440,14370,13970,3541,13190,13060,5699,11010,29.02,7,0.84,1/1,0.157,14004,2.84048376873347,9300,47.5820369154329,0.664095972579263,0.790590443546742,0.0454276750895866
0.5792,0.5598,0.6342,359.24504,254400,250800,218200,252600,255700,223800,236200,239300,238000,223100,0.58,8,0.99,1/1,0.847,246340,6.4297835365425,232080,3.42918589445776,0.942112527401153,0.95162881555672,0.109748419606316
26.9614,26.7798,27.2477,527.31342,227700,171500,177400,175400,169000,149900,157200,161400,149600,151100,26.96,9,0.85,1/1,0.151,184200,13.3208538860637,153840,3.40026358167938,0.835179153094463,0.982563709522897,0.026827316057711
5.5421,5.3801,5.8398,571.31628,271500,294700,249900,292700,299600,353700,291700,297800,346700,315100,5.54,10,1.01,1/1,0.932,281680,7.37386414292697,321000,8.75788425817413,1.13959102527691,1.12830794581872,0.0360662898325268
28.924,28.8621,28.9948,360.99117,4462,2141,3103,3470,1929,2811,1414,3543,2025,816.4,28.92,11,0.95,1/1,0.463,3021,34.1270739411085,2121.88,51.135671674753,0.702376696458127,0.739343891008554,0.216048351854859
23.3587,23.0603,23.6598,312.12369,5224000,5104000,5563000,4523000,4990000,4455000,3020000,2977000,4286000,3585000,23.36,12,0.67,1/1,0.073,5080800,7.44894990638792,3664600,18.8342769409567,0.721264367816092,1.07651398181506,0.00382519542429566
3.3374,3.0401,3.4371,205.09735,715200,671500,814000,707200,650600,721400,704100,603500,715200,824800,3.34,13,0.91,1/1,0.113,711700,8.84396704436406,713800,10.9956711755438,1.00295068146691,1.10214360600759,0.963917453985159
3.3161,3.087,3.3828,338.0865,258000,230700,254700,225000,231400,235400,237900,225300,227300,271000,3.32,14,0.94,1/1,0.406,239960,6.33908931081024,239380,7.70859376765236,0.997582930488415,1.0612584366898,0.958080084803409
19.6909,19.4056,19.9897,444.10055,874100,879600,871800,978700,888800,898800,996100,965600,853300,871600,19.69,15,1.05,1/1,0.36,898600,5.03600750006728,917080,6.69271790235965,1.02056532383708,0.971966975082933,0.602657982735894
4.6845,4.4641,4.9897,397.17772,1668000,1510000,1705000,1392000,1569000,1355000,1186000,1250000,1414000,1325000,4.69,16,0.77,1/1,0.032,1568800,8.00645934992542,1306000,6.84453267305756,0.832483426823049,1.0811473075624,0.00514999071267839
3.3509,3.309,3.4096,454.2242,68540,61890,76600,68750,73220,76960,70580,72750,75300,83810,3.35,17,1.18,1/1,0.042,69800,7.95079246749913,75880,6.66387093215552,1.08710601719198,0.921276285755913,0.107755589428472
3.2953,3.2502,3.4788,442.22519,239300,215900,192300,198400,202700,268800,246300,239000,216200,243800,3.3,18,1.14,1/1,0.011,209720,8.90161935093371,242820,7.73547913951259,1.15782948693496,1.01563990082014,0.0233838944191023
3.6891,3.5771,3.7927,510.26618,157800,141600,150400,140900,136400,157900,143200,150800,157200,170900,3.69,19,1.07,1/1,0.166,145420,5.89997495936743,156000,6.55242977552466,1.07275477926007,1.00257456005614,0.114209982512058
23.7609,23.4608,24.0595,310.10776,3724000,3708000,3826000,3485000,3548000,3525000,3630000,3601000,3621000,3619000,23.76,20,1.03,1/1,0.144,3658200,3.79537358945785,3599200,1.18894539651405,0.983871849543491,0.955215387906302,0.390385772299263
3.338,3.0401,3.4488,200.11078,1601000,1496000,1648000,1495000,1526000,1458000,1466000,1460000,1461000,1731000,3.34,21,0.91,1/1,0.112,1553200,4.3986973933383,1515200,7.96408851193143,0.975534380633531,1.07201580289399,0.557052439124924
4.4478,4.1512,4.7486,309.16037,5508000,4592000,4924000,4889000,4717000,2580000,3394000,3781000,3037000,3195000,4.45,22,0.86,1/1,0.072,4926000,7.1437239891507,3197400,13.8652508691548,0.649086479902558,0.754751720816928,0.000133824382709149
22.7514,22.4706,23.0686,478.09741,1220000,1241000,1156000,1387000,1238000,11940,881400,1180000,2978,311100,22.77,23,0.23,1/4,0.2,1248400,6.7871475509601,477483.6,111.129278755646,0.382476449855815,1.66294108632963,0.0124611835872621
0.5809,0.5559,0.8794,329.15359,9753000,9325000,8803000,9216000,9664000,9315000,9304000,9179000,9363000,9004000,0.58,24,0.99,1/1,0.707,9352200,4.06733107301246,9233000,1.56972536577938,0.987254335878189,0.997226601897161,0.530974107537051
19.3752,19.1733,19.7909,374.21262,2970000,2941000,2734000,3356000,2988000,574200,3029000,2839000,1563000,2410000,19.36,25,0.98,1/1,0.716,2997800,7.49609865765957,2083040,48.7230675400902,0.69485622790046,0.709036967245368,0.0846393218280833
26.8892,26.7843,27.19,408.13877,2278000,2134000,2214000,2182000,2189000,2190000,2075000,2070000,2135000,2155000,26.89,26,1.01,1/1,0.711,2199400,2.39287484791146,2125000,2.43958133568561,0.966172592525234,0.956606527252707,0.0543969870963142
12.2948,12.0009,12.5996,313.17397,2949000,2908000,2974000,2770000,3606000,11260000,13700000,13890000,11710000,11990000,12.3,27,4.12,4/1,0,3041400,10.6960713287706,12510000,9.62009702360634,4.11323732491616,0.998358574008776,1.46645793157972E-07
15.4721,15.1848,15.7699,453.20941,1691000,1716000,1743000,1718000,2036000,81800,93600,80800,81500,81200,15.47,28,0.05,1/16,0,1780800,8.07741589927403,83780,6.5671993751442,0.0470462713387242,0.940925426774483,4.60877114428322E-09
25.9385,25.837,26.0956,495.21989,101600,115200,106000,101000,101700,50350,47580,47420,48000,48210,25.94,29,0.45,1/2,0,105100,5.69773736311318,48312,2.44751280759,0.459676498572788,1.02150333016175,2.98902701406514E-08
12.7553,12.4602,13.0597,376.14581,5976000,5907000,6140000,5703000,6474000,5880000,6789000,6991000,5961000,6031000,12.76,30,1.07,1/1,0.16,6040000,4.78208923833963,6330400,8.19175598535695,1.04807947019868,0.979513523550164,0.305817186824034
12.3098,12.0209,12.6095,531.15679,1951000,1867000,2017000,1670000,2028000,2094000,1867000,1765000,2045000,1861000,12.31,31,0.95,1/1,0.542,1906600,7.71047009971126,1926400,7.15586813819759,1.01038497849575,1.06356313525869,0.831614025250819
3.3488,3.2136,3.4986,407.22109,4493000,3857000,4299000,3943000,4050000,913400,890100,896600,880400,999600,3.35,32,0.26,1/4,0,4128400,6.36519952831682,916020,5.26678600824385,0.221882569518457,0.853394498147913,3.94322755433342E-09
