id,area,rt,mz_range:min,mz_range:max,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,alignment_scores:ion_mobility_absolute_error,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,datafile:SB1.mzML:area,datafile:SB1.mzML:rt,datafile:SB1.mzML:mz_range:min,datafile:SB1.mzML:mz_range:max,datafile:SB1.mzML:fwhm,datafile:SB1.mzML:rt_range:min,datafile:SB1.mzML:rt_range:max,datafile:SB1.mzML:feature_state,datafile:SB1.mzML:mz,datafile:SB1.mzML:intensity_range:min,datafile:SB1.mzML:intensity_range:max,datafile:SB1.mzML:asymmetry_factor,datafile:SB1.mzML:tailing_factor,datafile:SB1.mzML:height,datafile:SA5.mzML:area,datafile:SA5.mzML:rt,datafile:SA5.mzML:mz_range:min,datafile:SA5.mzML:mz_range:max,datafile:SA5.mzML:fwhm,datafile:SA5.mzML:rt_range:min,datafile:SA5.mzML:rt_range:max,datafile:SA5.mzML:feature_state,datafile:SA5.mzML:mz,datafile:SA5.mzML:intensity_range:min,datafile:SA5.mzML:intensity_range:max,datafile:SA5.mzML:asymmetry_factor,datafile:SA5.mzML:tailing_factor,datafile:SA5.mzML:height,datafile:SB5.mzML:area,datafile:SB5.mzML:rt,datafile:SB5.mzML:mz_range:min,datafile:SB5.mzML:mz_range:max,datafile:SB5.mzML:fwhm,datafile:SB5.mzML:rt_range:min,datafile:SB5.mzML:rt_range:max,datafile:SB5.mzML:feature_state,datafile:SB5.mzML:mz,datafile:SB5.mzML:intensity_range:min,datafile:SB5.mzML:intensity_range:max,datafile:SB5.mzML:asymmetry_factor,datafile:SB5.mzML:tailing_factor,datafile:SB5.mzML:height,datafile:SA4.mzML:area,datafile:SA4.mzML:rt,datafile:SA4.mzML:mz_range:min,datafile:SA4.mzML:mz_range:max,datafile:SA4.mzML:fwhm,datafile:SA4.mzML:rt_range:min,datafile:SA4.mzML:rt_range:max,datafile:SA4.mzML:feature_state,datafile:SA4.mzML:mz,datafile:SA4.mzML:intensity_range:min,datafile:SA4.mzML:intensity_range:max,datafile:SA4.mzML:asymmetry_factor,datafile:SA4.mzML:tailing_factor,datafile:SA4.mzML:height,datafile:SA2.mzML:area,datafile:SA2.mzML:rt,datafile:SA2.mzML:mz_range:min,datafile:SA2.mzML:mz_range:max,datafile:SA2.mzML:fwhm,datafile:SA2.mzML:rt_range:min,datafile:SA2.mzML:rt_range:max,datafile:SA2.mzML:feature_state,datafile:SA2.mzML:mz,datafile:SA2.mzML:intensity_range:min,datafile:SA2.mzML:intensity_range:max,datafile:SA2.mzML:asymmetry_factor,datafile:SA2.mzML:tailing_factor,datafile:SA2.mzML:height,datafile:SB4.mzML:area,datafile:SB4.mzML:rt,datafile:SB4.mzML:mz_range:min,datafile:SB4.mzML:mz_range:max,datafile:SB4.mzML:fwhm,datafile:SB4.mzML:rt_range:min,datafile:SB4.mzML:rt_range:max,datafile:SB4.mzML:feature_state,datafile:SB4.mzML:mz,datafile:SB4.mzML:intensity_range:min,datafile:SB4.mzML:intensity_range:max,datafile:SB4.mzML:asymmetry_factor,datafile:SB4.mzML:tailing_factor,datafile:SB4.mzML:height,datafile:SA3.mzML:area,datafile:SA3.mzML:rt,datafile:SA3.mzML:mz_range:min,datafile:SA3.mzML:mz_range:max,datafile:SA3.mzML:fwhm,datafile:SA3.mzML:rt_range:min,datafile:SA3.mzML:rt_range:max,datafile:SA3.mzML:feature_state,datafile:SA3.mzML:mz,datafile:SA3.mzML:intensity_range:min,datafile:SA3.mzML:intensity_range:max,datafile:SA3.mzML:asymmetry_factor,datafile:SA3.mzML:tailing_factor,datafile:SA3.mzML:height,datafile:SB2.mzML:area,datafile:SB2.mzML:rt,datafile:SB2.mzML:mz_range:min,datafile:SB2.mzML:mz_range:max,datafile:SB2.mzML:fwhm,datafile:SB2.mzML:rt_range:min,datafile:SB2.mzML:rt_range:max,datafile:SB2.mzML:feature_state,datafile:SB2.mzML:mz,datafile:SB2.mzML:intensity_range:min,datafile:SB2.mzML:intensity_range:max,datafile:SB2.mzML:asymmetry_factor,datafile:SB2.mzML:tailing_factor,datafile:SB2.mzML:height,datafile:SA1.mzML:area,datafile:SA1.mzML:rt,datafile:SA1.mzML:mz_range:min,datafile:SA1.mzML:mz_range:max,datafile:SA1.mzML:fwhm,datafile:SA1.mzML:rt_range:min,datafile:SA1.mzML:rt_range:max,datafile:SA1.mzML:feature_state,datafile:SA1.mzML:mz,datafile:SA1.mzML:intensity_range:min,datafile:SA1.mzML:intensity_range:max,datafile:SA1.mzML:asymmetry_factor,datafile:SA1.mzML:tailing_factor,datafile:SA1.mzML:height,datafile:SB3.mzML:area,datafile:SB3.mzML:rt,datafile:SB3.mzML:mz_range:min,datafile:SB3.mzML:mz_range:max,datafile:SB3.mzML:fwhm,datafile:SB3.mzML:rt_range:min,datafile:SB3.mzML:rt_range:max,datafile:SB3.mzML:feature_state,datafile:SB3.mzML:mz,datafile:SB3.mzML:intensity_range:min,datafile:SB3.mzML:intensity_range:max,datafile:SB3.mzML:asymmetry_factor,datafile:SB3.mzML:tailing_factor,datafile:SB3.mzML:height
1,1.146E6,0.5746,109.07599,109.07648,0.8,8,5,0.842,1.82,0.0002,0.0718,0,0.3729,0.7632,109.07631,8.637E3,1.31E7,1.31E7,3.239E5,0.5218,109.07609,109.07646,0.0521,0.4742,0.5576,ESTIMATED,109.07634,1.899E4,7.014E6,1.1328,1.0118,7.014E6,3.182E5,0.526,109.07593,109.07643,0.0535,0.3934,0.5559,ESTIMATED,109.07635,2.283E4,6.909E6,0.8527,0.8829,6.909E6,1.042E6,0.5918,109.07607,109.07651,0.0868,0.3746,0.7572,ESTIMATED,109.07638,1.081E4,1.205E7,1.229,1.7546,1.205E7,1.102E6,0.5818,109.07605,109.07642,0.0848,0.4714,0.7356,ESTIMATED,109.07634,8.637E3,1.299E7,1.3401,1.2859,1.299E7,1.146E6,0.5916,109.07608,109.07645,0.0914,0.4665,0.7454,ESTIMATED,109.07632,1.032E4,1.31E7,1.1206,1.2023,1.31E7,1.073E6,0.5846,109.07615,109.07652,0.0753,0.3729,0.7296,ESTIMATED,109.07645,1.004E4,1.272E7,1.6003,1.3995,1.272E7,1.11E6,0.589,109.07601,109.07636,0.0767,0.3917,0.7632,ESTIMATED,109.07631,1.907E4,1.194E7,1.2323,1.1215,1.194E7,1.045E6,0.5757,109.07599,109.07648,0.0689,0.3916,0.7439,ESTIMATED,109.07628,1.877E4,1.193E7,1.7461,1.4801,1.193E7,7.424E5,0.5904,109.07601,109.07639,0.0508,0.5556,0.744,ESTIMATED,109.07618,3.379E5,1.171E7,3.236,2.5883,1.171E7,1.009E6,0.5936,109.07604,109.0765,0.0941,0.4608,0.7532,ESTIMATED,109.07616,1.598E4,1.132E7,1.2926,1.2648,1.132E7
2,2.315E6,0.5754,150.07766,150.078,1,10,0,0.873,1.23,0.00018,0.007,0,0.5539,0.7694,150.07772,2.457E4,4.642E7,4.642E7,2.109E6,0.5721,150.07758,150.07807,0.0271,0.5546,0.7694,ESTIMATED,150.07774,2.502E4,4.292E7,9.4738,6.7513,4.292E7,2.143E6,0.5733,150.07756,150.07819,0.0301,0.5559,0.7678,ESTIMATED,150.07769,1.071E6,3.918E7,8.7824,5.9568,3.918E7,2.059E6,0.5774,150.0777,150.0781,0.0259,0.5571,0.7688,ESTIMATED,150.0778,4.353E5,4.251E7,7.0006,4.476,4.251E7,2.134E6,0.5731,150.07714,150.07821,0.0264,0.5556,0.7675,ESTIMATED,150.07766,2.457E4,4.214E7,12.0275,6.616,4.214E7,2.212E6,0.5771,150.07754,150.07817,0.0268,0.5539,0.7686,ESTIMATED,150.07763,2.718E4,4.365E7,6.0633,4.6669,4.365E7,2.006E6,0.5759,150.07773,150.07816,0.025,0.5585,0.7674,ESTIMATED,150.07781,8.399E5,4.313E7,8.3499,5.3305,4.313E7,2.18E6,0.5775,150.07752,150.07815,0.0262,0.5543,0.769,ESTIMATED,150.07762,2.37E5,4.181E7,6.5474,4.6736,4.181E7,2.066E6,0.5757,150.07766,150.078,0.0238,0.5583,0.7672,ESTIMATED,150.07779,2.035E5,4.642E7,8.9925,5.6403,4.642E7,2.315E6,0.573,150.07755,150.07786,0.0264,0.5556,0.7673,ESTIMATED,150.07767,3.732E5,4.291E7,9.4307,6.5564,4.291E7,2.011E6,0.5791,150.07723,150.07806,0.0283,0.5588,0.7677,ESTIMATED,150.07777,4.382E4,3.777E7,7.8727,5.6845,3.777E7
3,5.283E5,0.576,136.06186,136.06241,1,10,0,0.86,2.37,0.00032,0.0197,0,0.5539,0.7794,136.06202,2.967E4,7.423E6,7.423E6,4.698E5,0.5779,136.0619,136.06239,0.0561,0.5546,0.7345,ESTIMATED,136.06208,4.944E4,6.523E6,7.1097,3.9705,6.523E6,5.283E5,0.5676,136.06183,136.06237,0.0624,0.5559,0.7794,ESTIMATED,136.06196,1.952E5,6.859E6,17.1464,9.2318,6.859E6,4.866E5,0.5745,136.0619,136.06242,0.06,0.5571,0.7398,ESTIMATED,136.06204,2.11E5,6.881E6,9.8886,5.1943,6.881E6,5.186E5,0.5731,136.06179,136.06234,0.082,0.5556,0.7704,ESTIMATED,136.06195,2.967E4,6.404E6,11.6328,7.0538,6.404E6,5.251E5,0.5742,136.06178,136.06233,0.0519,0.5539,0.757,ESTIMATED,136.06208,4.093E4,7.423E6,9.2525,4.9777,7.423E6,4.874E5,0.5788,136.06194,136.06241,0.0767,0.5585,0.7645,ESTIMATED,136.06219,2.761E5,6.206E6,9.2505,4.8534,6.206E6,5.111E5,0.5688,136.06178,136.06231,0.0566,0.5543,0.7632,ESTIMATED,136.06202,1.768E5,6.466E6,14.1453,7.0794,6.466E6,4.991E5,0.5873,136.06186,136.06241,0.0538,0.5583,0.7468,ESTIMATED,136.06199,1.248E5,7.109E6,5.6639,3.1445,7.109E6,5.007E5,0.5788,136.06165,136.06208,0.0879,0.5556,0.7179,ESTIMATED,136.06187,2.201E5,7.145E6,6.4606,3.4992,7.145E6,5.053E5,0.5791,136.0619,136.06213,0.0368,0.5588,0.7794,ESTIMATED,136.06198,9.112E4,6.657E6,9.4747,6.0223,6.657E6
4,6.76E6,0.576,146.11753,146.11807,1,10,0,0.785,3.67,0.00054,0.0087,0,0.5509,0.7794,146.11782,2.469E4,1.71E8,1.71E8,6.524E6,0.575,146.11753,146.11814,0.0278,0.5546,0.7781,ESTIMATED,146.11794,2.206E5,1.71E8,2.848,2.8204,1.71E8,6.051E6,0.5705,146.11761,146.1181,0.0294,0.553,0.7794,ESTIMATED,146.11793,4.307E4,1.482E8,4.2996,4.5449,1.482E8,5.848E6,0.5774,146.11759,146.11812,0.0283,0.5571,0.7776,ESTIMATED,146.11793,1.798E6,1.509E8,2.7565,3.2996,1.509E8,6.155E6,0.5731,146.11747,146.11812,0.0309,0.5556,0.7791,ESTIMATED,146.11787,4.346E4,1.552E8,4.1835,4.7473,1.552E8,6.272E6,0.5771,146.1178,146.11805,0.0289,0.5509,0.7773,ESTIMATED,146.11787,2.863E4,1.58E8,2.9737,2.7601,1.58E8,5.959E6,0.5759,146.11768,146.11823,0.0258,0.5554,0.7791,ESTIMATED,146.11804,4.544E4,1.599E8,2.9046,3.4335,1.599E8,6.143E6,0.5775,146.11742,146.11811,0.0306,0.5543,0.7777,ESTIMATED,146.11784,1.501E6,1.444E8,3.1432,3.0589,1.444E8,5.897E6,0.5757,146.11753,146.11807,0.028,0.5583,0.7788,ESTIMATED,146.11768,1.198E6,1.57E8,3.907,3.7353,1.57E8,6.76E6,0.5788,146.1174,146.11799,0.031,0.5556,0.7789,ESTIMATED,146.11751,2.465E6,1.592E8,2.1231,2.7528,1.592E8,5.996E6,0.5791,146.11749,146.11814,0.0301,0.5558,0.7794,ESTIMATED,146.11758,2.469E4,1.492E8,2.7655,3.114,1.492E8
5,5.431E6,0.5766,172.11944,172.11956,1,10,0,0.873,1.29,0.00022,0.0087,0,0.553,0.7794,172.11942,2.123E4,1.386E8,1.386E8,5.348E6,0.575,172.11927,172.12011,0.0293,0.5546,0.7781,ESTIMATED,172.11944,5.356E4,1.386E8,2.7918,3.9401,1.386E8,5.238E6,0.5705,172.1192,172.11987,0.0342,0.553,0.7794,ESTIMATED,172.1194,2.123E4,1.164E8,6.8957,5.2791,1.164E8,5.142E6,0.5774,172.1194,172.11963,0.0285,0.5571,0.7776,ESTIMATED,172.11952,1.119E6,1.324E8,2.6045,4.0371,1.324E8,5.285E6,0.5789,172.11923,172.11975,0.0291,0.5586,0.7791,ESTIMATED,172.11936,2.33E6,1.275E8,2.4429,3.836,1.275E8,5.431E6,0.5771,172.1192,172.11981,0.0329,0.5539,0.7773,ESTIMATED,172.11932,1.346E5,1.301E8,2.4044,3.6689,1.301E8,5E6,0.5759,172.11939,172.12003,0.0281,0.5585,0.7791,ESTIMATED,172.11954,1.954E6,1.292E8,3.0881,4.0805,1.292E8,5.305E6,0.5775,172.11919,172.11978,0.0304,0.5543,0.7777,ESTIMATED,172.11932,7.382E5,1.288E8,2.1906,3.5413,1.288E8,4.246E6,0.5757,172.11944,172.11956,0.027,0.5583,0.6365,ESTIMATED,172.1195,5.133E5,1.353E8,3.2174,3.2903,1.353E8,4.365E6,0.5788,172.11926,172.11942,0.0297,0.5556,0.628,ESTIMATED,172.11935,1.353E6,1.295E8,2.0889,8.2762,1.295E8,5.05E6,0.5791,172.11928,172.1196,0.0305,0.5588,0.7794,ESTIMATED,172.11948,1.901E5,1.183E8,2.8246,4.3502,1.183E8
6,1.148E6,0.5823,109.07599,109.07648,0.5,5,8,0.773,3.45,0.00038,0.0753,0,0.3799,0.7632,109.0763,8.637E3,1.312E7,1.312E7,7.584E5,0.5982,109.07607,109.0765,0.0513,0.5576,0.7374,ESTIMATED,109.07639,2.898E5,1.281E7,2.2108,2.148,1.281E7,7.724E5,0.5936,109.07606,109.07643,0.0511,0.5559,0.7387,ESTIMATED,109.07636,2.336E5,1.312E7,2.6269,2.3053,1.312E7,1.039E6,0.5918,109.07608,109.07651,0.0868,0.4766,0.7543,ESTIMATED,109.07638,1.081E4,1.205E7,1.229,1.7546,1.205E7,1.104E6,0.5818,109.07587,109.07642,0.0848,0.3813,0.7356,ESTIMATED,109.07634,8.637E3,1.299E7,1.3401,1.2859,1.299E7,1.148E6,0.5916,109.07608,109.07645,0.0914,0.3799,0.7454,ESTIMATED,109.07632,1.032E4,1.31E7,1.1206,1.2023,1.31E7,1.071E6,0.5846,109.07615,109.07652,0.0753,0.4714,0.7296,ESTIMATED,109.07645,1.004E4,1.272E7,1.6003,1.3995,1.272E7,1.111E6,0.589,109.07601,109.07636,0.0767,0.3805,0.7632,ESTIMATED,109.07631,1.907E4,1.194E7,1.2323,1.1215,1.194E7,1.046E6,0.5757,109.07599,109.07648,0.0689,0.38,0.7439,ESTIMATED,109.07628,1.877E4,1.193E7,1.7461,1.4801,1.193E7,3.241E5,0.5228,109.07585,109.07631,0.1201,0.4724,0.5556,ESTIMATED,109.07607,1.462E4,6.588E6,0.9504,0.938,6.588E6,1.011E6,0.5936,109.07596,109.0765,0.0941,0.3799,0.7532,ESTIMATED,109.07616,1.598E4,1.132E7,1.2926,1.2648,1.132E7
7,2.557E5,0.5792,359.24372,359.24563,1,10,0,0.887,1.12,0.0004,0.0044,0,0.5598,0.6342,359.24504,7.508E4,9.059E6,9.059E6,2.393E5,0.5779,359.24492,359.24556,0.0296,0.5605,0.6242,ESTIMATED,359.24514,2.401E5,7.923E6,2.6184,1.7315,7.923E6,2.526E5,0.5791,359.24462,359.24546,0.028,0.5618,0.6255,ESTIMATED,359.245,2.831E5,9.059E6,1.9544,1.6369,9.059E6,2.238E5,0.5803,359.24354,359.24555,0.0356,0.56,0.6295,ESTIMATED,359.24517,7.508E4,7.356E6,2.353,1.7626,7.356E6,2.508E5,0.5789,359.24465,359.2455,0.0272,0.5644,0.631,ESTIMATED,359.24498,2.084E5,7.905E6,2.9887,1.9796,7.905E6,2.544E5,0.5771,359.24311,359.24545,0.0304,0.5598,0.6293,ESTIMATED,359.24487,1.712E5,7.888E6,2.1573,1.6658,7.888E6,2.38E5,0.5788,359.24491,359.24569,0.0293,0.5643,0.6338,ESTIMATED,359.24524,1.881E5,8.691E6,3.2655,2.2685,8.691E6,2.557E5,0.5804,359.24314,359.24527,0.0277,0.5601,0.6267,ESTIMATED,359.24484,2.062E5,7.837E6,1.5748,1.4616,7.837E6,2.362E5,0.5815,359.24372,359.24563,0.0272,0.5641,0.6163,ESTIMATED,359.24518,5.534E5,8.008E6,1.9997,1.4999,8.008E6,2.182E5,0.5788,359.24312,359.24527,0.031,0.5614,0.6222,ESTIMATED,359.2449,2.965E5,6.927E6,2.3238,1.6594,6.927E6,2.231E5,0.5791,359.24351,359.24538,0.0285,0.5646,0.6342,ESTIMATED,359.2451,2.055E5,7.088E6,2.9794,2.2066,7.088E6
8,1.569E5,0.5798,214.07068,214.07153,1,10,0,0.883,1.23,0.00026,0.0281,0,0.547,0.6686,214.07122,2.285E4,3.525E6,3.525E6,1.136E5,0.5982,214.07091,214.07142,0.0508,0.5516,0.6126,ESTIMATED,214.07123,1.659E5,2.728E6,0.315,0.6557,2.728E6,1.25E5,0.5762,214.07097,214.07159,0.0468,0.547,0.6371,ESTIMATED,214.07124,3.088E4,3.061E6,2.4312,1.6174,3.061E6,1.23E5,0.5774,214.07069,214.07157,0.0381,0.5511,0.6237,ESTIMATED,214.07135,9.702E4,2.737E6,2.0354,1.4543,2.737E6,1.257E5,0.5876,214.07049,214.07138,0.047,0.5496,0.631,ESTIMATED,214.07113,2.285E4,2.84E6,1.2826,1.1205,2.84E6,1.569E5,0.5713,214.07069,214.07143,0.0508,0.5509,0.6467,ESTIMATED,214.07114,1.957E5,2.966E6,3.8546,2.3421,2.966E6,1.521E5,0.5701,214.07071,214.07157,0.0496,0.5524,0.6686,ESTIMATED,214.07138,1.404E5,2.861E6,5.048,3.2952,2.861E6,1.398E5,0.5775,214.07095,214.07128,0.048,0.5482,0.6383,ESTIMATED,214.07114,9.897E4,3.525E6,2.3312,1.6254,3.525E6,1.189E5,0.5815,214.07068,214.07153,0.0533,0.5523,0.622,ESTIMATED,214.07129,4.612E4,2.701E6,1.5536,1.2122,2.701E6,1.03E5,0.5817,214.07042,214.07134,0.0408,0.5496,0.6193,ESTIMATED,214.07112,4.351E4,2.528E6,1.2884,1.0871,2.528E6,1.115E5,0.5762,214.07061,214.07152,0.0516,0.5528,0.6284,ESTIMATED,214.07121,4.202E4,2.492E6,2.6902,1.7485,2.492E6
9,1.034E6,0.5806,156.10225,156.10325,1,10,0,0.829,3.47,0.00054,0.0103,0,0.5576,0.7298,156.10256,2.655E4,2.882E7,2.882E7,9.633E5,0.5779,156.10222,156.10324,0.0271,0.5576,0.7229,ESTIMATED,156.10264,6.066E4,2.603E7,3.8419,2.8908,2.603E7,9.742E5,0.5791,156.10219,156.10337,0.0257,0.5589,0.7213,ESTIMATED,156.10264,1.58E5,2.726E7,3.3479,3.5316,2.726E7,9.538E5,0.5832,156.10223,156.10347,0.0247,0.56,0.7195,ESTIMATED,156.10257,1.009E5,2.801E7,2.4566,3.1427,2.801E7,9.67E5,0.5789,156.10212,156.10336,0.0276,0.5586,0.7298,ESTIMATED,156.10258,2.655E4,2.53E7,3.8953,4.5642,2.53E7,1.034E6,0.58,156.10212,156.10328,0.0277,0.5598,0.7163,ESTIMATED,156.10259,2.275E5,2.882E7,2.4378,3.074,2.882E7,9.578E5,0.5817,156.10238,156.1033,0.0242,0.5614,0.7296,ESTIMATED,156.10286,1.328E5,2.672E7,3.7192,3.61,2.672E7,1.003E6,0.5775,156.10209,156.10323,0.0263,0.5601,0.7254,ESTIMATED,156.10251,2.576E5,2.808E7,4.2193,3.505,2.808E7,9.513E5,0.5815,156.10225,156.10325,0.0237,0.5641,0.7207,ESTIMATED,156.10249,2.745E5,2.698E7,5.8211,3.7544,2.698E7,9.77E5,0.5788,156.10206,156.10326,0.0271,0.5614,0.7179,ESTIMATED,156.10232,2.713E5,2.66E7,4.383,4.2778,2.66E7,9.34E5,0.5878,156.10221,156.1034,0.0267,0.5646,0.7184,ESTIMATED,156.10237,2.7E5,2.541E7,4.0354,2.8814,2.541E7
10,1.047E6,0.5806,245.1396,245.14097,1,10,0,0.743,3.88,0.00095,0.0074,0,0.5568,0.6889,245.14022,2.735E4,3.523E7,3.523E7,1.006E6,0.5808,245.13963,245.14087,0.3466,0.5605,0.659,ESTIMATED,245.1405,2.759E5,3.247E7,1.9903,1.4975,3.247E7,1.006E6,0.5791,245.13958,245.14098,0.0268,0.5589,0.6719,ESTIMATED,245.14042,2.093E5,3.444E7,2.0844,1.7334,3.444E7,1.03E6,0.5803,245.13961,245.1409,0.0264,0.56,0.6585,ESTIMATED,245.14039,1.441E5,3.333E7,2.3615,1.8001,3.333E7,9.819E5,0.5818,245.13949,245.14077,0.0308,0.5586,0.6716,ESTIMATED,245.14033,2.735E4,2.977E7,2.1897,1.7297,2.977E7,1.047E6,0.5829,245.13947,245.14077,0.0269,0.5568,0.6554,ESTIMATED,245.14038,5.472E4,3.523E7,1.5177,1.5824,3.523E7,1.025E6,0.5788,245.13977,245.14096,0.0302,0.5614,0.6425,ESTIMATED,245.14062,1.382E5,3.396E7,2.9389,2.134,3.396E7,1.037E6,0.5775,245.13948,245.14073,0.0281,0.5572,0.6789,ESTIMATED,245.14041,6.787E4,3.36E7,2.3487,1.9636,3.36E7,9.711E5,0.5815,245.1396,245.14097,0.0275,0.5612,0.654,ESTIMATED,245.13985,8.638E4,3.391E7,2.499,1.8718,3.391E7,8.815E5,0.5788,245.13939,245.1406,0.0291,0.5585,0.6889,ESTIMATED,245.13967,1.515E5,2.76E7,2.5834,1.8531,2.76E7,9.907E5,0.5849,245.13958,245.14077,0.0286,0.5617,0.669,ESTIMATED,245.13968,5.401E4,3.095E7,4.7195,1.6488,3.095E7
