rt,rt_range:min,rt_range:max,mz,datafile:SA2.mzML:area,datafile:SB2.mzML:area,datafile:SA1.mzML:area,datafile:SB1.mzML:area,datafile:SB3.mzML:area,datafile:SA3.mzML:area,datafile:SB5.mzML:area,datafile:SA4.mzML:area,datafile:SB4.mzML:area,datafile:SA5.mzML:area,True RT,Compound Name,Fold change,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
18.8898,18.5511,19.1493,371.1622,5941000.0,3167000.0,5481000.0,2679000.0,2705000.0,5819000.0,8282.0,5835000.0,3277000.0,7282000.0,18.85,1.0,0.47,1/2,6071600.0,11.501758148970463,2367256.4,56.84484557359938,0.38989004545754,0.829553288207532
17.6603,17.3603,17.96,442.22328,390000.0,9394000.0,400500.0,8318000.0,8530000.0,384700.0,8679000.0,392200.0,8533000.0,394000.0,17.66,2.0,21.23,16/1,392280.0,1.4709787078169252,8690800.0,4.759427494081157,22.15458346079331,1.0435507989068917
2.9726,2.5819,3.0468,292.11165,148100.0,31890.0,163700.0,45260.0,46850.0,106200.0,19970.0,94460.0,7959.0,10640.0,3.01,3.0,1.91,2/1,104620.0,57.18872416031514,30385.8,54.7244892964434,0.2904396864844198,0.15206266308084807
22.774,22.4683,23.0799,502.23951,2415000.0,2547000.0,2319000.0,2370000.0,2452000.0,2394000.0,1671000.0,2434000.0,2258000.0,2744000.0,22.78,4.0,1.06,1/1,2461200.0,6.663502930783996,2259600.0,15.302739903340562,0.9180887372013652,0.8661214501899671
3.3664,3.2577,3.4613,342.17061,1095000.0,1007000.0,1066000.0,986200.0,1156000.0,1000000.0,1109000.0,1001000.0,1067000.0,973200.0,3.37,5.0,1.07,1/1,1027040.0,4.975366290232172,1065040.0,6.60504236353011,1.0369995326374826,0.9691584417172734
17.1983,16.9972,17.3862,455.17883,11700.0,12810.0,10960.0,11430.0,10470.0,11840.0,9713.0,12390.0,10690.0,12610.0,17.2,6.0,0.93,1/1,11900.0,5.432043534106628,11022.6,10.63026066898728,0.9262689075630253,0.9959880726484143
28.9935,28.722,29.1359,408.13497,13700.0,13190.0,14440.0,13060.0,11010.0,13970.0,3541.0,13540.0,5699.0,14370.0,29.02,7.0,0.84,1/1,14004.0,2.8404837687334665,9300.0,47.582036915432916,0.6640959725792631,0.7905904435467418
0.5792,0.5598,0.6342,359.24504,254400.0,236200.0,218200.0,239300.0,223100.0,255700.0,223800.0,250800.0,238000.0,252600.0,0.58,8.0,0.99,1/1,246340.0,6.429783536542503,232080.0,3.429185894457762,0.9421125274011529,0.9516288155567202
26.9614,26.7798,27.2477,527.31342,227700.0,157200.0,177400.0,161400.0,151100.0,169000.0,149900.0,171500.0,149600.0,175400.0,26.96,9.0,0.85,1/1,184200.0,13.320853886063652,153840.0,3.400263581679385,0.8351791530944626,0.9825637095228972
5.5421,5.3801,5.8398,571.31628,271500.0,291700.0,249900.0,297800.0,315100.0,299600.0,353700.0,294700.0,346700.0,292700.0,5.54,10.0,1.01,1/1,281680.0,7.373864142926973,321000.0,8.757884258174126,1.13959102527691,1.1283079458187226
28.924,28.8621,28.9948,360.99117,4462.0,1414.0,3103.0,3543.0,816.4,1929.0,2811.0,2141.0,2025.0,3470.0,28.92,11.0,0.95,1/1,3021.0,34.12707394110847,2121.88,51.135671674753034,0.7023766964581265,0.7393438910085542
