id,area,rt,mz_range:min,mz_range:max,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,alignment_scores:ion_mobility_absolute_error,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,datafile:SB5.mzML:area,datafile:SB5.mzML:rt,datafile:SB5.mzML:mz_range:min,datafile:SB5.mzML:mz_range:max,datafile:SB5.mzML:fwhm,datafile:SB5.mzML:rt_range:min,datafile:SB5.mzML:rt_range:max,datafile:SB5.mzML:feature_state,datafile:SB5.mzML:mz,datafile:SB5.mzML:intensity_range:min,datafile:SB5.mzML:intensity_range:max,datafile:SB5.mzML:asymmetry_factor,datafile:SB5.mzML:tailing_factor,datafile:SB5.mzML:height,datafile:SA5.mzML:area,datafile:SA5.mzML:rt,datafile:SA5.mzML:mz_range:min,datafile:SA5.mzML:mz_range:max,datafile:SA5.mzML:fwhm,datafile:SA5.mzML:rt_range:min,datafile:SA5.mzML:rt_range:max,datafile:SA5.mzML:feature_state,datafile:SA5.mzML:mz,datafile:SA5.mzML:intensity_range:min,datafile:SA5.mzML:intensity_range:max,datafile:SA5.mzML:asymmetry_factor,datafile:SA5.mzML:tailing_factor,datafile:SA5.mzML:height,datafile:SB2.mzML:area,datafile:SB2.mzML:rt,datafile:SB2.mzML:mz_range:min,datafile:SB2.mzML:mz_range:max,datafile:SB2.mzML:fwhm,datafile:SB2.mzML:rt_range:min,datafile:SB2.mzML:rt_range:max,datafile:SB2.mzML:feature_state,datafile:SB2.mzML:mz,datafile:SB2.mzML:intensity_range:min,datafile:SB2.mzML:intensity_range:max,datafile:SB2.mzML:asymmetry_factor,datafile:SB2.mzML:tailing_factor,datafile:SB2.mzML:height,datafile:SA2.mzML:area,datafile:SA2.mzML:rt,datafile:SA2.mzML:mz_range:min,datafile:SA2.mzML:mz_range:max,datafile:SA2.mzML:fwhm,datafile:SA2.mzML:rt_range:min,datafile:SA2.mzML:rt_range:max,datafile:SA2.mzML:feature_state,datafile:SA2.mzML:mz,datafile:SA2.mzML:intensity_range:min,datafile:SA2.mzML:intensity_range:max,datafile:SA2.mzML:asymmetry_factor,datafile:SA2.mzML:tailing_factor,datafile:SA2.mzML:height,datafile:SB3.mzML:area,datafile:SB3.mzML:rt,datafile:SB3.mzML:mz_range:min,datafile:SB3.mzML:mz_range:max,datafile:SB3.mzML:fwhm,datafile:SB3.mzML:rt_range:min,datafile:SB3.mzML:rt_range:max,datafile:SB3.mzML:feature_state,datafile:SB3.mzML:mz,datafile:SB3.mzML:intensity_range:min,datafile:SB3.mzML:intensity_range:max,datafile:SB3.mzML:asymmetry_factor,datafile:SB3.mzML:tailing_factor,datafile:SB3.mzML:height,datafile:SA4.mzML:area,datafile:SA4.mzML:rt,datafile:SA4.mzML:mz_range:min,datafile:SA4.mzML:mz_range:max,datafile:SA4.mzML:fwhm,datafile:SA4.mzML:rt_range:min,datafile:SA4.mzML:rt_range:max,datafile:SA4.mzML:feature_state,datafile:SA4.mzML:mz,datafile:SA4.mzML:intensity_range:min,datafile:SA4.mzML:intensity_range:max,datafile:SA4.mzML:asymmetry_factor,datafile:SA4.mzML:tailing_factor,datafile:SA4.mzML:height,datafile:SA1.mzML:area,datafile:SA1.mzML:rt,datafile:SA1.mzML:mz_range:min,datafile:SA1.mzML:mz_range:max,datafile:SA1.mzML:fwhm,datafile:SA1.mzML:rt_range:min,datafile:SA1.mzML:rt_range:max,datafile:SA1.mzML:feature_state,datafile:SA1.mzML:mz,datafile:SA1.mzML:intensity_range:min,datafile:SA1.mzML:intensity_range:max,datafile:SA1.mzML:asymmetry_factor,datafile:SA1.mzML:tailing_factor,datafile:SA1.mzML:height,datafile:SB1.mzML:area,datafile:SB1.mzML:rt,datafile:SB1.mzML:mz_range:min,datafile:SB1.mzML:mz_range:max,datafile:SB1.mzML:fwhm,datafile:SB1.mzML:rt_range:min,datafile:SB1.mzML:rt_range:max,datafile:SB1.mzML:feature_state,datafile:SB1.mzML:mz,datafile:SB1.mzML:intensity_range:min,datafile:SB1.mzML:intensity_range:max,datafile:SB1.mzML:asymmetry_factor,datafile:SB1.mzML:tailing_factor,datafile:SB1.mzML:height,datafile:SB4.mzML:area,datafile:SB4.mzML:rt,datafile:SB4.mzML:mz_range:min,datafile:SB4.mzML:mz_range:max,datafile:SB4.mzML:fwhm,datafile:SB4.mzML:rt_range:min,datafile:SB4.mzML:rt_range:max,datafile:SB4.mzML:feature_state,datafile:SB4.mzML:mz,datafile:SB4.mzML:intensity_range:min,datafile:SB4.mzML:intensity_range:max,datafile:SB4.mzML:asymmetry_factor,datafile:SB4.mzML:tailing_factor,datafile:SB4.mzML:height,datafile:SA3.mzML:area,datafile:SA3.mzML:rt,datafile:SA3.mzML:mz_range:min,datafile:SA3.mzML:mz_range:max,datafile:SA3.mzML:fwhm,datafile:SA3.mzML:rt_range:min,datafile:SA3.mzML:rt_range:max,datafile:SA3.mzML:feature_state,datafile:SA3.mzML:mz,datafile:SA3.mzML:intensity_range:min,datafile:SA3.mzML:intensity_range:max,datafile:SA3.mzML:asymmetry_factor,datafile:SA3.mzML:tailing_factor,datafile:SA3.mzML:height
1,2.085E6,0.5754,150.07756,150.07784,1,10,0,0.872,1.26,0.00019,0.007,0,0.5539,0.6997,150.07771,2.457E4,4.642E7,4.642E7,1.879E6,0.5774,150.0777,150.07795,0.0259,0.5571,0.6992,ESTIMATED,150.07779,4.353E5,4.251E7,6.736,3.4983,4.251E7,1.956E6,0.5733,150.07756,150.07784,0.0301,0.5559,0.698,ESTIMATED,150.07768,1.071E6,3.918E7,8.6753,4.0813,3.918E7,1.877E6,0.5757,150.07766,150.07794,0.0238,0.5583,0.6975,ESTIMATED,150.07778,2.035E5,4.642E7,8.6506,4.5761,4.642E7,2.036E6,0.5771,150.07754,150.07804,0.0268,0.5539,0.6989,ESTIMATED,150.07761,2.718E4,4.365E7,6.0633,3.5569,4.365E7,1.805E6,0.5791,150.07723,150.07791,0.0283,0.5588,0.698,ESTIMATED,150.07776,4.382E4,3.777E7,7.5186,3.8579,3.777E7,1.938E6,0.5731,150.07714,150.07798,0.0264,0.5556,0.6978,ESTIMATED,150.07765,2.457E4,4.214E7,10.7585,5.0329,4.214E7,2.085E6,0.573,150.07755,150.0778,0.0264,0.5556,0.6976,ESTIMATED,150.07766,3.732E5,4.291E7,8.6184,4.5238,4.291E7,1.93E6,0.5721,150.07758,150.07787,0.0271,0.5546,0.6997,ESTIMATED,150.07773,2.502E4,4.292E7,9.4738,5.9484,4.292E7,1.819E6,0.5759,150.07773,150.07816,0.025,0.5585,0.6977,ESTIMATED,150.0778,8.399E5,4.313E7,7.8676,3.948,4.313E7,1.997E6,0.5775,150.07752,150.07776,0.0262,0.5543,0.6992,ESTIMATED,150.07761,2.37E5,4.181E7,5.8996,3.4437,4.181E7
2,5.289E5,0.576,136.06183,136.06237,1,10,0,0.86,2.37,0.00032,0.0197,0,0.5539,0.7968,136.06202,2.967E4,7.423E6,7.423E6,4.866E5,0.5745,136.0619,136.06242,0.06,0.5571,0.7398,ESTIMATED,136.06204,2.11E5,6.881E6,9.8886,5.1943,6.881E6,5.289E5,0.5676,136.06183,136.06237,0.0624,0.5559,0.7823,ESTIMATED,136.06196,1.952E5,6.859E6,17.1464,9.2318,6.859E6,4.991E5,0.5873,136.06186,136.06241,0.0538,0.5583,0.7468,ESTIMATED,136.06199,1.248E5,7.109E6,5.6639,3.1445,7.109E6,5.251E5,0.5742,136.06178,136.06233,0.0519,0.5539,0.757,ESTIMATED,136.06208,4.093E4,7.423E6,9.2525,4.9777,7.423E6,5.102E5,0.5791,136.0619,136.06213,0.0368,0.5588,0.7968,ESTIMATED,136.06198,9.112E4,6.657E6,9.4747,6.0758,6.657E6,5.186E5,0.5731,136.06179,136.06234,0.082,0.5556,0.7704,ESTIMATED,136.06195,2.967E4,6.404E6,11.6328,7.0538,6.404E6,5.007E5,0.5788,136.06165,136.06208,0.0879,0.5556,0.7179,ESTIMATED,136.06187,2.201E5,7.145E6,6.4606,3.4992,7.145E6,4.698E5,0.5779,136.0619,136.06239,0.0561,0.5546,0.7345,ESTIMATED,136.06208,4.944E4,6.523E6,7.1097,3.9705,6.523E6,4.874E5,0.5788,136.06194,136.06241,0.0767,0.5585,0.7645,ESTIMATED,136.06219,2.761E5,6.206E6,9.2505,4.8534,6.206E6,5.111E5,0.5688,136.06178,136.06231,0.0566,0.5543,0.7632,ESTIMATED,136.06202,1.768E5,6.466E6,14.1453,7.0794,6.466E6
3,6.004E6,0.576,146.11783,146.11802,1,10,0,0.781,3.71,0.00054,0.0087,0,0.5509,0.6599,146.11782,2.469E4,1.71E8,1.71E8,5.252E6,0.5774,146.11759,146.11809,0.0283,0.5571,0.6585,ESTIMATED,146.11795,2.991E6,1.509E8,2.7565,2.4979,1.509E8,5.385E6,0.5705,146.11783,146.11802,0.0294,0.553,0.6574,ESTIMATED,146.11793,4.307E4,1.482E8,4.2996,3.5371,1.482E8,5.284E6,0.5757,146.11753,146.11807,0.028,0.5583,0.6598,ESTIMATED,146.11768,1.198E6,1.57E8,3.907,3.0577,1.57E8,5.614E6,0.5771,146.1178,146.11796,0.0289,0.5509,0.6583,ESTIMATED,146.11786,2.863E4,1.58E8,2.9737,2.5911,1.58E8,5.323E6,0.5791,146.11749,146.11804,0.0301,0.5558,0.6574,ESTIMATED,146.11756,2.469E4,1.492E8,2.7655,2.4336,1.492E8,5.431E6,0.5731,146.11747,146.11799,0.0309,0.5556,0.6571,ESTIMATED,146.11787,4.346E4,1.552E8,4.1835,3.4776,1.552E8,6.004E6,0.5788,146.1174,146.11792,0.031,0.5556,0.6599,ESTIMATED,146.1175,2.465E6,1.592E8,2.1231,2.3757,1.592E8,5.94E6,0.575,146.11753,146.11808,0.0278,0.5546,0.659,ESTIMATED,146.11794,2.206E5,1.71E8,2.848,2.736,1.71E8,5.345E6,0.5759,146.11794,146.11813,0.0258,0.5554,0.6599,ESTIMATED,146.11804,4.544E4,1.599E8,2.9046,3.0418,1.599E8,5.483E6,0.5775,146.11742,146.11796,0.0306,0.5543,0.6586,ESTIMATED,146.11783,1.501E6,1.444E8,3.1432,2.2666,1.444E8
4,4.912E6,0.5766,172.11932,172.11987,1,10,0,0.873,1.3,0.00022,0.0087,0,0.553,0.6794,172.11942,2.123E4,1.386E8,1.386E8,4.662E6,0.5774,172.1194,172.1196,0.0285,0.5571,0.6789,ESTIMATED,172.11951,1.119E6,1.324E8,2.6045,2.8634,1.324E8,4.713E6,0.5705,172.11932,172.11987,0.0342,0.553,0.6777,ESTIMATED,172.1194,2.123E4,1.164E8,6.8957,3.1742,1.164E8,4.627E6,0.5757,172.1191,172.11956,0.027,0.5583,0.6772,ESTIMATED,172.11949,5.133E5,1.353E8,3.2174,2.6862,1.353E8,4.912E6,0.5771,172.11921,172.11981,0.0329,0.5539,0.6786,ESTIMATED,172.11932,1.346E5,1.301E8,2.4044,3.2825,1.301E8,4.525E6,0.5791,172.11939,172.1196,0.0305,0.5588,0.6777,ESTIMATED,172.11948,1.901E5,1.183E8,2.8246,2.5392,1.183E8,4.721E6,0.5789,172.11927,172.11975,0.0291,0.5586,0.6774,ESTIMATED,172.11936,3.234E6,1.275E8,2.4429,2.0935,1.275E8,4.365E6,0.5788,172.11926,172.11942,0.0297,0.5556,0.628,ESTIMATED,172.11935,1.353E6,1.295E8,2.0889,8.2762,1.295E8,4.887E6,0.575,172.11927,172.12011,0.0293,0.5546,0.6794,ESTIMATED,172.11944,5.356E4,1.386E8,2.7918,2.5524,1.386E8,4.503E6,0.5759,172.11939,172.12003,0.0281,0.5585,0.6773,ESTIMATED,172.11954,1.954E6,1.292E8,3.0881,2.3646,1.292E8,4.796E6,0.5775,172.11923,172.11946,0.0304,0.5543,0.6789,ESTIMATED,172.11932,7.382E5,1.288E8,2.1906,2.4709,1.288E8
5,2.557E5,0.5792,359.24462,359.24546,1,10,0,0.887,1.12,0.0004,0.0044,0,0.5598,0.6342,359.24504,7.508E4,9.059E6,9.059E6,2.238E5,0.5803,359.24354,359.24555,0.0356,0.56,0.6295,ESTIMATED,359.24517,7.508E4,7.356E6,2.353,1.7626,7.356E6,2.526E5,0.5791,359.24462,359.24546,0.028,0.5618,0.6255,ESTIMATED,359.245,2.831E5,9.059E6,1.9544,1.6369,9.059E6,2.362E5,0.5815,359.24372,359.24563,0.0272,0.5641,0.6163,ESTIMATED,359.24518,5.534E5,8.008E6,1.9997,1.4999,8.008E6,2.544E5,0.5771,359.24311,359.24545,0.0304,0.5598,0.6293,ESTIMATED,359.24487,1.712E5,7.888E6,2.1573,1.6658,7.888E6,2.231E5,0.5791,359.24351,359.24538,0.0285,0.5646,0.6342,ESTIMATED,359.2451,2.055E5,7.088E6,2.9794,2.2066,7.088E6,2.508E5,0.5789,359.24465,359.2455,0.0272,0.5644,0.631,ESTIMATED,359.24498,2.084E5,7.905E6,2.9887,1.9796,7.905E6,2.182E5,0.5788,359.24312,359.24527,0.031,0.5614,0.6222,ESTIMATED,359.2449,2.965E5,6.927E6,2.3238,1.6594,6.927E6,2.393E5,0.5779,359.24492,359.24556,0.0296,0.5605,0.6242,ESTIMATED,359.24514,2.401E5,7.923E6,2.6184,1.7315,7.923E6,2.38E5,0.5788,359.24491,359.24569,0.0293,0.5643,0.6338,ESTIMATED,359.24524,1.881E5,8.691E6,3.2655,2.2685,8.691E6,2.557E5,0.5804,359.24314,359.24527,0.0277,0.5601,0.6267,ESTIMATED,359.24484,2.062E5,7.837E6,1.5748,1.4616,7.837E6
6,1.034E6,0.5806,156.10219,156.10337,1,10,0,0.829,3.47,0.00054,0.0103,0,0.5576,0.7298,156.10256,2.655E4,2.882E7,2.882E7,9.538E5,0.5832,156.10223,156.10347,0.0247,0.56,0.7195,ESTIMATED,156.10257,1.009E5,2.801E7,2.4566,3.1427,2.801E7,9.742E5,0.5791,156.10219,156.10337,0.0257,0.5589,0.7213,ESTIMATED,156.10264,1.58E5,2.726E7,3.3479,3.5316,2.726E7,9.513E5,0.5815,156.10225,156.10325,0.0237,0.5641,0.7207,ESTIMATED,156.10249,2.745E5,2.698E7,5.8211,3.7544,2.698E7,1.034E6,0.58,156.10212,156.10328,0.0277,0.5598,0.7163,ESTIMATED,156.10259,2.275E5,2.882E7,2.4378,3.074,2.882E7,9.34E5,0.5878,156.10221,156.1034,0.0267,0.5646,0.7184,ESTIMATED,156.10237,2.7E5,2.541E7,4.0354,2.8814,2.541E7,9.67E5,0.5789,156.10212,156.10336,0.0276,0.5586,0.7298,ESTIMATED,156.10258,2.655E4,2.53E7,3.8953,4.5642,2.53E7,9.77E5,0.5788,156.10206,156.10326,0.0271,0.5614,0.7179,ESTIMATED,156.10232,2.713E5,2.66E7,4.383,4.2778,2.66E7,9.633E5,0.5779,156.10222,156.10324,0.0271,0.5576,0.7229,ESTIMATED,156.10264,6.066E4,2.603E7,3.8419,2.8908,2.603E7,9.578E5,0.5817,156.10238,156.1033,0.0242,0.5614,0.7296,ESTIMATED,156.10286,1.328E5,2.672E7,3.7192,3.61,2.672E7,1.003E6,0.5775,156.10209,156.10323,0.0263,0.5601,0.7254,ESTIMATED,156.10251,2.576E5,2.808E7,4.2193,3.505,2.808E7
7,1.047E6,0.5806,245.13958,245.14098,1,10,0,0.743,3.88,0.00095,0.0074,0,0.5568,0.6889,245.14022,2.735E4,3.523E7,3.523E7,1.03E6,0.5803,245.13961,245.1409,0.0264,0.56,0.6585,ESTIMATED,245.14039,1.441E5,3.333E7,2.3615,1.8001,3.333E7,1.006E6,0.5791,245.13958,245.14098,0.0268,0.5589,0.6719,ESTIMATED,245.14042,2.093E5,3.444E7,2.0844,1.7334,3.444E7,9.711E5,0.5815,245.1396,245.14097,0.0275,0.5612,0.654,ESTIMATED,245.13985,8.638E4,3.391E7,2.499,1.8718,3.391E7,1.047E6,0.5829,245.13947,245.14077,0.0269,0.5568,0.6554,ESTIMATED,245.14038,5.472E4,3.523E7,1.5177,1.5824,3.523E7,9.907E5,0.5849,245.13958,245.14077,0.0286,0.5617,0.669,ESTIMATED,245.13968,5.401E4,3.095E7,4.7195,1.6488,3.095E7,9.819E5,0.5818,245.13949,245.14077,0.0308,0.5586,0.6716,ESTIMATED,245.14033,2.735E4,2.977E7,2.1897,1.7297,2.977E7,8.815E5,0.5788,245.13939,245.1406,0.0291,0.5585,0.6889,ESTIMATED,245.13967,1.515E5,2.76E7,2.5834,1.8531,2.76E7,1.006E6,0.5808,245.13963,245.14087,0.3466,0.5605,0.659,ESTIMATED,245.1405,2.759E5,3.247E7,1.9903,1.4975,3.247E7,1.025E6,0.5788,245.13977,245.14096,0.0302,0.5614,0.6425,ESTIMATED,245.14062,1.382E5,3.396E7,2.9389,2.134,3.396E7,1.037E6,0.5775,245.13948,245.14073,0.0281,0.5572,0.6789,ESTIMATED,245.14041,6.787E4,3.36E7,2.3487,1.9636,3.36E7
8,6.315E5,0.5806,316.17591,316.17877,1,10,0,0.875,1.24,0.00039,0.0128,0,0.5572,0.689,316.17738,5.76E4,1.654E7,1.654E7,5.757E5,0.5803,316.17726,316.17828,0.0337,0.5629,0.673,ESTIMATED,316.17751,3.283E5,1.483E7,5.0743,3.0925,1.483E7,5.883E5,0.5791,316.17591,316.17877,0.0268,0.5589,0.6661,ESTIMATED,316.17734,1.642E5,1.649E7,3.758,2.8582,1.649E7,5.929E5,0.5815,316.17616,316.17887,0.0282,0.5612,0.6714,ESTIMATED,316.17751,6.698E4,1.654E7,4.4075,3.0038,1.654E7,6.315E5,0.5771,316.17656,316.17865,0.0291,0.5598,0.6757,ESTIMATED,316.17718,2.47E5,1.565E7,5.1163,3.0588,1.565E7,5.83E5,0.5878,316.17669,316.17785,0.0294,0.5646,0.6864,ESTIMATED,316.1775,2.132E5,1.565E7,4.2827,2.5942,1.565E7,5.855E5,0.5818,316.17702,316.17791,0.0311,0.5615,0.6716,ESTIMATED,316.17725,1.086E5,1.595E7,3.4369,2.624,1.595E7,5.918E5,0.5817,316.17707,316.17774,0.0363,0.5614,0.6773,ESTIMATED,316.17728,2.901E5,1.544E7,3.6981,2.5608,1.544E7,5.752E5,0.575,316.17726,316.1779,0.6076,0.5605,0.6648,ESTIMATED,316.17743,2.221E5,1.589E7,6.3365,3.8864,1.589E7,5.956E5,0.5846,316.17681,316.17836,0.0296,0.5643,0.689,ESTIMATED,316.17758,2.364E5,1.615E7,3.296,2.6027,1.615E7,6.151E5,0.5775,316.17701,316.17754,0.0317,0.5572,0.6644,ESTIMATED,316.1772,5.76E4,1.589E7,4.198,3.9176,1.589E7
9,3.779E5,0.5809,114.12778,114.12825,1,10,0,0.833,2.86,0.00033,0.0078,0,0.5572,0.6542,114.128,8.484E4,1.337E7,1.337E7,3.307E5,0.5803,114.12782,114.12821,0.0288,0.5629,0.6324,ESTIMATED,114.12807,3.892E5,1.234E7,2.646,1.9584,1.234E7,3.377E5,0.5791,114.12778,114.12825,0.0273,0.5589,0.6371,ESTIMATED,114.12804,3.425E5,1.173E7,2.4577,1.9776,1.173E7,3.201E5,0.5844,114.12778,114.12818,0.027,0.5641,0.6336,ESTIMATED,114.12802,3.789E5,1.184E7,2.2203,1.5893,1.184E7,3.33E5,0.5771,114.12772,114.12817,0.023,0.5598,0.6322,ESTIMATED,114.12799,3.596E5,1.254E7,2.8098,1.8433,1.254E7,3.07E5,0.5849,114.12771,114.1281,0.0362,0.5646,0.6342,ESTIMATED,114.12782,1.546E5,1.144E7,1.8917,1.8535,1.144E7,3.518E5,0.5847,114.12768,114.12815,0.0248,0.5615,0.6542,ESTIMATED,114.12802,1.195E5,1.199E7,1.6585,1.7814,1.199E7,3.668E5,0.5788,114.12767,114.12832,0.0237,0.5585,0.6425,ESTIMATED,114.12782,8.484E4,1.337E7,3.3356,2.2038,1.337E7,3.779E5,0.5837,114.12781,114.12816,0.0267,0.5605,0.6416,ESTIMATED,114.12809,2.922E5,1.265E7,1.9214,1.6864,1.265E7,3.258E5,0.5788,114.12785,114.12828,0.0252,0.5643,0.6367,ESTIMATED,114.12814,3.003E5,1.105E7,2.8551,2.0335,1.105E7,3.226E5,0.5775,114.12772,114.12815,0.0229,0.5572,0.6296,ESTIMATED,114.128,8.548E4,1.179E7,2.6038,2.6514,1.179E7
10,9.834E5,0.5809,249.19582,249.19691,1,10,0,0.863,2.17,0.00054,0.0119,0,0.5568,0.7294,249.1967,4.548E4,2.844E7,2.844E7,9.024E5,0.5832,249.19596,249.19713,0.0274,0.56,0.7282,ESTIMATED,249.19684,1.122E5,2.653E7,2.3301,1.734,2.653E7,9.131E5,0.5791,249.19582,249.19691,0.0349,0.5589,0.7067,ESTIMATED,249.19673,1.97E5,2.744E7,2.1967,2.4876,2.744E7,9.156E5,0.5844,249.19558,249.19708,0.0281,0.5641,0.7294,ESTIMATED,249.19683,1.998E5,2.75E7,2.4302,1.929,2.75E7,9.834E5,0.58,249.19572,249.1968,0.0278,0.5568,0.7163,ESTIMATED,249.19663,5.803E4,2.844E7,2.3265,2.8461,2.844E7,8.677E5,0.5878,249.19566,249.19706,0.0263,0.5617,0.7067,ESTIMATED,249.19635,4.548E4,2.715E7,2.2995,2.1781,2.715E7,9.218E5,0.5818,249.19566,249.19689,0.0302,0.5615,0.7269,ESTIMATED,249.19667,2.255E5,2.634E7,2.5391,2.8072,2.634E7,7.968E5,0.5759,249.19557,249.19687,0.0296,0.5614,0.6831,ESTIMATED,249.19661,3.389E5,2.303E7,4.0617,3.3968,2.303E7,9.333E5,0.5779,249.1959,249.19701,0.0294,0.5605,0.7258,ESTIMATED,249.19678,1.831E5,2.563E7,2.828,2.663,2.563E7,8.863E5,0.5817,249.19603,249.19715,0.0277,0.5614,0.6919,ESTIMATED,249.1969,1.166E5,2.686E7,2.8254,2.0815,2.686E7,9.569E5,0.5775,249.19629,249.1968,0.027,0.5601,0.7225,ESTIMATED,249.19662,2.201E5,2.791E7,2.4634,2.9668,2.791E7
