rt,rt_range:min,rt_range:max,mz,datafile:SA4.mzML:area,datafile:SA1.mzML:area,datafile:SA2.mzML:area,datafile:SA3.mzML:area,datafile:SA5.mzML:area,datafile:SB3.mzML:area,datafile:SB4.mzML:area,datafile:SB5.mzML:area,datafile:SB2.mzML:area,datafile:SB1.mzML:area,True RT,Compound Name,Fold change,Compound concentration ratio,p-value,AVG-A,CV-A,AVG-B,CV-B,fc,ratio,true p-value
18.8496,18.5009,19.1259,371.16224,5584000,5110000,5557000,5601000,7130000,2716000,3428000,2581000,3166000,2675000,18.8,1,0.47,1/2,0,5796400,13.3362129171637,2913200,12.5527935519339,0.502587813125388,1.06933577260721,6.67688588965496E-05
17.8518,17.8188,18.4181,442.22296,5556,4856,3956,3631,5522,426800,451300,15890,402100,251000,17.84,2,21.23,16/1,0,4704.2,18.8011565439758,309418,58.7255476001628,65.7748395051231,3.09820252026015,0.00562645175836311
22.774,22.4962,23.1197,502.23951,2331000,2153000,2234000,2280000,2686000,2496000,2392000,2150000,2559000,2374000,22.82,4,1.06,1/1,0.29,2336800,8.81045590607213,2394200,6.52326557225371,1.02456350564875,0.966569344951651,0.632775796591797
3.3664,3.2577,3.4613,342.17061,1001000,1066000,1095000,1000000,973200,1156000,1067000,1109000,1007000,986200,3.23,5,1.07,1/1,0.399,1027040,4.97536629023217,1065040,6.60504236353011,1.03699953263748,0.969158441717273,0.357056977026402
17.1983,16.9972,17.3799,455.17882,11970,10980,11320,11490,12290,10470,10690,9713,12810,11430,17.06,6,0.93,1/1,0.098,11610,4.49089032428207,11022.6,10.6302606689873,0.949405684754522,1.02086632769303,0.33573431233858
28.9935,28.722,29.1359,408.13499,13580,14440,13720,14000,14440,11140,5699,3541,13190,15070,28.84,7,0.84,1/1,0.157,14036,2.83982289389641,9728,50.6284809569346,0.693074950128242,0.825089226343145,0.0870585966344548
0.5792,0.5598,0.6342,359.24504,250800,218200,254400,255700,252600,223100,238000,223800,236200,239300,0.73,8,0.99,1/1,0.847,246340,6.4297835365425,232080,3.42918589445776,0.942112527401153,0.95162881555672,0.109748419606316
26.9614,26.7798,27.2477,527.31342,171500,177400,227700,169000,175400,151100,149600,149900,157200,161400,27,9,0.85,1/1,0.151,184200,13.3208538860637,153840,3.40026358167938,0.835179153094463,0.982563709522897,0.026827316057711
5.5785,5.5273,5.9963,571.3162,137200,66770,90900,127800,133000,286200,333300,359400,5890,204900,5.62,10,1.01,1/1,0.932,111134,27.7811599001175,237938,59.8485905460353,2.14100095380352,2.11980292455794,0.0875419173724072
28.924,28.8621,28.9948,360.99117,2141,3103,4462,1929,3470,816.4,2025,2811,1414,3543,28.73,11,0.95,1/1,0.463,3021,34.1270739411085,2121.88,51.135671674753,0.702376696458127,0.739343891008554,0.216048351854859
23.3587,23.2505,23.6694,312.12368,4883000,5284000,4971000,4753000,4321000,3216000,3849000,4062000,2625000,2656000,23.55,12,0.67,1/1,0.073,4842400,7.25026018097889,3281600,20.2006473240434,0.677680489013712,1.01146341643838,0.00163921058062392
