rt,rt_range:min,rt_range:max,mz,datafile:SampleA_3-20170326-960MIX_SampleA_4.mzML:area,datafile:20170326-960MIX_SampleA_2.mzML:area,datafile:20170326-960MIX_SampleA_1.mzML:area,datafile:SampleA_4-20170326-960MIX_SampleA_5.mzML:area,datafile:20170326-960MIX_SampleB_3.mzML:area,datafile:20170326-960MIX_SampleB_2.mzML:area,datafile:20170326-960MIX_SampleB_4.mzML:area,datafile:20170326-960MIX_SampleB_1.mzML:area,True RT,Compound Name,Fold change,Compound concentration ratio,p-value,AVG-A,CV-A,AVG-B,CV-B,fc,ratio,true p-value
15.8043,15.451,16.1418,453.20708,30460,30570,31500,28100,1713,813.8,1834,1049,15.8,2,0.05,1/16,0,30157.5,4.80419211123848,1352.45,36.8245487801356,0.0448462239907154,0.896924479814308,2.36099798752079E-08
26.0622,25.9196,26.2704,495.21786,2118,2111,1993,2029,1176,1144,1236,1040,26.07,3,0.54,1/2,0.001,2062.75,2.98644503471673,1149,7.14229894485794,0.557023391104109,1.03152479834094,2.01383487368891E-06
12.4558,12.1792,12.8871,531.15588,28050,28750,31600,25930,32960,30380,33920,30360,12.46,5,1.17,1/1,0.284,28582.5,8.19327288917924,31905,5.68969164423953,1.11624245604828,0.954053381237847,0.066106706604161
3.2928,2.8004,3.5973,407.22366,60980,58940,61750,54610,15890,15180,15160,12730,3.3,6,0.28,1/4,0,59070,5.41897652000827,14740,9.37816153014813,0.249534450651769,0.891194466613461,2.43728716342481E-07
12.3957,12.1575,13.0473,278.19067,82100,79810,81300,75280,19320,38290,4226,41380,12.39,7,0.54,1/2,0,79622.5,3.8262476866389,25804,67.3528250441546,0.324079248956011,0.600146757325947,0.000884069349072118
25.0132,24.8516,25.1842,345.24181,1147,1201,1195,1188,629.9,617.2,627.3,557.6,25.02,8,0.54,1/2,0,1182.75,2.06453019608113,608,5.59927623294936,0.514056224899598,0.951955972036293,1.54949841830571E-07
3.9399,3.6309,4.2819,268.19103,28180,26630,26960,28250,63240,59860,64190,60490,3.94,9,2.06,2/1,0.001,27505,3.02244771788634,61945,3.38385883801283,2.25213597527722,1.09326989091127,8.17100771209357E-08
24.5813,24.2056,25.0678,416.99025,10260,9789,10500,10690,44730,44150,42320,47110,24.58,10,3.91,4/1,0,10309.75,3.77511227421388,44577.5,4.43313573315327,4.3238196852494,1.10583623663668,4.29001946529678E-08
12.1753,11.6834,12.672,264.1751,101500,107500,109900,100100,28070,27940,25320,27030,12.18,11,0.27,1/4,0,104750,4.48687350835322,27090,4.67871783283251,0.258615751789976,0.957836117740652,6.2992763635896E-08
3.4227,3.0761,3.9071,320.14081,9400,9190,8854,9575,152000,143300,138800,130900,3.42,12,16.15,16/1,0,9254.75,3.35050690504834,141250,6.23772661306962,15.2624328047759,0.945042278933494,9.20177153743346E-08
