,Compound Name,/home/zzy/peakformer/resources/paper/qe/SA1_Area,/home/zzy/peakformer/resources/paper/qe/SA2_Area,/home/zzy/peakformer/resources/paper/qe/SA3_Area,/home/zzy/peakformer/resources/paper/qe/SA4_Area,/home/zzy/peakformer/resources/paper/qe/SA5_Area,/home/zzy/peakformer/resources/paper/qe/SB1_Area,/home/zzy/peakformer/resources/paper/qe/SB2_Area,/home/zzy/peakformer/resources/paper/qe/SB3_Area,/home/zzy/peakformer/resources/paper/qe/SB4_Area,/home/zzy/peakformer/resources/paper/qe/SB5_Area,mz,RT,formula,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
0,1,6066171.168,6128799.847,5930161.306,5958717.998,7375805.214,2687452.595,3176111.118,2723248.93,3465608.302,2771969.727,371.1617,18.85,C21H26N2S2,0.47,0.0,1/2,6291931.1066,9.71405819669578,2964878.1344,11.535750807660188,0.4712191033512675,1.0025938369175904
1,2,401848.9,391749.662,387360.078,393923.542,395870.968,8365931.743,9438993.51,8577722.723,8579559.249,8732857.028,442.2233,17.66,C25H31NO6,21.23,0.0,16/1,394150.63,1.355336512804389,8739012.850599999,4.72026577151683,22.171759184045953,1.0443598296771528
2,3,453320.276,447989.535,378247.511,410680.569,380101.386,389997.836,399305.37,488770.813,450522.448,470569.894,292.1118,3.01,C14H17N3O2S,1.91,0.019,2/1,414067.85539999994,8.657019900518259,439833.2722,9.897271037439213,1.0622251074648381,0.5561387997198105
3,4,2540496.209,2556578.622,2478965.784,2508828.479,2790164.092,2384982.038,2575354.952,2537711.861,2498678.393,2487765.686,502.2395,22.78,C27H31N7OS,1.06,0.29,1/1,2575006.6372,4.812493919863252,2496898.586,2.8624330603983306,0.9696668544183121,0.9147800513380303
4,5,1040418.6,1109046.095,1013167.355,1006414.88,993850.072,990308.277,1028354.04,1180081.053,1093772.127,1137178.545,342.1706,3.37,C20H23NO4,1.07,0.399,1/1,1032579.4003999999,4.456436400930974,1085938.8084,7.134578280476179,1.0516758401139221,0.9828746169288991
5,6,12262.023,12203.256,12058.267,12657.271,12697.979,11900.302,13367.898,11354.441,11112.138,10555.858,455.1791,17.2,C20H22N8O5,0.93,0.098,1/1,12375.7592,2.3087966135538944,11658.1274,9.18585080100565,0.9420131089816292,1.0129173214856226
7,8,225024.711,261887.398,262178.6,259593.24,263635.631,244770.999,248850.564,228416.875,242565.054,225242.384,359.2447,0.58,C20H30N4O2,0.99,0.847,1/1,254463.91600000003,6.492317326109095,237969.17520000003,4.402365558012001,0.9351784682901759,0.9446247154446221
8,9,177781.03,228803.762,169518.266,172031.689,176339.273,162119.593,157913.586,151572.75,150350.263,150738.466,527.3126,26.96,C31H38N6O2,0.85,0.151,1/1,184894.804,13.395402739285139,154538.9316,3.3878132085985,0.8358208465393111,0.9833186429874249
9,10,266710.706,286137.077,310206.489,306871.887,306097.002,312143.683,302354.153,329040.327,366423.165,373558.371,571.3155,5.54,C31H38N8O3,1.01,0.932,1/1,295204.6322,6.278155772944273,336703.9398,9.489183792830874,1.1405781043838241,1.1292852518651724
10,11,3579.73,5083.305,3330.464,3797.277,4869.766,4205.121,3295.501,3595.145,2892.051,3584.267,360.9916,28.92,C14H11Cl3N2O3,0.95,0.463,1/1,4132.1084,19.165921720978794,3514.417,13.673813035230461,0.8505142314272297,0.8952781383444524
