,Compound Name,/home/zzy/peakformer/resources/paper/qe-shift/SA1_Area,/home/zzy/peakformer/resources/paper/qe-shift/SA2_Area,/home/zzy/peakformer/resources/paper/qe-shift/SA3_Area,/home/zzy/peakformer/resources/paper/qe-shift/SA4_Area,/home/zzy/peakformer/resources/paper/qe-shift/SA5_Area,/home/zzy/peakformer/resources/paper/qe-shift/SB1_Area,/home/zzy/peakformer/resources/paper/qe-shift/SB2_Area,/home/zzy/peakformer/resources/paper/qe-shift/SB3_Area,/home/zzy/peakformer/resources/paper/qe-shift/SB4_Area,/home/zzy/peakformer/resources/paper/qe-shift/SB5_Area,Compound formula,mz,RT,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
0,1,6066445.86,6126045.873,5931419.899,5959626.306,7377632.13,2687086.246,3175441.973,2723005.039,3465552.918,2771785.431,C21H26N2S2,371.1617,18.8,0.47,0.0,1/2,6292234.0136,9.72408903787728,2964574.3214000002,11.537602363690844,0.4711481351444313,1.0024428407328327
1,2,401897.385,391845.599,387424.793,394096.456,395945.733,8369138.63,9446605.375,8586944.26,8588774.424,8741263.294,C25H31NO6,442.2233,17.84,21.23,0.0,16/1,394241.9932,1.3526172367596057,8746545.196600001,4.724064449350066,22.185726907490686,1.045017753532298
2,3,452620.199,449130.963,372629.827,401792.528,385551.083,373758.189,398559.977,493005.797,446139.249,464991.35,C14H17N3O2S,292.1118,3.1,1.91,0.019,2/1,412344.92000000004,8.89560824360795,435290.9124,11.175818556080738,1.0556475690303155,0.5526950623195369
3,4,2540553.626,2556849.558,2477440.985,2507949.058,2790052.226,2385294.99,2575732.228,2538667.737,2499525.158,2488116.368,C27H31N7OS,502.2395,22.82,1.06,0.29,1/1,2574569.0905999998,4.826982702747462,2497467.2961999997,2.8662707912315337,0.9700525440620311,0.9151439094924821
4,5,1039806.093,1108563.402,1013083.446,1006906.448,995182.872,990308.277,1027502.288,1179600.279,1092410.162,1136169.524,C20H23NO4,342.1706,3.23,1.07,0.399,1/1,1032708.4521999999,4.4012065371886395,1085198.1060000001,7.122169121561404,1.0508271755578067,0.9820814724839314
5,6,12262.023,12203.256,12058.267,12657.271,12697.979,11900.302,13367.898,11354.441,11112.138,10555.858,C20H22N8O5,455.1791,17.06,0.93,0.098,1/1,12375.7592,2.3087966135538944,11658.1274,9.18585080100565,0.9420131089816292,1.0129173214856226
6,7,785014.447,875465.904,741655.343,752052.648,840309.722,890819.16,777539.649,793263.548,744989.63,740884.689,C21H24ClO6,408.1344,28.84,0.84,0.157,1/1,798899.6128,7.201898294580027,789499.3352,7.696094154164165,0.9882334683239441,1.176468414671362
7,8,225024.711,261887.398,262178.6,259593.24,263635.631,244770.999,248850.564,228416.875,242565.054,225463.235,C20H30N4O2,359.2447,0.73,0.99,0.847,1/1,254463.91600000003,6.492317326109095,238013.3454,4.373474051918962,0.9353520496792165,0.9448000501810268
8,9,177781.03,228849.98,169518.266,172031.689,176339.273,162119.593,157913.586,151572.75,150350.263,150738.466,C31H38N6O2,527.3126,27.0,0.85,0.151,1/1,184904.04760000002,13.405811577064899,154538.9316,3.3878132085985,0.8357790627402144,0.9832694855767229
9,10,267196.025,286468.565,310206.489,306609.739,305785.872,311423.907,303628.919,330358.296,367825.784,374064.223,C31H38N8O3,571.3155,5.62,1.01,0.932,1/1,295253.33800000005,6.170995634310525,337460.2258,9.527410863531404,1.1429514331180906,1.131635082295139
10,11,3579.73,5083.305,3330.464,3797.277,4869.766,4205.121,3295.501,3595.145,2892.051,3584.267,C14H11Cl3N2O3,360.9916,28.73,0.95,0.463,1/1,4132.1084,19.165921720978794,3514.417,13.673813035230461,0.8505142314272297,0.8952781383444524
11,12,5576377.734,5234971.155,5001785.583,5117547.069,4538323.929,2992907.22,3029179.23,3592602.788,4298672.243,4464650.717,C18H17NO4,312.1234,23.55,0.67,0.073,1/1,5093801.094,7.413372165580345,3675602.4395999997,18.75881403197571,0.7215834249848312,1.0769901865445242
12,13,777425.894,789831.592,682290.18,671942.379,680054.201,659600.501,656071.666,748955.962,673665.113,682191.642,C11H12N2O2,205.0975,3.47,0.91,0.113,1/1,720308.8491999999,8.065536417183619,684096.9768000001,5.520346727841807,0.949727297616546,1.0436563710071933
13,14,251114.89,267074.063,237486.119,235539.14,235479.27,231711.358,231369.101,281805.866,234384.133,245118.808,C15H20BrN3O,338.0867,3.2,0.94,0.406,1/1,245338.69640000002,5.620936782808467,244877.8532,8.73393836416674,0.9981216041058251,1.0618314937296012
14,15,875238.443,876783.827,891494.769,882841.946,981305.488,961982.744,997226.645,870476.154,844195.481,894527.198,C17H11F6N7O,444.0999,19.56,1.05,0.36,1/1,901532.8946,4.99694808596888,913681.6444,7.00263913666947,1.0134756589279976,0.9652149132647596
15,16,1711463.271,1678443.151,1575990.124,1516696.397,997136.972,1253899.648,1189939.333,1327931.812,1420402.267,1372737.068,C23H20N6O,397.1778,4.56,0.77,0.032,1/1,1495945.983,19.35692036782169,1312982.0256,7.018066020814681,0.8776934732408718,1.1398616535595738
16,17,79424.795,75029.883,76878.781,66466.087,76080.585,77278.72,76558.468,89939.451,82712.079,82849.754,C27H27N5O2,454.2245,3.27,1.18,0.042,1/1,74776.02620000001,6.580614997810115,81867.69440000001,6.580077423593307,1.0948387947365943,0.9278294870649104
17,18,222128.656,256514.694,246886.56,225979.259,243016.09,245705.636,262436.285,303476.031,274117.759,281592.282,C26H27N5O2,442.2246,3.31,1.14,0.011,1/1,238905.05179999996,6.062959969212734,273465.5986,7.884034848773657,1.1446622687113897,1.004089709395956
18,19,157175.401,162973.793,142743.5,144366.368,145168.087,156230.732,147566.745,174637.293,160131.137,161415.022,C26H35N7O2S,510.2657,3.66,1.07,0.166,1/1,150485.42979999998,6.002474269149101,159996.18579999998,6.1323403755177734,1.0632005105918898,0.9936453370017662
19,20,3841842.599,3737639.543,3561766.05,3723184.421,3498476.593,3614605.846,3642665.744,3634055.933,3635331.321,3540061.799,C18H15NO4,310.1077,23.68,1.03,0.144,1/1,3672581.8412,3.8031507145427357,3613344.1286,1.1695892250338598,0.9838702811369768,0.9552138651815308
20,21,1599684.443,1692006.575,1458546.561,1462344.496,1428227.101,1387800.804,1399320.313,1659466.195,1405970.625,1414423.58,C10H17NOS,200.1107,3.38,0.91,0.112,1/1,1528161.8352,7.398104582330528,1453396.3034,7.954260750953885,0.9510748599540736,1.0451372087407402
21,22,4949137.396,5539014.688,4740085.627,4618065.027,4915509.403,3803416.623,3424989.807,3007403.294,3020487.777,2468611.93,C19H20N2O2,309.1601,4.31,0.86,0.072,1/1,4952362.4282,7.155811490551608,3144981.8861999996,15.928867751144505,0.6350467946957356,0.7384265054601576
22,23,1273463.916,1260407.798,1265629.427,1264125.813,1405759.719,1229820.776,1312621.595,1340641.653,1338731.019,1371699.309,C21H15F4N5O2S,478.0977,22.69,0.23,0.2,1/4,1293877.3346000002,4.847829006887632,1318702.8704,4.08862081184935,1.019186931508986,4.43124752829994
23,24,8828197.195,9724901.675,9621532.178,9296666.211,9219374.624,9160521.687,9265304.548,8988253.244,9343782.725,9289647.246,C15H24N2O4S,329.1535,0.53,0.99,0.707,1/1,9338134.376600001,3.807880163231472,9209501.89,1.5251884119372945,0.9862250336724288,0.996186902699423
