,Compound Name,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_2_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_1_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_2_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_3_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_4_Retention Time,/home/zzy/peak-output/tof/SampleA_3-20170326-960MIX_SampleA_4_Retention Time,/home/zzy/peak-output/tof/SampleA_4-20170326-960MIX_SampleA_5_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_2_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_1_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_2_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_3_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_4_Area,/home/zzy/peak-output/tof/SampleA_3-20170326-960MIX_SampleA_4_Area,/home/zzy/peak-output/tof/SampleA_4-20170326-960MIX_SampleA_5_Area,Compound formula,mz,rt,Fold change,Compound concentration ratio,p-value,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
0,1,12.627,12.603,12.294,12.214,12.131,12.04,12.508,12.46,4312.586,4189.513,18567.457,17942.309,18188.258,17872.169,4212.094,4254.608,C19H24N2S,313.1734,12.32,4.44,4/1,0.0,4242.20025,1.2760082473509164,18142.54825,1.7308830090559062,4.27668360304302,0.9632170277123918
1,2,15.82,15.816,15.887,15.773,15.825,15.848,15.778,15.781,5722.875,5547.158,170.358,152.39,250.34,262.429,5453.631,5034.948,C24H30F2O6,453.2079,15.8,0.05,1/16,0.0,5439.653,5.367585976212983,208.87924999999998,26.600177912565133,0.03839937032748228,0.7679874065496456
2,3,26.1,26.107,26.087,26.081,26.098,26.105,26.089,26.098,375.155,325.045,186.085,196.742,220.518,218.095,314.802,365.863,C26H32F2O7,495.2184,26.07,0.54,1/2,0.001,345.21625,8.616708191367833,205.36,8.137262656449519,0.5948735032027027,1.1016175985235235
3,4,13.145,13.115,12.906,12.87,12.839,12.819,12.991,12.984,11650.806,13145.559,14886.246,16963.97,16514.305,16060.836,11880.931,13171.398,C21H23ClFNO2,376.1464,12.96,1.35,1/1,0.014,12462.1735,6.496159595719825,16106.33925,5.54476884950068,1.2924181524193994,0.9573467795699254
4,5,12.423,12.441,12.524,12.541,12.511,12.504,12.468,12.492,5675.393,5082.956,5422.791,5388.697,6012.983,6251.916,5028.828,4714.265,C26H28Cl2N4O4,531.1562,12.46,1.17,1/1,0.284,5125.3605,7.8258582458495995,5769.096750000001,7.470461982006045,1.1255982384068401,0.9620497764161028
5,6,3.32,3.325,3.323,3.317,3.316,3.307,3.312,3.306,10451.109,9401.168,2158.231,2485.055,2712.223,2509.836,10083.849,9606.167,C18H34N2O6S,407.2227,3.3,0.28,1/4,0.0,9885.573250000001,4.787149492736397,2466.33625,9.294134370511454,0.24948844013674165,0.8910301433455058
6,7,12.697,12.664,12.361,12.299,12.203,12.128,12.589,12.535,15337.873,14683.381,7624.863,7816.5,7523.551,7683.811,15144.792,14012.352,C20H23N,278.1905,12.39,0.54,1/2,0.0,14794.5995,3.983665399439639,7662.18125,1.596529139135202,0.5179039317691567,0.9590813551280679
7,8,25.035,25.042,25.016,25.009,25.044,25.042,25.016,25.01,222.288,213.439,102.863,106.886,116.773,118.983,209.003,211.939,C22H32O3,345.2421,25.02,0.54,1/2,0.0,214.16725,2.67021530446676,111.37625,6.947532178667737,0.5200433306212785,0.9630432048542193
8,9,3.983,3.983,3.896,3.889,3.865,3.849,3.953,3.937,4965.185,4822.468,11327.82,11113.678,11750.254,12043.304,5152.579,5041.375,C15H25NO3,268.1907,3.94,2.06,2/1,0.001,4995.40175,2.7747317064956922,11558.764,3.611858253358988,2.31388076044134,1.1232430875928834
9,10,24.836,24.813,24.583,24.527,24.483,24.437,24.737,24.689,1810.915,1777.611,8720.954,7967.555,7905.881,7809.238,1915.101,1954.316,C18H14Cl4N2O,416.9905,24.58,3.91,4/1,0.0,1864.48575,4.492520878704337,8100.907,5.1656960425150675,4.344847902431005,1.1112142972969323
