,Compound Name,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_2_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_1_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_2_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_3_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_4_Retention Time,/home/zzy/peak-output/tof/SampleA_3-20170326-960MIX_SampleA_4_Retention Time,/home/zzy/peak-output/tof/SampleA_4-20170326-960MIX_SampleA_5_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_2_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_1_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_2_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_3_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_4_Area,/home/zzy/peak-output/tof/SampleA_3-20170326-960MIX_SampleA_4_Area,/home/zzy/peak-output/tof/SampleA_4-20170326-960MIX_SampleA_5_Area,Compound formula,mz,rt,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
0,1,12.634,12.599,12.294,12.206,12.131,12.044,12.494,12.453,4314.357,4188.886,18566.118,17942.428,18188.258,17872.169,4209.643,4250.428,C19H24N2S,313.1734,12.27,4.44,0.0,4/1,4240.8285,1.3036265235093123,18142.24325,1.7274445358793764,4.277995030923793,0.9635123943522056
1,2,15.821,15.823,15.865,15.809,15.842,15.846,15.79,15.803,5722.875,5546.921,175.096,152.39,250.499,262.429,5454.063,5042.28,C24H30F2O6,453.2079,15.98,0.05,0.0,1/16,5441.53475,5.3031204309959525,210.1035,25.961969101129835,0.03861107383353566,0.7722214766707132
2,3,26.098,26.108,26.086,26.075,26.093,26.102,26.101,26.099,376.104,325.045,186.085,196.868,220.518,218.095,314.802,365.863,C26H32F2O7,495.2184,26.16,0.54,0.001,1/2,345.4535,8.703549283087431,205.3915,8.125519940672683,0.5945561414199017,1.1010298915183363
3,4,13.14,13.141,12.917,12.895,12.855,12.847,13.023,12.996,11650.936,13156.627,14886.246,17020.248,16524.093,16100.327,11929.511,13171.398,C21H23ClFNO2,376.1464,13.0,1.35,0.014,1/1,12477.118,6.422093217140648,16132.7285,5.6535502435930205,1.2929851669271701,0.9577667903164223
4,5,12.45,12.473,12.544,12.549,12.524,12.514,12.505,12.512,5679.841,5088.472,5426.205,5389.46,6015.739,6253.238,5036.149,4714.016,C26H28Cl2N4O4,531.1562,12.32,1.17,0.284,1/1,5129.6195,7.845625788853905,5771.160500000001,7.465648357286338,1.1250660014841258,0.9615948730633554
5,6,3.331,3.325,3.33,3.331,3.314,3.321,3.316,3.306,10444.397,9383.618,2161.022,2489.722,2708.955,2513.016,10102.888,9609.028,C18H34N2O6S,407.2227,3.16,0.28,0.0,1/4,9884.98275,4.84440230129556,2468.17875,9.203189603138032,0.24968973769832833,0.8917490632083154
6,7,12.701,12.658,12.363,12.282,12.198,12.119,12.567,12.502,15343.354,14676.566,7624.863,7815.153,7523.551,7683.551,15134.016,13992.244,C20H23N,278.1905,12.21,0.54,0.0,1/2,14786.545,4.04604479028621,7661.7795,1.5890240466875487,0.5181588734893783,0.9595534694247745
7,8,25.032,25.028,25.02,25.019,25.04,25.036,25.006,25.009,222.288,213.154,102.863,106.886,116.773,118.983,209.003,211.939,C22H32O3,345.2421,25.17,0.54,0.0,1/2,214.09599999999998,2.6775759804319104,111.37625,6.947532178667737,0.5202163982512519,0.9633637004652812
8,9,3.991,3.991,3.915,3.898,3.87,3.869,3.952,3.944,4965.185,4824.78,11337.606,11117.418,11753.337,12050.948,5153.031,5042.647,C15H25NO3,268.1907,3.98,2.06,0.001,2/1,4996.41075,2.7612055809436753,11564.827249999998,3.6126207348893864,2.3146270049955358,1.1236053422308425
9,10,24.845,24.815,24.585,24.526,24.484,24.426,24.72,24.684,1811.932,1777.611,8724.578,7967.555,7902.69,7805.022,1912.733,1954.778,C18H14Cl4N2O,416.9905,24.66,3.91,0.0,4/1,1864.2635,4.4653257380737195,8099.96125,5.206636560016718,4.344858572835868,1.1112170263007335
10,11,12.464,12.44,12.141,12.077,11.973,11.897,12.336,12.282,20011.815,19525.194,4938.383,5033.833,5065.108,4430.71,18573.165,18199.268,C19H21N,264.1749,11.99,0.27,0.0,1/4,19077.3605,4.384593470336949,4867.0085,6.078021184832036,0.2551195958162032,0.9448873919118637
11,12,3.463,3.458,3.457,3.46,3.443,3.454,3.438,3.428,1509.19,1737.205,23440.561,26472.686,27979.354,24925.995,1579.008,1542.38,C16H18FN3O3,320.1409,3.61,16.15,0.0,16/1,1591.94575,6.341317785091485,25704.648999999998,7.615732014473033,16.14668653124643,0.9997948316561258
12,13,5.243,5.242,5.144,5.104,5.107,5.087,5.214,5.186,6505.052,6181.125,5891.037,5909.157,6620.398,7021.629,6044.35,6081.587,C22H23NO7,414.1546,5.31,0.99,0.936,1/1,6203.0285,3.376793947839852,6360.55525,8.74767171791633,1.025395135618029,1.0357526622404334
13,14,10.291,10.241,9.966,9.887,9.822,9.743,10.157,10.134,1385.104,1362.155,1215.574,1213.089,1192.419,1461.28,1313.559,1344.661,C18H23NO,270.1851,9.88,0.92,0.3,1/1,1351.36975,2.231852379959778,1270.5905,10.038588001392357,0.9402241688479411,1.021982792226023
14,15,7.035,7.03,6.846,6.791,6.752,6.689,6.951,6.933,5224.844,5094.44,67253.82,67479.895,66484.1,68985.107,5316.676,5207.172,C16H24N2O,261.1963,6.7,12.67,0.0,16/1,5210.782999999999,1.7504781461870622,67550.7305,1.5498715442301403,12.963642988011593,1.0231762421477184
