,mz,rt,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA1.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA2.mzML
1,371.1617,18.85,664643981.1948024,580749933.1669254,470780023.6981816,566515949.6701399,580727477.9250855
2,442.2233,17.66,29381563.65307409,35045525.85161879,41447824.313832976,42232731.6476148,39723869.01093826
3,292.1118,3.01,33723376.68461417,33122928.460525956,41982433.50455683,32766544.603019215,38017720.08621079
4,502.2395,22.78,21500032.947296914,22899313.130047336,25285050.145300914,22282164.440288156,25933444.981124733
5,342.1706,3.37,65309778.12886816,50626169.5599222,61918425.01850871,62858269.841860294,69093510.44281042
6,455.1791,17.2,1180942.6445668854,1093058.5188117006,776735.9827491973,1090698.1353568586,1116910.8895475073
7,408.1344,29.02,1032560.7840258847,786994.8971637256,1151310.3347298303,896421.039351194,1204653.4720741261
8,359.2447,0.58,13707324.511644488,11317711.656052947,5965236.717653614,13009847.992847987,11965545.778218737
9,527.3126,26.96,17348007.025635988,14838459.181505265,11544835.316300295,13644661.11698986,14391199.34901733
10,571.3155,5.54,15638184.317787873,12879290.506169556,12123295.417088524,14949160.666058496,12827651.727557972
11,360.9916,28.92,394934.1749500417,315412.472535139,249445.46536625695,262191.8761885588,349689.13893100776
12,312.1234,23.36,368839737.36647296,412731723.59975743,494758137.6944065,442288621.653991,498029228.1802264
13,205.0975,3.34,41836250.52918263,39497230.953158155,40224455.7058783,36512358.65602236,43367083.21922977
14,338.0867,3.32,13968137.445557404,11062695.861325871,13428761.17944166,14212799.681877099,14570607.997257484
15,444.0999,19.69,90517813.49563597,81388615.29714666,81349953.8334221,79831088.62462215,79013397.8938939
16,397.1778,4.69,64923520.20418826,119866208.05321807,154887696.01365954,140828333.0093584,170129650.441216
17,454.2245,3.35,5846769.334785312,4845613.600939618,5712283.473589506,5902605.2222755635,5862830.00892574
18,442.2246,3.3,15336637.11718558,14016064.992593776,15631640.08535106,17325804.474761777,15197721.804974828
