,mz,rt,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA1.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA2.mzML
1,371.1617,18.8,661714427.886407,578505464.4681343,476571906.51909757,564665186.4291922,578433899.290127
2,442.2233,17.84,22454715.775449745,27704322.979373828,29215962.51274242,30381752.983063333,28070750.92284763
3,292.1118,3.1,48268239.91240327,49391049.83601375,48805852.329290815,45998538.46333135,52590583.796507366
4,502.2395,22.82,154188626.9738607,121741952.61769195,85397094.46683057,122208834.64716667,123441813.72474812
5,342.1706,3.23,0.0,0.0,0.0,86280.86966642343,0.0
6,455.1791,17.06,1018533.9097335145,1031403.0938519804,966111.9807050534,1160260.7268386928,1097571.4382842064
7,408.1344,28.84,1992927.670529773,2163338.5857929727,2455973.0541018974,2407547.3286885573,2504914.7163927024
8,359.2447,0.73,30140580.45214975,29164859.577360846,23203889.410910573,26920591.97918845,25172920.66807383
9,527.3126,27.0,14878623.761936039,10766361.928897634,8247901.83688877,9525874.108876638,12277204.573308645
10,571.3155,5.62,21915384.89153947,18835665.72008757,17346452.763259854,19496640.427133515,17361809.975247122
11,360.9916,28.73,534248.6965696897,459002.0545002406,332479.3529113147,304031.24482714,515788.4688645009
12,312.1234,23.55,369512824.4869645,419496331.9027952,539251938.0262617,430518050.47030413,475846154.86240804
13,205.0975,3.47,0.0,5068.183754551297,0.0,0.0,2807.1190731049574
14,338.0867,3.2,29242619.56143971,31679365.888169426,30717853.730972536,31158725.976320267,34877682.23349159
15,444.0999,19.56,90170545.64556143,79275846.57369226,77517915.39379525,78393724.24927217,79146591.94620039
16,397.1778,4.56,94217125.94493607,130689624.88902286,51056792.75865449,137238723.8866406,145803883.11132663
17,454.2245,3.27,4795668.574029706,2934702.626194652,4920182.477607145,4726474.6387319965,4591847.360537068
18,442.2246,3.31,19108794.431885414,17270442.5635835,20976738.633781265,20095192.284590885,21808954.471598495
19,510.2657,3.66,5789042.890368,4776453.990347382,6893920.433296682,6164013.290552818,5319708.385305334
20,310.1077,23.68,370105228.53010106,400164813.14047384,299056560.42689663,289856532.54548955,310161309.95510375
21,200.1107,3.38,84854304.66473389,91795479.99731739,102240908.91855086,100062231.42326307,107523601.83495618
22,309.1601,4.31,251472517.02745476,237197467.02256727,256195874.37409085,273594061.7216841,333735903.1748648
23,478.0977,22.69,84067766.04645865,81013192.37102301,77713096.41797927,90972849.11953427,94739251.93772532
24,329.1535,0.53,844636576.9581568,798472727.3227808,716688708.5646436,680091264.4438057,702927283.5126033
25,374.2121,19.34,298080449.573874,283464986.3025174,213150820.05237693,282694348.8075573,277899449.58038163
26,408.1383,27.0,187414552.6301919,181916424.56078416,160163000.20735097,186630170.6661163,153714875.13538027
27,313.1736,12.18,262431497.0148341,242779794.1289456,115686932.59090982,324264490.98628664,217030469.99650836
28,453.2091,15.48,157141966.84487367,140784248.49005,126536086.50325853,149556956.83468103,102696866.63748541
29,495.2201,25.98,8958802.076226762,10187737.77930792,9298254.861130614,9307079.313656613,8844347.131936677
30,376.1461,12.58,227.30837186938788,0.0,0.0,6951.811227695333,0.0
31,531.1575,12.35,144242544.3041947,167940818.33013248,184362327.3331616,193564674.53799397,179420715.50400975
32,407.2218,3.22,134584.7897514169,254375.01087201302,308622.64969646826,128908.41989016485,138673.50371842002
33,345.2429,24.7,5816703.42918532,5763324.92505732,6084562.831804306,5683018.502389269,5975555.373547598
34,268.1912,4.17,145213266.33619276,153791820.08901408,169803831.50299436,168178918.26363388,184765924.32115862
35,416.9913,24.88,35693371.07729326,38667504.444853395,33841646.20850198,38016944.46115033,39957345.684792176
36,264.1751,12.26,924255191.3729585,960657461.2769907,682282358.677979,1102204806.6556084,938424880.8885853
37,320.141,3.38,279022.2430555126,210543.02425062234,219417.86545455304,169953.2702892447,210754.2943986007
38,414.1554,5.02,174664097.34864137,175029436.8927533,178416246.5074985,187099387.11323452,195579499.1586759
39,270.1856,10.04,864103144.0252465,748875686.8107009,554557890.0714519,895644368.6522706,714639347.5694476
40,261.1965,6.81,209075568.90635777,224225040.2495341,212208264.409811,219597444.41095224,220468995.94733524
41,340.1549,4.82,2448747206.2398353,2397311774.1187663,2315068423.428754,2457549614.624107,2690164413.389807
42,214.1091,5.47,500841398.59317803,501314059.0945068,501108514.5066558,493519420.3395079,577015502.3145788
43,288.2324,9.72,380464853.61198735,322905440.16216254,206651053.20977032,387164702.0188239,318191357.7414948
44,315.2323,28.21,65415409.055350214,53277683.71020906,54234747.37579912,52981864.74172351,63980088.09477711
45,286.1917,4.19,120985061.5889714,106098630.36290279,119238451.7901571,92653973.04117844,115918098.75896622
46,277.0646,6.46,22395593.111956522,22273532.121760014,26226505.909067873,23023622.87922621,22722838.5402635
47,399.0764,11.55,37417461.19248092,31087530.442509744,17094461.63789888,35258301.76793606,26582656.758272223
48,317.1647,3.81,357205583.8172429,294896905.2117074,327099032.169549,303546306.06025743,372981301.3287932
49,308.1106,31.54,1908600.760734853,1199095.6060618486,1290851.5263233217,1337874.5794408561,2014400.366560555
50,408.1721,16.69,57230896.35184135,77329713.07553062,108278899.90196818,104476183.00907698,116410360.91286081
51,302.2482,11.46,1830282961.2969298,1608800313.2407396,1145192734.6324084,1596583154.6915123,1599542715.5028865
52,256.1812,4.3,166016.5708622757,69516.74433948766,0.0,4708.721516337896,0.0
53,279.186,5.24,1130804075.6377056,1215628224.4674144,687558263.3626804,1073332371.8721457,1105217909.3083768
54,245.2016,9.63,626963926.1409717,461983430.1933675,314172393.03948677,407537865.53472465,424332463.628236
55,180.1022,5.88,576295834.0802262,598715054.2356155,631155601.4163235,588113667.9062871,549981771.7885544
56,355.2022,4.54,203224.48445334984,327557.39154681796,219402.58067081863,181063.7329779616,70020.83446733493
