,mz,rt,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB2.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB1.mzML
1,371.1617,18.85,623007310.5519315,303867503.3871942,610177931.844246,697018499.7541319,514723599.71679354
2,442.2233,17.66,1351705988.1900282,1387467584.7483244,1361585833.9313471,1443510574.9577346,1313836137.8386457
3,292.1118,3.01,27295865.846661393,23886506.970765915,39848382.52568965,31727077.282232963,44826866.552563734
4,502.2395,22.78,399300771.0507039,264168545.67667454,485124558.9898226,533384927.0309646,502170601.29123896
5,342.1706,3.37,155470019.35438788,179615485.76758847,143913559.62503383,143840890.3033269,142925397.93952549
6,455.1791,17.2,1915434.4114265838,1356041.4326286034,2238691.746716343,2664294.9824527297,2155877.257578714
7,408.1344,29.02,2125628.1331200125,1545495.7948790868,2226950.9925852264,2124774.7705452447,2396280.511679021
8,359.2447,0.58,42795144.36358066,38417804.18184145,36981773.01609434,41128282.86868009,43809200.49838367
9,527.3126,26.96,23296148.557992436,24369338.421128336,23472938.18737108,24592498.701046944,26420973.030097067
10,571.3155,5.54,53581135.66632004,53708813.80437095,52574945.455460496,48926092.59653667,47499173.60410665
11,360.9916,28.92,475599.8579015497,667355.4297490269,609485.3653550867,505685.2409189688,663434.3058091688
12,312.1234,23.36,721930263.4377917,728700752.2529026,636425454.5339546,461344325.0281295,410053176.98091006
13,205.0975,3.34,65340264.852075055,72326907.04814655,81044211.11462528,63899841.991972044,65234682.35819612
14,338.0867,3.32,27401344.23444449,33058134.683287553,28616899.29044006,24351093.542648356,28692188.555127434
15,444.0999,19.69,152181959.63118145,166060941.94810316,161180664.6407265,185402699.79469517,178531185.37236696
16,397.1778,4.69,60522.730268551735,0.0,12409295.8345212,95572550.37929359,51556770.79743269
17,454.2245,3.35,11945901.43966838,12458006.390443852,13959946.21713256,12046014.261011932,11093965.292895224
18,442.2246,3.3,27651333.748310585,29430735.553930733,29663312.171419896,32825734.431434076,28667194.503186796
19,510.2657,3.69,30079713.5217438,25947880.304183178,27738598.202298284,26094017.314075526,25349265.833346892
20,310.1077,23.76,605002435.5099653,590648482.5806103,593004566.5301243,621522674.7287055,612102852.7157526
21,200.1107,3.34,140678697.23935685,157441428.42057878,173578475.01291394,135763619.35392526,140030865.240355
22,309.1601,4.45,418745499.58963,332289012.66021585,390421510.91279244,403861907.8956871,369137436.85640264
23,478.0977,22.77,46370723.257957935,8042163.335170206,142177494.84541854,232091995.42161962,244242888.65266854
24,329.1535,0.58,1181435347.1102362,1283678244.642077,1098317327.962969,1187069594.211249,1357876306.3761902
25,374.2121,19.36,554482444.3246175,291240414.5401718,644007084.474666,680408781.770963,513276302.714144
26,408.1383,26.89,350466743.5676394,360515131.3674619,352517495.86888164,346926360.1603912,343480003.81383085
27,313.1736,12.3,2590719284.6969614,2054740695.7911224,2733579808.2815647,3234698065.0312448,3197180437.900893
28,453.2091,15.47,14159879.463085158,14501792.063371664,13937960.027181437,16408031.25549069,13970856.39021123
29,495.2201,25.94,7981887.99752085,8559221.693854911,8101073.422887076,7740346.902004122,7690243.368198342
30,376.1461,12.76,1123522735.767134,976722223.0054215,1188331542.1431298,1246404942.654283,1177205896.394644
