,mz,rt,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB2.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB1.mzML
1,371.1617,18.8,616503841.6803857,300288828.9276007,609173021.0560635,698613421.2562355,517186166.90317094
2,442.2233,17.84,1321726645.588538,1347734255.89573,1360163625.2215073,1464522362.6574824,1326083971.172883
3,292.1118,3.1,109165314.97425409,114080194.7160011,119123324.51908426,98595995.39812651,101962418.21605569
4,502.2395,22.82,461608161.2642012,359719608.9922701,517886560.86714214,536646806.47524935,502576616.8528865
5,342.1706,3.23,0.0,0.0,4280.1538245267,0.0,56729.0957157509
6,455.1791,17.06,2597125.437194927,2497826.6887429613,2542754.839373397,2962324.7183149806,2458390.5801000106
7,408.1344,28.84,99347.9040583956,206262.35001866292,32816.99869238878,113535.2066323751,133537.2436055008
8,359.2447,0.73,54167826.16722049,52567362.69405252,49309868.81847162,54100405.64152381,57959747.20177756
9,527.3126,27.0,23950505.585928038,24359782.21624442,24793908.172922935,25638903.67592889,25827628.13205421
10,571.3155,5.62,53556367.85769838,50977990.903195605,50442765.29087017,48944478.22013763,46481503.02201066
11,360.9916,28.73,469714.3503628588,707835.3366187543,570607.6978152554,524969.0407318992,542569.4003510975
12,312.1234,23.55,810426315.2806985,831345639.4514972,697844778.9579931,538705873.8123881,477696054.7465247
13,205.0975,3.47,486424.0515601887,0.0,652098.612045402,771973.2949297312,346498.9424873387
14,338.0867,3.2,57763548.74461852,62240308.10242637,69915932.88145795,57776790.975002244,59311157.88602394
15,444.0999,19.56,133017191.17024492,139867359.12294513,137186814.18606317,156816868.92710912,154011398.02304873
16,397.1778,4.56,55256308.922294155,3612283.734434576,198479640.1454923,236095917.59488124,261673625.84057346
17,454.2245,3.27,8919572.89793177,10124633.740532955,8634739.126206493,10063416.288266294,11104055.059749188
18,442.2246,3.31,39559957.43404203,39635895.52513592,48465209.53770092,37713360.73241673,39726179.712577134
19,510.2657,3.66,28348263.059113644,23452528.72410174,32074298.641672872,27367267.46990253,27392702.947055
20,310.1077,23.68,603764313.7307935,590614045.3406913,606534799.2014452,617092760.032795,613898462.0862367
21,200.1107,3.38,161556979.0211328,172283103.4848699,172313559.6859055,163113011.50214696,154923493.50758362
22,309.1601,4.31,427251314.9479544,296296872.6348856,436064547.82215774,432486013.12862754,451074586.45101
23,478.0977,22.69,8031144.4763388075,2427516.5505026747,40254597.763940126,150179513.52162752,207942222.42185205
24,329.1535,0.53,1218250308.510889,1313593367.670765,1150166322.8119736,1233788206.632371,1378427516.570417
25,374.2121,19.34,628945073.3008151,384136241.2002725,647027167.9354072,638726324.1041198,448237867.99092937
