Compound Name,mz_x,rt_x,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA1.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA2.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB2.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB1.mzML,Compound formula,mz_y,rt_y,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
1,371.1617,18.8,1309479725.2644916,1147915583.1498995,941257500.6417708,1123417162.211058,1153365195.774081,616503841.6803857,300288828.9276007,609173021.0560635,698613421.2562355,517186166.9031709,C21H26N2S2,371.1617,18.8,0.47,0.0,1/2,1135087033.40826,11.538741331961583,548353055.9646914,27.870875521118776,0.4830934014973138,1.0278583010581144
2,442.2233,17.84,64130.8859981648,84307.75914648667,69668.81615282553,42716.1964477708,34480.425859051655,1321726645.588538,1347734255.89573,1360163625.2215073,1464522362.6574824,1326083971.172883,C25H31NO6,442.2233,17.84,21.23,0.0,16/1,59060.81672085989,34.357017398693024,1364046172.107228,4.2761120082251,23095.61986848475,1087.8765835367287
3,292.1118,3.1,94425574.5289531,90997981.01067376,96006783.1629742,92809973.01177908,105273070.52980734,109165314.97425409,114080194.7160011,119123324.51908426,98595995.39812651,101962418.21605568,C14H17N3O2S,292.1118,3.1,1.91,0.019,2/1,95902676.44883749,5.796686208290851,108585449.56470433,7.7766977877687316,1.1322462895249112,0.5927991044633043
4,502.2395,22.82,411656056.1784319,392369541.7565277,357755627.17554265,393274762.651243,407872944.8525455,461608161.2642012,359719608.9922701,517886560.8671421,536646806.47524935,502576616.8528865,C27H31N7OS,502.2395,22.82,1.06,0.29,1/1,392585786.52285814,5.419992874192313,475687550.89034986,14.81528510081908,1.2116779751593303,1.1430924293955946
6,455.1791,17.06,2089200.6614749809,2184659.343294203,1831069.081684308,2194822.753895788,2131209.763328368,2597125.437194927,2497826.6887429613,2542754.839373397,2962324.7183149806,2458390.5801000106,C20H22N8O5,455.1791,17.06,0.93,0.098,1/1,2086192.3207355295,7.134788050602718,2611684.4527452555,7.761871748188165,1.2518905504476467,1.3461188714490824
7,408.1344,28.84,5716519.033138418,5450856.575072674,5242848.486365787,5420291.408498346,5562502.775576594,99347.9040583956,206262.35001866287,32816.99869238878,113535.2066323751,133537.2436055008,C21H24ClO6,408.1344,28.84,0.84,0.157,1/1,5478603.655730365,3.205872722991028,117099.94060146462,53.41858442893654,0.021374048564178124,0.025445295909735863
8,359.2447,0.73,60568740.5457999,58576138.936742686,50486252.69818189,62646738.59753512,62147308.79811815,54167826.16722049,52567362.69405252,49309868.81847162,54100405.64152381,57959747.20177756,C20H30N4O2,359.2447,0.73,0.99,0.847,1/1,58885035.91527555,8.417038999960429,53621042.10460921,5.826972054307324,0.9106055769713678,0.9198036131023917
9,527.3126,27.0,28375443.687724367,26628871.272420708,27880991.42146188,27048519.263363488,35822255.84959825,23950505.58592804,24359782.21624442,24793908.17292293,25638903.67592889,25827628.13205421,C31H38N6O2,527.3126,27.0,0.85,0.151,1/1,29151216.29891374,13.006288208652528,24914145.5566157,3.24229694229018,0.8546520083810044,1.0054729510364757
10,571.3155,5.62,1336749.052964474,996955.9634159388,633524.4124570104,1198729.1971085072,922896.0883875344,53556367.85769838,50977990.903195605,50442765.29087017,48944478.22013763,46481503.02201066,C31H38N8O3,571.3155,5.62,1.01,0.932,1/1,1017770.9428666929,26.527326133448415,50080621.05878249,5.21286922446569,49.206180830554544,48.71899092134113
11,360.9916,28.73,1083665.6749967998,913029.427360214,654386.1191348928,594235.8548008811,1026951.6192003536,469714.3503628588,707835.3366187543,570607.6978152554,524969.0407318992,542569.4003510975,C14H11Cl3N2O3,360.9916,28.73,0.95,0.463,1/1,854453.7390986283,25.738475044093747,563139.165175973,15.78355744613194,0.6590633751220213,0.6937509211810751
12,312.1234,23.55,854969756.3949962,956397179.5588334,1079192466.3173668,949414641.0422176,994287660.2170848,810426315.2806985,831345639.4514972,697844778.9579931,538705873.8123881,477696054.7465247,C18H17NO4,312.1234,23.55,0.67,0.073,1/1,966852340.7060997,8.387287888828343,671203732.4498203,23.64364743422851,0.6942153462230178,1.036142307795549
14,338.0867,3.2,58153139.58465305,63209205.14546933,61280069.786118366,62125579.23384135,69741608.38416803,57763548.74461852,62240308.10242637,69915932.88145795,57776790.97500224,59311157.88602394,C15H20BrN3O,338.0867,3.2,0.94,0.406,1/1,62901920.426850036,6.775683921414564,61401547.717905805,8.302062802998481,0.976147426044185,1.0384547085576437
15,444.0999,19.56,169278750.764599,148802969.49859443,142099510.26651025,146101178.8061733,147232949.60814223,133017191.17024492,139867359.12294513,137186814.18606317,156816868.92710912,154011398.02304873,C17H11F6N7O,444.0999,19.56,1.05,0.36,1/1,150703071.78880385,7.084119450797026,144179926.2858822,7.343894246720012,0.9567152452468706,0.911157376425591
16,397.1778,4.56,120681880.39017624,197101432.72169995,186452024.37668076,226883595.5588728,286811357.6996705,55256308.92229416,3612283.734434576,198479640.1454923,236095917.59488124,261673625.84057343,C23H20N6O,397.1778,4.56,0.77,0.032,1/1,203586058.14942008,29.754642079483528,151023555.24753514,75.95557057948923,0.7418167855909505,0.9633984228453903
17,454.2245,3.27,9354425.747790108,5884767.560028721,9732954.669195946,8802465.304438379,9066221.337559596,8919572.89793177,10124633.740532955,8634739.126206493,10063416.288266294,11104055.059749188,C27H27N5O2,454.2245,3.27,1.18,0.042,1/1,8568166.923802549,17.9660390640551,9769283.42253734,10.240773163626963,1.1401836016287292,0.9662572895158723
