,mz,rt,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_3-20170326-960MIX_SampleA_4.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_4-20170326-960MIX_SampleA_5.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_2.mzML
1,313.1734,12.32,1848933.601313653,1364062.1918635687,403664.01564247545,1087881.1282173218
2,453.2079,15.8,1334252.8058269185,1188929.004810085,1195754.6147535336,1782605.3968896284
3,495.2184,26.07,118980.90700995193,165572.46083820862,101096.7361155701,93149.91626128492
4,376.1464,12.96,1363743.6104264245,511771.55084745726,1230491.839522989,1175758.4559324388
5,531.1562,12.46,2327322.6080791126,1259066.9785333467,2701879.8374290434,2907728.53346117
6,407.2227,3.3,1746876.9003193881,1485509.5526884906,1759292.9044868862,2435380.819248
7,278.1905,12.39,4499848.5671903305,4423592.7522459,1454559.3330739462,2464556.1928899027
8,345.2421,25.02,48848.60671578391,52916.8952788716,56308.07504783826,70949.6615830881
9,268.1907,3.94,1644999.5807206216,1603999.6782745956,1597022.0474802952,2112828.8115162174
10,416.9905,24.58,168001.07725317442,178124.7432041797,47.419057317656765,2811.1814269261363
11,264.1749,12.18,5598712.088910311,5897178.614657567,1727675.6518371021,3800597.093449976
12,320.1409,3.42,739923.224511765,801056.788145816,586998.3064803029,417204.4221670349
13,414.1546,5.18,367627.7099505188,500600.72018672514,319019.54368942714,415254.4420716576
14,270.1851,10.0,503967.5784769372,470727.7348656564,262396.92517704447,462344.051147291
15,261.1963,6.83,1952948.505507293,2706712.0677441466,2257834.721622095,1490568.2505631098
16,340.1543,4.95,13109676.694218354,15161667.040404348,10704484.663564062,6862690.255300031
17,214.1088,5.53,1342181.7175031088,1416360.2194707906,1015401.5319821843,891529.7938437412
18,361.1992,8.59,66259.35202136215,61713.70072822347,65390.86655915296,72595.50147020003
19,288.2323,9.9,561648.7616512785,386168.8663726783,7657.336699946611,77749.81321395907
20,315.2316,28.13,319200.33786300523,577315.434830219,475526.6300936307,407924.7357613264
21,286.1914,4.3,255832.8493643878,218937.54922014498,294408.7422156104,295580.6748142444
22,249.0903,4.99,1123049.525226258,1123802.7045686352,1164895.815741287,1211251.7785905856
23,277.0641,6.57,55707.196774937955,54360.46021626748,62006.016402747795,73619.86389566356
24,399.0755,11.84,268945.4482072373,206723.70351241707,117629.47290027849,216245.46138296372
25,371.1612,18.84,5266137.73018285,5083053.691421747,156994.82156901833,1143354.8806150192
26,317.1642,3.75,4006795.15208207,4330015.946396211,2330088.1534037553,1498795.128978471
27,408.1716,17.0,1381128.736943096,917216.5829578706,1036044.9605994766,1602958.4581025876
28,302.248,11.24,14654375.801496008,15715508.950735278,3831648.178440215,7692595.519059458
29,256.1808,4.2,152531.89902780473,113930.1365057256,116942.48652468043,221498.28293852604
30,279.1856,5.1,3081961.163474161,2839982.6250274247,3671910.3349776273,3774195.6603252017
31,245.2014,9.47,2611342.6142606353,2628221.93753888,1216964.8293510983,2016386.2084602718
32,180.1017,5.91,2265960.7948158374,2108615.015581121,2285228.957283816,2261313.2121489034
33,355.2015,4.36,664880.7309425735,429781.86209557124,362570.14288187365,564757.5252957526
34,337.2121,3.78,6023961.882413071,6116572.488947825,6154663.255767899,3235568.923636956
35,310.1261,5.6,318871.6219838017,361213.227539781,162058.62187448842,241218.3391694622
36,327.1369,5.25,1835793.4408769317,1218556.7284140363,818505.3294910216,1303331.829931235
37,384.144,4.18,8894003.860351935,9803435.143133884,13866256.06568919,6795345.0240373295
38,235.1802,3.57,1029235.50985657,824525.3012436226,1048021.1040509188,961013.8019303347
39,195.0917,3.52,2003972.0728334025,1999774.9379517357,1500402.2383031398,1389534.8259288566
40,438.182,15.81,7996681.947037817,9696927.885515524,6423764.295738021,11175325.938953748
41,361.1199,31.6,143428.42397816738,102049.70513007403,168095.7968006592,92609.64178702865
42,242.1175,25.46,44576.94066834777,39400.89438888079,41145.209062319045,34497.970157001444
43,430.2586,12.39,3425532.6275071697,1906221.2072466651,1128788.695824076,2187731.961560452
44,180.1747,5.24,615852.3438099129,705525.5143566682,182200.54663193872,217498.7223733466
45,484.1226,14.09,141972.2541449515,152281.41055249315,34318.766317415924,93190.3868673509
46,480.2131,12.8,11668249.989750495,13618940.925337998,5543784.524664419,3641866.835636477
47,254.1539,5.32,3787553.347494719,3813439.5929147117,3728766.4686641986,3700025.9797241343
48,285.0206,4.68,100450.09817901145,100433.41859848387,111531.1299511207,103270.22877980077
49,311.0809,7.22,1971659.0611608336,2052462.2082308792,2196959.769968119,1949761.8024550322
50,397.0093,22.58,426906.20541938685,622033.2145748214,22275.87683139814,122881.58392714537
51,338.2514,25.45,5004660.405376236,5709092.458814967,11808.018385528483,70895.22967764412
52,377.2109,31.56,938711.74371715,572762.7169546267,875458.4467935849,492847.52721633343
53,381.0322,21.68,161281.3460425973,348784.1805210822,5797.6509635123775,35368.15036105617
54,312.1378,16.24,805584.6309349822,719462.9741124973,645454.5948842436,788686.1355225878
55,404.0368,5.23,69506.65057956516,69098.77527674408,102362.83081716197,72116.25884326448
56,354.2429,20.1,15291751.530562308,32618970.6316572,399230.2300534557,4359387.960841527
57,324.196,10.55,9797060.97095297,10930373.922335621,3038504.7156053707,4438420.31584882
58,607.3224,31.18,31676.066744196774,29252.029004306693,24038.958981439242,4873.734920296704
59,470.2307,16.48,217040.9308251462,699934.6579096164,685.2270473324972,2568.1321630814464
60,427.2136,4.62,104237.00675498668,77113.17746754993,196799.68926631607,241944.54607768016
61,349.2121,3.64,494850.30202502204,431187.48754000344,767781.8865112737,450539.1801188674
62,400.1475,4.07,481255.04719565326,329194.9393830631,540825.3504148539,622575.9575171892
63,296.1469,11.69,4239116.267796748,3742407.934558173,1668681.6817319822,1489876.2178934435
64,318.2793,21.44,1644359.309877567,938330.1367885713,6352.291603292621,23604.1881852276
65,442.2221,17.92,186396.35976151784,286364.8769359001,203257.2815717922,308776.39782352303
66,914.5269,31.72,2051288.5778078763,2983746.580184596,2065584.8331796094,993560.990885644
67,294.069,27.23,74184.57588831769,77552.44658801395,75577.36721504155,138810.6688281939
68,266.1653,6.48,993027.1284617186,1266483.5033168495,843063.218983084,853788.6029005359
69,345.1807,3.94,932936.3616997141,1022938.067679583,895993.323328476,466509.9506916628
70,383.2803,5.33,12134.747044556369,10808.89304903552,11120.469658253865,16120.895343551063
71,383.2789,31.12,17989.583634257477,15862.641564786842,10726.728341846374,6772.601596369585
72,333.1403,0.64,16870.400282505696,13135.633933245901,6215.749659063551,9652.174865966334
73,416.2774,18.99,2197858.5947651947,3240206.4887075997,1677680.1927589471,2707006.5296610636
74,346.1019,5.3,52966.7325549918,39041.75003656987,17628.272332548957,43546.59152687884
75,411.1975,12.3,223715.26529920739,271720.70730132423,233454.59034771132,256105.93276959375
76,325.2163,25.66,863051.4284334483,947350.7676342267,741574.4140163579,790166.4271325769
77,1019.4478,4.46,21459.67427668214,18905.265161322423,6464.171386911762,7024.533576163302
78,435.0565,29.5,2304491.4351564543,3180620.823179871,1846334.074822384,1918255.810836148
79,364.0948,26.56,6077391.456453076,5737908.925454888,5657121.123562872,4430400.779942914
80,214.071,0.67,3459.1164381942144,2619.826174190261,3563.931901096499,3395.5826885257025
