,mz,rt,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_3-20170326-960MIX_SampleA_4.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_4-20170326-960MIX_SampleA_5.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_2.mzML
1,313.1734,12.27,2278016.8184751575,3384565.2296464974,160030.52193895483,460920.89676219434
2,453.2079,15.98,3919857.730891093,3616907.785507373,4138183.7797745178,4136660.645523348
3,495.2184,26.16,216383.67392889273,257533.98092756912,233023.3758724286,191794.72586262083
4,376.1464,13.0,1621903.2560219099,2490822.4663791005,625894.1914669784,1191236.4286672908
5,531.1562,12.32,3504886.051410644,2834834.067781644,4134956.782155364,4023912.6872586044
6,407.2227,3.16,4577195.743250741,4487212.897260781,4287132.35546137,3326448.7315158523
7,278.1905,12.21,1107525.3140861369,3787809.381902909,9218.887944240874,26480.752731523302
8,345.2421,25.17,178363.25343474938,182600.07738042733,189524.39870263205,159766.37407159677
9,268.1907,3.98,2462897.40996249,3020728.121008188,2494900.8275210103,1885525.983344452
10,416.9905,24.66,1599011.2399513584,1766616.0782706738,228013.36176528607,490685.3061708538
11,264.1749,11.99,69.33822139726274,87.35078974241978,96.39542766980061,76.59087290399796
12,320.1409,3.61,946885.9254078557,939226.7571422242,1021740.4021164107,1131074.3614942315
13,414.1546,5.31,3683616.245479264,3209198.490325117,4558510.550992667,4382422.190927495
14,270.1851,9.88,349576.85868035967,597868.956478561,1596.3811963547314,33026.96975564722
15,261.1963,6.7,22.374324666925453,67.15360538593089,3.1187403697292027,0.0
16,340.1543,4.82,41506594.65566701,41096516.200533725,26434552.66449922,35510309.73525413
17,214.1088,5.45,3784981.4211654286,3844097.248562949,3941447.257879289,3163860.3406193447
18,361.1992,8.6,73015.31131904347,88084.896554394,75849.60750243002,89185.90814258257
19,288.2323,9.87,5236760.052106418,5291163.72770547,1259187.223846576,2424769.369560521
20,315.2316,28.05,689043.5325523666,588507.3403712239,659363.3806498899,799461.5148909244
21,286.1914,4.34,905066.1402674258,903878.4112925815,722926.6104346015,923038.1121508187
22,249.0903,4.85,2308156.7469596546,2319539.8473895225,1880849.3791389775,1461385.7452318908
23,277.0641,6.49,289025.9104111845,283324.58050733805,258543.11914451476,205937.59754569843
24,399.0755,11.79,418.6044781875688,709.5147379042934,26.901143083008677,46.570036108933074
25,371.1612,18.82,1166629.8681496568,1970298.595748439,3469.5046409169827,56491.14568267423
26,317.1642,3.86,4360581.8918925,4430149.674060352,3680353.386402881,3661890.383810131
27,408.1716,16.88,3016029.4961586623,2100045.2843810776,3283620.481556022,3274269.8834946468
28,302.248,11.25,16538944.236931771,17020443.574797064,6081340.439049048,10238157.807325255
29,256.1808,4.24,386101.68245228747,314267.6603723161,459453.6880778994,311149.6450822585
30,279.1856,4.92,9002408.532197472,8264936.135967014,9184240.358726472,8634922.248699272
31,245.2014,9.51,5854095.615612295,5630372.588262063,4608804.431986254,5762849.498036224
32,180.1017,5.78,5217927.034562421,5389086.997304406,5562891.223025212,5006467.341577361
33,355.2015,4.19,1740668.6015726079,1928235.1888025592,1564754.5210970868,1200593.5975498357
34,337.2121,3.96,12810894.872088898,13820736.710616209,13238639.493590428,16710674.911210513
35,310.1261,5.79,3095451.2239491865,3065424.605338811,2527491.608237493,2043624.059744845
36,327.1369,5.37,1942524.6473749855,2101765.8426888115,1099292.2102702993,1874243.229657918
37,384.144,4.1,19814682.209342852,20494068.443461902,16464261.649914986,18968138.155820698
38,235.1802,3.41,7689.445130328857,7447.302869665448,5546.495666917048,6812.7638943582915
39,195.0917,3.59,3712220.7354049943,3784195.8769407463,3257091.214609783,2616899.611060569
40,438.182,15.79,18494681.862390745,18352993.802013077,17367860.102511004,16794425.686365914
41,361.1199,31.45,0.0,221.9494687366936,77.69160554825068,0.0
42,242.1175,25.46,84229.342478549,72640.96973267088,73530.79006720423,91714.12568704491
43,430.2586,12.2,577029.440552017,1779378.7495891165,3567.785603255954,16145.0370826594
44,180.1747,5.4,920627.9430026095,1196571.4613305724,761338.6033447115,1047225.9956173992
45,484.1226,13.99,0.0,133.39581256697863,0.0,0.0
46,480.2131,12.87,4561021.320323734,5182966.331963468,143665.2061947771,532677.9317568531
47,254.1539,5.24,7699097.3426595135,6281627.174940865,6008933.214956181,5406712.746642685
48,285.0206,4.69,280141.39205229806,251592.9237491591,277800.6760615519,273503.76591072517
49,311.0809,7.24,5055078.8398175705,5040809.080360195,4934267.253947742,5101436.434153592
50,397.0093,22.45,127908.33948470374,788036.7734455895,289.5366989517788,2198.6572447734334
51,338.2514,25.64,6158225.630051,3872520.0511107855,9259785.154532518,12918995.897948816
52,377.2109,31.67,838156.1759205484,904560.7984750086,950955.2743669173,817221.9454232858
53,381.0322,21.86,99833.24613711765,89951.19020250293,85.42039878740887,3298.6977850402914
54,312.1378,16.4,2023064.736982378,1990730.919292958,1860044.1932446507,1759006.4698920157
55,404.0368,5.27,188411.46407096265,192294.72165160067,204474.22121244436,197202.02306687878
56,354.2429,20.27,55676257.941398904,44567847.05078667,39398708.33377666,42098387.3354003
57,324.196,10.39,1682908.5328386119,4966935.539621285,19105.93098783567,147052.67031572183
58,607.3224,31.06,0.9574176347605174,0.0,252.30221218820864,22.62394067745831
59,470.2307,16.3,191785.12940290285,1146470.2560338704,23962.421393296947,27585.007002165094
60,427.2136,4.55,447769.49880512967,396039.9134328396,447089.6349082462,401466.62482109177
61,349.2121,3.6,1748721.8598683511,1634038.7390175394,1659510.0137628214,1619047.900985655
62,400.1475,3.98,1470685.5851152637,1296186.7309495946,1167858.4442169922,1133064.496808345
