,mz,rt,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_2.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_3.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_4.mzML
1,313.1734,12.32,132262.71137320664,41366.94483833382,1024847.7901924597,10954.663866507493
2,453.2079,15.8,35834.80726330984,115404.56354107145,34805.336821308156,90480.86583721923
3,495.2184,26.07,50070.58569517943,82816.79269565106,70547.17854824888,92383.11181633535
4,376.1464,12.96,9083142.506093755,4950885.686022588,6566747.438610873,6320738.684322477
5,531.1562,12.46,3330149.7142071095,3775639.9370420314,3484730.113146345,3033382.6349755228
6,407.2227,3.3,389584.97353097657,480303.2088510275,348175.82239056577,420878.72625362774
7,278.1905,12.39,2516167.287122649,2280687.4982260684,2186334.4582658727,1083744.7417787444
8,345.2421,25.02,29108.265359573816,27111.885873966654,25247.05750218159,30569.331426832083
9,268.1907,3.94,2320568.6183973365,2623660.96689839,2765183.829109383,2707398.7306146766
10,416.9905,24.58,2822469.3606414185,2712578.2716265162,1590012.1505261916,1900613.3096514905
11,264.1749,12.18,1779260.1492111739,1046413.8430938835,1896536.5138412532,214305.83858674552
12,320.1409,3.42,7104722.59447358,6866711.541670973,3197083.1482091807,6589345.823064486
13,414.1546,5.18,1954021.4344264483,2105990.593124343,2253527.55909287,2186930.2710909145
14,270.1851,10.0,460566.3573590694,456874.35410655447,594892.5256490911,205221.98656263654
15,261.1963,6.83,5072964.839744378,4495206.475775766,4232891.11844776,1928333.8409869943
16,340.1543,4.95,763593.9445306496,703783.6629696445,458426.3160953037,1114452.1719875135
17,214.1088,5.53,84443.13793449626,79660.6917622026,58111.759795237944,92139.25213477304
18,361.1992,8.59,494606.10251070315,307154.5857243717,300820.2561407832,642103.4586636776
19,288.2323,9.9,8495548.129665062,8910756.629028939,9047935.56030892,3225543.656082916
20,315.2316,28.13,86573.47531992165,123016.29728735656,125594.78045147566,70357.28287562169
21,286.1914,4.3,5190498.78200048,5403928.264002062,4954261.99808036,3909896.9139521355
22,249.0903,4.99,1422839.5099540073,1216463.8182641142,1081217.4874221752,1140788.587806564
23,277.0641,6.57,28347.034713461082,26361.388846695736,28349.84191433528,20043.674657489697
24,399.0755,11.84,1026.438777382386,177.4430309105037,11960.54594195353,259.42739780545924
25,371.1612,18.84,3193349.811694285,1367335.1695747667,3548245.2275289884,193399.888296497
26,317.1642,3.75,171722.6392632883,217068.51185285544,136250.0056849097,240058.3411652375
27,408.1716,17.0,20041642.72189741,19594687.391404763,13166788.406478923,26818817.885735534
28,302.248,11.24,4131485.8324592705,2476098.380815414,2862442.60014853,726433.139381427
29,256.1808,4.2,3484351.8217717553,4752349.649945177,4111841.0011600917,3351407.603130299
30,279.1856,5.1,4632607.497743652,3908461.142555184,5105649.197032146,2571657.7550007883
31,245.2014,9.47,11583596.387379203,8784065.510238292,10853325.334127631,4583671.117648488
32,180.1017,5.91,147470.91543033932,155611.9304101813,125398.61455117719,145325.32950212137
33,355.2015,4.36,1678314.2726851443,1478801.8193700486,1360503.2677862549,811395.6208457148
34,337.2121,3.78,245032.59465829888,227027.43840286726,173476.64384786802,277948.14134449983
35,310.1261,5.6,1250649.939275943,1453594.1601004829,1698138.246296658,966649.5441407448
36,327.1369,5.25,183286.3244922698,19147.373919730133,213074.27546077044,310.2026014909638
37,384.144,4.18,199819.2676411366,213622.6081535748,122251.78548284789,380143.6483714129
38,235.1802,3.57,351487.80366659316,359217.0774911652,303249.69183895073,437886.30734213436
39,195.0917,3.52,1855862.7462730347,1770502.6296907745,1606125.44096646,1604876.1961426067
40,438.182,15.81,2080518.6512583727,2157923.882955791,1976558.8614758411,713544.4560202868
41,361.1199,31.6,172598.15694024094,169234.264257165,254817.28598316063,184162.8973209302
42,242.1175,25.46,42389.629674590135,56327.487708013556,34085.55777307699,57661.89913592447
43,430.2586,12.39,1721695.9252332645,1153765.257620252,1851830.9482150504,269991.3719598942
44,180.1747,5.24,1008592.6947938749,1309487.4310418847,418259.58963122754,1411701.9971235306
45,484.1226,14.09,1252696.6274614204,785864.8503504416,1434463.7856386795,111957.46318498245
46,480.2131,12.8,2928341.8584890976,1526920.8794306966,2625163.0924395896,668752.6570464806
47,254.1539,5.32,159620.92192355683,119042.01012391667,138787.54361303084,68180.96371219521
48,285.0206,4.68,192982.57702490003,263673.4556297033,205199.41442132113,243992.2184261357
49,311.0809,7.22,61532.05940488888,92091.07416752288,66275.10602898132,109024.58841968878
50,397.0093,22.58,9045778.683601182,4602701.522454378,12493077.674215527,1630663.0214945278
51,338.2514,25.45,11134110.497393372,12314350.176469935,12203766.881707508,3295039.080156772
52,377.2109,31.56,60821.28849879796,57427.34236699828,59027.68007013724,33444.812506367045
53,381.0322,21.68,141290.85539108416,19316.393142551027,793658.3852797605,3948.330010017357
54,312.1378,16.24,3983813.0058637117,4193965.187908131,3987272.0973547767,4092409.2115322594
55,404.0368,5.23,338593.6644773431,380913.53289449046,390007.2963249472,418755.0613519039
56,354.2429,20.1,5980141.615465889,1712080.6648941801,11113045.017791292,253030.37061942887
57,324.196,10.55,16582366.288457884,13837022.28507755,16608224.06744862,4357273.97956187
58,607.3224,31.18,5529.808973090684,4080.550174520096,3790.6936393406577,4283.540109233302
59,470.2307,16.48,785112.4842959656,324328.45471074525,716847.3612372552,59864.13309091727
