,mz,rt,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_2.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_3.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_4.mzML
1,313.1734,12.27,10391872.393197821,7878370.18618804,9438194.982061228,2193935.01150822
2,453.2079,15.98,52427.99899706613,125651.10367381014,44884.07143807726,111245.64084652906
3,495.2184,26.16,51514.669144419786,86472.84422731149,73740.27137989708,95407.76029062003
4,376.1464,13.0,9868576.310053015,5530828.7968776375,8707209.554943813,8014942.977660469
5,531.1562,12.32,2828156.2634715983,3392345.5773821967,2930553.096922985,2641426.2029369967
6,407.2227,3.16,713.8446108855401,2158.5084745762724,1611.14455483546,928.4974284001007
7,278.1905,12.21,417342.7775331879,1005023.0142509199,31446.78757484502,343206.2818809559
8,345.2421,25.17,35568.16239928401,35879.531856132824,31251.247223056474,39232.182818429275
9,268.1907,3.98,3659326.5973854866,3851285.6687642867,5549297.306319814,3696099.473223519
10,416.9905,24.66,2857853.405752672,1735356.3624254866,2894154.3332839888,617368.5273675139
11,264.1749,11.99,185838.13672064547,351999.51713168266,10189.558755581773,67169.23280625422
12,320.1409,3.61,21623.89468529152,22162.61277068843,21485.06238090727,19258.191709866052
13,414.1546,5.31,1318718.2056858588,1329854.4051801572,1806237.407393808,1231424.647167162
14,270.1851,9.88,99333.46117791344,68321.98215788417,77339.23443761907,15122.916653514581
15,261.1963,6.7,5035038.422981888,4984484.500871381,1685384.0234406365,4071253.19302154
16,340.1543,4.82,788731.9704980094,698103.3119151394,508097.7119571064,1050682.3564680219
17,214.1088,5.45,86973.5812120511,79390.65219988546,63316.3379240153,94567.98429102896
18,361.1992,8.6,1577003.660884246,1286576.753916709,1092338.4070976784,2058394.1193347187
19,288.2323,9.87,8568768.210373761,10386872.013215497,9076268.414836612,5282611.974338446
20,315.2316,28.05,264806.1779508321,301340.6889115903,364836.39548643294,194812.87298141784
21,286.1914,4.34,5374856.185425602,5014576.129477813,5169855.583604129,3320022.3038707096
22,249.0903,4.85,1400595.6605805526,1230155.075859589,1017076.9547673333,1199365.7400454802
23,277.0641,6.49,39102.75923827,40504.89971568213,37537.91707985268,38472.43723128727
24,399.0755,11.79,1047.123467497005,176.0073379886171,12048.422312837774,277.85212362824717
25,371.1612,18.82,209860.13111559628,32119.240549696122,541918.73831963,6004.8449922974
26,317.1642,3.86,231.22559906576862,152.95219657929627,181.4060101175399,109.34511709551728
27,408.1716,16.88,15420166.218667721,8512415.845577251,20461441.93619892,5539926.870667671
28,302.248,11.25,4058406.489666635,2201370.1074066693,2864127.200886963,636358.6328808318
29,256.1808,4.24,3522298.3455919917,4837882.575003583,4082394.4718714105,3356233.4054075857
30,279.1856,4.92,3311821.632457706,1828042.913661646,3784997.767192545,693643.7064363554
31,245.2014,9.51,11340232.261620281,7615878.1663910085,9248958.679569706,3090195.925014065
32,180.1017,5.78,49.66950336327736,24.85423728871438,62.91905318527202,54.53326514765465
33,355.2015,4.19,2821273.8716297974,2828549.1415419527,2436051.3299960685,1936608.6386915792
34,337.2121,3.96,25398.388063759714,29641.14104820801,27770.492032106362,37135.09522643103
35,310.1261,5.79,534523.1793295508,307606.9696979917,1437847.0403092827,131773.30376386366
36,327.1369,5.37,650131.8517656829,1050962.622576359,494415.9368185813,525613.221495183
37,384.144,4.1,143127.5621086863,160276.26607064373,81910.6315903432,289313.7375809503
38,235.1802,3.41,404973.01916233887,366605.0644234619,373800.21024742187,404893.4240734081
39,195.0917,3.59,1838265.0863569952,1778647.037047988,1662295.6849631243,1608493.8388746695
40,438.182,15.79,2048061.1798245087,2138874.3866386693,2014010.1875393896,681826.7026368128
41,361.1199,31.45,121.91521527087455,0.0,5.123555468296871,31.28969720123549
42,242.1175,25.46,42389.629674590135,56327.487708013556,34085.55777307699,57661.89913592447
43,430.2586,12.2,250918.53647286104,302501.74358900706,76919.45410708713,65214.0161787197
44,180.1747,5.4,892.2390224705139,298.3411706728738,1299.0732507956031,462.72597556232154
45,484.1226,13.99,154794.5648462579,33743.246819525724,347803.009991559,799.8974077828759
46,480.2131,12.87,2418831.5092312745,609273.3721948134,2567203.026155343,125329.45733920221
47,254.1539,5.24,110313.1599868614,123810.93184404547,59031.23800530359,130087.85777713756
48,285.0206,4.69,196728.74270429302,264431.4645637416,209112.79622988243,249053.45634482603
49,311.0809,7.24,83920.76083124765,112068.40578418302,77504.42963500095,127838.11493434041
50,397.0093,22.45,1786591.860820604,730781.6401397786,1607910.5018702513,179644.88361564826
51,338.2514,25.64,2620781.3340288047,1459706.641353667,9447902.348546475,394489.5597542936
52,377.2109,31.67,97938.5854854031,110629.00613632945,118983.2823838178,63254.85388910751
53,381.0322,21.86,504278.33254676237,67355.49065577015,2824449.135069862,29989.78389366655
54,312.1378,16.4,5850002.114174956,6193712.476399868,5664055.762396848,6317048.042815149
55,404.0368,5.27,378924.4898644843,396758.7311514952,391641.1211131158,420651.1150671829
56,354.2429,20.27,829713.2906077929,104980.8800198013,5052339.365023316,32599.435148461176
57,324.196,10.39,2508182.684844017,1255895.8265033376,2020932.2161944434,173128.85733136817
58,607.3224,31.06,140.67925746987441,30.1560119634114,39.99523809663948,0.0
59,470.2307,16.3,727209.3280682092,634218.0140607054,262527.88694750634,116180.28401719345
60,427.2136,4.55,732971.8134575031,625567.2919320371,921767.374484007,570031.1910513167
61,349.2121,3.6,460171.085522556,547548.5220165505,356770.2470113116,578335.8895989729
62,400.1475,3.98,143849.54882023582,159267.59910375217,121889.22148396459,152807.87733409752
63,296.1469,11.82,3292686.796611715,446427.92228807096,4599433.676873615,147236.83890310375
64,318.2793,21.38,13783192.270216087,5310985.797257925,12859598.130613584,480839.93595038925
65,442.2221,17.83,6983402.440951235,6498825.295285715,10492501.74286705,6523990.896709047
66,914.5269,31.74,514436.74560616206,364680.606280242,630964.862996062,637624.8635375473
67,294.069,27.09,558251.6779787609,490877.5129913759,456223.53666309465,519388.1237595004
68,266.1653,6.6,11415.602562527285,18209.79000378056,7207.02378489239,23336.483713451504
69,345.1807,3.77,76129.94380462887,42950.09277114811,61584.89159075419,65237.31230765959
70,383.2803,5.52,206.43442385664704,15.79658388972066,63.16306253652835,113.85321245541668
71,383.2789,31.23,486.00253194093517,892.2310765313947,528.7539381808442,570.080959602767
72,333.1403,0.52,127672.97803282128,141630.8315177678,164105.04116466682,270241.3814962809
73,416.2774,18.79,258270.61120596493,68664.59737873651,1338869.812780281,16268.049012399966
74,346.1019,5.43,82181.84934999172,41383.99102361123,91612.04823543486,22597.005720359957
75,411.1975,12.38,189643.99149045692,224020.6523832486,206569.10923027332,246762.5011809685
76,325.2163,25.75,862278.6106819677,1223558.703340537,871225.2951979494,1661758.0456586613
77,1019.4478,4.57,29483.89908768292,28552.827117175606,26947.463642884686,22176.55370651281
78,435.0565,29.33,2481649.170440181,5000130.366027637,3904754.5231695035,4870560.2727331165
79,364.0948,26.5,6001965.362438478,6161070.233114024,5650916.934325589,3616807.3031916977
80,214.071,0.52,23.417358068464033,17.22407948512914,58.871189159204405,0.0
81,201.1385,5.27,50504.029059078544,46669.18081358218,63808.22655702196,35806.6588072656
82,469.2698,5.41,1957380.759214113,597593.5356081525,2387124.4301642524,283243.41125366505
83,312.1959,13.03,2613579.9290078403,1461929.7136593729,2774675.8338828213,1448591.450108314
84,239.0743,15.0,323.50951767062423,187.00289659020083,316.03182893673113,237.18724335409482
85,307.2267,17.45,747781.8791099002,740727.3607946464,776534.9773355256,753329.3576653958
86,325.1546,4.22,1207853.2241180725,1587126.062799788,1597395.6143515843,1003096.359480703
87,329.2172,3.46,1533166.0755407035,1857697.1207907968,1550766.6700044686,1692795.6569564342
88,471.264,12.36,3194113.7642003656,1589954.731658449,3028267.771926453,246795.6676510885
89,612.307,25.64,17623.396475307694,13041.390755011205,17671.220030620636,7064.730929595441
90,337.2176,13.03,575601.3943156268,462341.6070683846,572778.3955202502,757417.5790902907
91,368.1737,3.56,6170740.750513114,5975127.14293046,4809184.527785143,5192601.256724155
92,422.176,6.14,409739.64659063827,373509.59382983577,431407.6081073306,409482.7431944871
93,441.2419,8.5,6571105.630813949,3550474.252809121,7927355.081000381,1384063.3910782123
94,258.1127,16.86,214162.33488461285,198678.77076974083,129618.38656997804,110400.69286312388
95,316.1766,3.39,976121.3275162692,722395.9049249444,1034778.8639788195,759165.8291268143
96,222.1854,4.09,3833506.6941144047,4181861.603525665,3318142.5425731246,3754688.396070776
97,836.3853,30.09,297295.04624913423,90791.82232996447,336236.5440767823,104591.7106379109
98,308.1756,3.68,653152.9054881064,886796.8512290836,683513.7622275657,586663.8821445444
99,542.3112,32.01,2307173.746193567,1381273.1016301787,2262653.821454969,1936625.3141848843
100,556.3274,32.45,5252718.864830357,7591350.336837781,4341773.901834652,6846536.024663241
101,438.1702,6.01,1694005.3143765745,1101043.1598530563,1350019.8542238139,966405.9700810731
102,256.0969,15.58,687905.7176501325,631827.0061014143,663204.3726080054,878052.0915435207
103,278.1214,24.17,66273.63577521787,119.36210894061513,1078917.0026836542,13.873226715069764
104,335.1502,4.46,2025189.139917402,3103758.8322389657,1644156.688111594,3250918.5006824196
105,694.2863,26.11,5485315.285773575,3438723.406129891,6462039.17142049,1111625.8393193348
106,328.1908,6.24,6942900.460942332,6443310.5492376415,4107284.5974782095,4244307.741097647
107,247.1803,4.84,1185902.8332774772,1141335.314104354,1168312.6629697252,1247074.9665258767
108,168.1742,3.73,149882.99247724735,131274.4246151654,140736.2583717875,134013.79271844547
109,348.1453,3.12,227225.76555967744,295979.79868106137,302121.2646883985,231708.86919645223
110,292.1114,3.05,4536.271361776729,2934.696434833428,2658.525618541882,2223.977117199637
111,502.2384,23.1,1375230.297207172,183183.64616859055,2210767.70867109,40172.56160427448
112,632.2532,31.01,21.23399143234282,50.551004052599126,74.6676939384244,121.52780838597839
113,548.2423,22.26,1248288.5648257604,1090503.8581002967,1363427.8473215392,1336594.719214396
114,557.2059,4.84,1002576.4001348865,976859.3740891733,969333.0636852256,911301.284054628
115,484.1858,8.52,3612834.8585788244,3223134.2927894043,4270310.507987518,3809525.8334989995
116,451.2005,7.96,538026.7299012025,399897.5230084646,1129393.9196825945,116357.16498871258
117,470.3052,27.84,22879990.783851642,18636133.212767452,22000714.1719872,4833827.0575607065
118,449.1626,25.69,1169094.1972989074,1360295.8029319844,1352769.197406545,1814050.4267440683
119,349.1835,4.98,2401362.1799914963,2774829.7362475437,1910343.5640930394,2838353.98747952
120,420.1363,13.88,1654276.1306597185,1501694.5297965456,1792298.6592653021,2812320.5592531804
121,367.1666,11.16,1856384.350918509,1944565.510647506,2046867.1699253689,2081687.3629234948
122,355.1022,3.5,10328.609089632682,11531.385594142164,11771.16736648788,14152.905324725401
