Compound Name,mz_x,rt_x,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_3-20170326-960MIX_SampleA_4.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_4-20170326-960MIX_SampleA_5.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_2.mzML,rt_x,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_2.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_3.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_4.mzML,Compound formula,mz_y,rt_y,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
1,313.1734,12.27,3516987.3722404605,3836956.6012991215,227814.93231764212,786115.2692669033,12.27,3546744.779031303,682305.8264799828,2944118.4604416434,103207.6653312132,C19H24N2S,313.1734,12.27,4.44,0.0,4/1,2091968.5437810319,88.38384242597171,1819094.1828210354,92.46163264222457,0.8695609636334195,0.19584706388140077
2,453.2079,15.98,5573428.760546153,5174679.581554945,5758746.731202883,5380673.608146524,15.98,416.7454196713285,721.0984741005375,856.5254438114223,2470.2430387406475,C24H30F2O6,453.2079,15.98,0.05,0.0,1/16,5471882.170362625,4.590100010742515,1116.153094080984,82.5395919807361,0.00020397973847580415,0.0040795947695160826
3,495.2184,26.16,324811.2162456464,340828.62024360825,358002.24489071465,326402.7798690233,26.16,207736.2490215057,204677.9569167292,183575.3843136813,181376.2885055671,C26H32F2O7,495.2184,26.16,0.54,0.001,1/2,337511.21531224815,4.575922681145936,194341.46968937083,7.094360254908465,0.5758074424566189,1.0663100786233681
4,376.1464,13.0,11855413.195851922,14090660.57736316,6896374.41507302,8476343.641804513,13.0,14680126.913281675,15773076.574974224,9657659.928104302,15763801.79712332,C21H23ClFNO2,376.1464,13.0,1.35,0.014,1/1,10329697.957523152,31.466543763995837,13968666.30337088,20.899907269630255,1.3522821636035791,1.0016904915582068
5,531.1562,12.32,4569383.364494124,4095020.2729222113,5641175.921411864,5254824.9188641,12.32,4739297.782999501,5891299.337238211,4882044.36068836,6319627.405851972,C26H28Cl2N4O4,531.1562,12.32,1.17,0.284,1/1,4890101.119423076,14.129143070964577,5458067.221694511,14.106399430521014,1.1161460854082386,0.9539710131694348
6,407.2227,3.16,35934.9197739551,34167.25147811808,34081.52938078597,30442.4551724138,3.16,1269690.3617571534,1566749.363166945,1009384.0517928893,1592118.493606874,C18H34N2O6S,407.2227,3.16,0.28,0.0,1/4,33656.53895131824,6.8536895148497585,1359485.5675809656,20.26545710836258,40.392910558847525,144.26039485302687
7,278.1905,12.21,1107546.277903149,4657727.968297211,9467.437628158092,32340.218836685883,12.21,6893985.224406848,6987174.624076169,5166673.97170618,4003357.273175661,C20H23N,278.1905,12.21,0.54,0.0,1/2,1451770.475666301,151.3912208558734,5762797.773341214,25.005687475685654,3.9694964665101997,7.350919382426295
8,345.2421,25.17,217182.92556481887,231556.37560901215,218920.6824578227,243115.7674872307,25.17,116982.5344849674,118653.13197312634,107456.48414542568,124665.0528701256,C22H32O3,345.2421,25.17,0.54,0.0,1/2,227693.9377797211,5.3200317992739246,116939.30086841126,6.09796867969352,0.5135810905143304,0.9510760935450563
9,268.1907,3.98,3186366.3610997074,2872258.7072375505,3001487.316112167,3595482.3313392084,3.98,7436115.505909864,8168824.323382849,6430339.864157533,6753803.702964231,C15H25NO3,268.1907,3.98,2.06,0.001,2/1,3163898.6789471586,9.964856290518261,7197270.849103619,10.719858440967641,2.274810788662371,1.1042770818749372
10,416.9905,24.66,2261875.603206876,2477171.9452052275,323914.5652713645,740169.4122898595,24.66,9037746.132251564,6335540.269335675,10556910.85839818,1911003.7836735505,C18H14Cl4N2O,416.9905,24.66,3.91,0.0,4/1,1450782.8814933319,74.30361804217114,6960300.260914743,54.47997705285344,4.797616755548087,1.227011957940687
11,264.1749,11.99,735747.5778052558,3744648.931514981,6884.759620825337,32636.944818473163,11.99,987058.7035460654,679940.1625725664,136184.79400422555,71781.722888286,C19H21N,264.1749,11.99,0.27,0.0,1/4,1129979.553439884,157.12853768893592,468741.34575278586,93.91918495530355,0.4148228561533201,1.5363809487160003
12,320.1409,3.61,1632123.4591698176,1674479.6755007715,1603553.044163162,1582288.4073363177,3.61,26947308.490626957,28111781.77019001,24529683.23088292,25468452.77309149,C16H18FN3O3,320.1409,3.61,16.15,0.0,16/1,1623111.1465425172,2.456422612866157,26264306.566197846,6.02891103297176,16.18145905913157,1.001947929357992
13,414.1546,5.31,4572184.166140717,3739023.834427311,5396133.482457191,5062230.1885442445,5.31,4925752.540191599,4923244.569634793,5483693.401253366,4695690.815787884,C22H23NO7,414.1546,5.31,0.99,0.936,1/1,4692392.917892366,15.344936369841514,5007095.331716911,6.701338216096965,1.0670665094188014,1.0778449590088903
14,270.1851,9.88,588566.3412397939,1020480.8838924188,3195.4994839323062,54299.076933837256,9.88,1345704.3607255863,1267069.4144816543,1397299.5406653446,1591235.9870057155,C18H23NO,270.1851,9.88,0.92,0.3,1/1,416635.45038749557,115.6419970604563,1400327.3257195752,9.860410726169766,3.3610373875223245,3.6533015081764395
15,261.1963,6.7,22.374324666925453,67.15360538593089,35.41768104825628,25.606625578339266,6.7,54665021.76495358,59090033.05955461,44502181.12989219,52552262.0510219,C16H24N2O,261.1963,6.7,12.67,0.0,16/1,37.63805916986297,54.31656102394171,52702374.50135557,11.589449055217887,1400241.555057512,110516.30268804356
16,340.1543,4.82,53373613.71284036,56742857.42188276,42712301.90743452,40617091.25992416,4.82,2926051.166962932,2423041.4066094714,2205786.558627581,2592101.629813792,C20H21NO4,340.1543,4.82,0.09,0.0,1/16,48361466.075520456,16.33652966308281,2536745.190503444,11.980350954317123,0.0524538521338891,0.5828205792654345
17,214.1088,5.45,4651546.884207726,4810452.325144817,4525554.25712456,4386672.747371854,5.45,308936.1163678746,281087.7809629664,230910.8880574023,313901.82509888336,C11H11N5,214.1088,5.45,0.09,0.0,1/16,4593556.553462239,3.9312484841471735,283709.1526217817,13.410260515495098,0.06176241640215476,0.686249071135053
18,361.1992,8.6,114356.071463497,133371.87067444145,124552.82876790257,138544.80303586074,8.6,3203344.4638120867,3580485.298231597,3122933.841414228,3666999.547616228,C21H28O5,361.1992,8.6,18.5,0.0,16/1,127706.39348542545,8.308470496659055,3393440.7877685353,7.964356191084253,26.57220750780824,1.4363355409626075
19,288.2323,9.87,1244317.907734694,1206767.2908896492,16276.46455276648,122599.4885127389,9.87,24677281.802916948,24516469.304436486,17336333.61186721,11485979.688887732,C19H29NO,288.2323,9.87,4.07,0.0,4/1,647490.2879224622,103.33171687581728,19504016.102027096,32.54496326698019,30.122484407615897,7.401101820053046
20,315.2316,28.05,1057399.1343200763,1014166.050391213,1068478.1249572788,1094923.140985398,28.05,587595.1144457144,570328.4547077601,630591.799699371,585885.8809117767,C21H30O2,315.2316,28.05,0.54,0.001,1/2,1058741.6126634916,3.176297710463577,593600.3124411555,4.3557126504133725,0.5606658936809206,1.038270173483186
