Compound Name,mz_x,rt_x,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_3-20170326-960MIX_SampleA_4.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_4-20170326-960MIX_SampleA_5.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_2.mzML,rt_x,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_2.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_3.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_4.mzML,Compound formula,mz_y,rt_y,Fold change,Compound concentration ratio,p-value,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
1,313.1734,12.32,4360150.475522396,4061585.592452833,1009892.1278618568,2106966.057075988,12.32,3529474.702285207,698019.8444257526,2921945.6391070904,104886.0936825544,C19H24N2S,313.1734,12.32,4.44,4/1,0.0,2884648.5632282686,55.47248649274907,1813581.5698751512,91.91872909809526,0.6287010462881257,0.14159933474957787
2,453.2079,15.8,7051572.364827777,6608936.064676152,7189839.499566573,6630274.04687629,15.8,34705.8385856608,74130.04418075006,38185.07142835984,81420.83473620837,C24H30F2O6,453.2079,15.8,0.05,1/16,0.0,6870155.493986698,4.292402045766158,57110.447232744766,42.17916673945359,0.008312831824946661,0.1662566364989332
3,495.2184,26.07,318845.01135440904,334365.34200883016,350464.22945486265,321250.4139211337,26.07,201819.4684390149,196146.1829044177,180708.6664345765,173753.48625050532,C26H32F2O7,495.2184,26.07,0.54,1/2,0.001,331231.24918480887,4.38459664813489,188106.9510071286,6.954573081286854,0.5679021875806628,1.0516707177419682
4,376.1464,12.96,12120922.251404405,13891854.89973653,7770720.105113823,9316749.17749052,12.96,16388057.453369595,14780650.255441455,11997782.567002509,13093277.096741311,C21H23ClFNO2,376.1464,12.96,1.35,1/1,0.014,10775061.60843632,25.516824310733018,14064941.843138719,13.692364893788936,1.3053235660505729,0.9669063452226465
5,531.1562,12.46,4623542.117657077,4219088.500428921,5576949.503162012,5240780.079252879,12.46,4431015.862770234,5606600.2786846645,4565137.118957639,6112971.124490823,C26H28Cl2N4O4,531.1562,12.46,1.17,1/1,0.284,4915090.050125223,12.395464625192847,5178931.09622584,15.732007886996712,1.0536797990290931,0.9005810248111907
6,407.2227,3.3,5371873.511132177,5024764.202094424,3847492.195026391,2488673.470603558,3.3,1583882.053251258,1801876.3581780628,1119143.7373056384,1774227.6897895203,C18H34N2O6S,407.2227,3.3,0.28,1/4,0.0,4183200.8447141373,31.18466430769632,1569782.4596311199,20.109049475737205,0.3752586877617138,1.3402095991489777
7,278.1905,12.39,11905826.152573377,12520871.990988376,4061352.753141844,6998782.494112387,12.39,6863090.411925427,4199604.920981338,6903806.958665296,910600.9893564451,C20H23N,278.1905,12.39,0.54,1/2,0.0,8871708.347703995,45.633168369055696,4719275.820232127,60.11325353455711,0.5319466821126372,0.9850864483567354
8,345.2421,25.02,171439.15241068808,183167.1627001344,166906.04032329255,183120.5784444468,25.02,94659.79831958296,92383.22035994795,88421.43723401913,92439.03748208402,C22H32O3,345.2421,25.02,0.54,1/2,0.0,176158.23346964043,4.697998770720346,91975.87334890851,2.822498436854438,0.5221207748132867,0.9668903237283086
9,268.1907,3.94,3224071.965473645,2947641.807968716,2796883.426604072,3398077.848872979,3.94,7148948.472639511,8074223.620870375,5921524.526223019,6933312.062093325,C15H25NO3,268.1907,3.94,2.06,2/1,0.001,3091668.7622298533,8.74031846054217,7019502.170456558,12.58760035749145,2.2704573841195623,1.1021637786988165
10,416.9905,24.58,1207929.5576679404,1356870.0429662438,2111.630631077148,15074.402963639295,24.58,9166093.621023322,9433168.088531628,7272926.799014374,5177388.109176847,C18H14Cl4N2O,416.9905,24.58,3.91,4/1,0.0,645496.4085572251,114.3245731139547,7762394.154436543,25.42340619725306,12.025464513097107,3.075566371636089
