Compound Name,mz_x,rt,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA1.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA2.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB2.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB1.mzML,mz_y,RT,formula,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
1,371.1617,18.85,1315225379.848106,1151961595.0029063,930334947.9493464,1127337450.076028,1157412736.9246738,623007310.5519315,303867503.3871942,610177931.844246,697018499.7541319,514723599.7167936,371.1617,18.85,C21H26N2S2,0.47,0.0,1/2,1136454421.9602122,12.065560601026263,549758969.0508595,27.644774728791283,0.48374924539658026,1.0292537136097453
2,442.2233,17.66,61111515.76313154,61456558.07214682,63995474.36443012,63598385.54982301,62613966.36796155,1351705988.1900282,1387467584.7483244,1361585833.9313471,1443510574.9577346,1313836137.8386457,442.2233,17.66,C25H31NO6,21.23,0.0,16/1,62555180.02349861,2.03110706129117,1371621223.933216,3.507024083491649,21.926581034823524,1.0328111650882488
3,292.1118,3.01,60349799.796971306,65041974.20592182,83161891.89371352,65082911.62379029,75101167.5038621,27295865.846661396,23886506.970765915,39848382.52568965,31727077.282232963,44826866.55256373,292.1118,3.01,C14H17N3O2S,1.91,0.019,2/1,69747549.00485179,13.234472720276255,33516939.835582726,25.952402809157444,0.4805464896444062,0.25159502075623363
4,502.2395,22.78,390005645.5248635,395857247.1335661,372861240.2769241,391344440.0218016,406582131.1197175,399300771.0507039,264168545.67667452,485124558.9898226,533384927.0309646,502170601.29123896,502.2395,22.78,C27H31N7OS,1.06,0.29,1/1,391330140.81537455,3.1191760009111382,436829880.8078809,24.852818031673188,1.1162694493649357,1.0530843861933354
5,342.1706,3.37,128907372.3589845,100116109.31875716,122624202.91509476,124575851.55039436,136452412.24589938,155470019.35438788,179615485.76758847,143913559.62503383,143840890.3033269,142925397.93952549,342.1706,3.37,C20H23NO4,1.07,0.399,1/1,122535189.67782602,11.108158563330154,153153070.5979725,10.23223240601236,1.2498701067068827,1.1681029034643764
6,455.1791,17.2,2298894.27125663,2203660.204050128,1494241.1524166234,2180907.706017738,2188431.994758944,1915434.411426584,1356041.4326286034,2238691.746716343,2664294.9824527297,2155877.257578714,455.1791,17.2,C20H22N8O5,0.93,0.098,1/1,2073227.0657000125,15.778309837879167,2066067.9661605947,23.244739569195694,0.9965468811121272,1.0715557861420721
7,408.1344,29.02,2526113.7483796705,2498004.445710352,2535512.7389247008,2525263.644145172,2711846.109868132,2125628.1331200125,1545495.7948790868,2226950.9925852264,2124774.7705452447,2396280.511679021,408.1344,29.02,C21H24ClO6,0.84,0.157,1/1,2559348.1374056055,3.3754776595516782,2083826.0405617184,15.388880149469692,0.8142018704317731,0.9692879409902061
8,359.2447,0.58,27556016.660990264,22932842.575727947,20846415.88693817,26487816.132695053,24915672.3408199,42795144.36358066,38417804.18184145,36981773.01609434,41128282.86868009,43809200.49838367,359.2447,0.58,C20H30N4O2,0.99,0.847,1/1,24547752.719434265,11.017190883612018,40626440.98571604,7.0963639801770855,1.6549963432519181,1.6717134780322405
9,527.3126,26.96,27775175.527228385,25742817.661847018,26906475.191767685,26213568.30834142,32846353.40232437,23296148.55799244,24369338.421128336,23472938.18737108,24592498.701046944,26420973.030097067,527.3126,26.96,C31H38N6O2,0.85,0.151,1/1,27896878.018301778,10.290843552659874,24430379.379527174,5.094282842991409,0.8757388322628645,1.0302809791327818
10,571.3155,5.54,44779898.17957129,45028101.08805798,38847796.356548585,46609299.47307946,44905355.97141668,53581135.66632004,53708813.80437095,52574945.455460496,48926092.59653667,47499173.60410665,571.3155,5.54,C31H38N8O3,1.01,0.932,1/1,44034090.2137348,6.797057951745994,51258032.22535896,5.5784161349400465,1.1640533953707286,1.1525281142284443
11,360.9916,28.92,779832.3342427714,614790.2838755677,504989.33456077287,532299.3398737487,697709.6332368263,475599.8579015497,667355.4297490269,609485.3653550867,505685.2409189688,663434.3058091688,360.9916,28.92,C14H11Cl3N2O3,0.95,0.463,1/1,625924.1851579375,18.27806359406237,584312.0399467603,15.257224200167801,0.9335188730554047,0.9826514453214786
12,312.1234,23.36,702179285.2738277,804845552.2744629,890223989.4968307,815008703.0191513,848887536.7153519,721930263.4377917,728700752.2529026,636425454.5339546,461344325.0281295,410053176.98091006,312.1234,23.36,C18H17NO4,0.67,0.073,1/1,812229013.3559248,8.618313619471078,591690794.4467376,25.027572035033753,0.7284777873201315,1.0872802795822858
13,205.0975,3.34,75615066.90797806,74032641.1243096,84813939.53532283,75993612.4007392,86706828.75658472,65340264.852075055,72326907.04814655,81044211.11462528,63899841.99197205,65234682.35819612,205.0975,3.34,C11H12N2O2,0.91,0.113,1/1,79432417.74498688,7.379342838936606,69569181.473003,10.367720739663564,0.8758285779031778,0.9624489867067888
14,338.0867,3.32,27688946.86328792,21996344.904742904,26827707.677919023,28438103.0804036,29165947.89309315,27401344.23444449,33058134.683287557,28616899.29044006,24351093.54264836,28692188.555127434,338.0867,3.32,C15H20BrN3O,0.94,0.406,1/1,26823410.08388932,10.568394046680414,28423932.06118958,11.016220448707424,1.059668847931515,1.1273072850335266
15,444.0999,19.69,168961140.47213215,151971673.2591066,148632400.13819918,149158913.00537214,146841753.12186876,152181959.63118145,166060941.94810316,161180664.6407265,185402699.7946952,178531185.37236696,444.0999,19.69,C17H11F6N7O,1.05,0.36,1/1,153113175.99933577,5.9097159246516595,168671490.27741465,7.909734713608943,1.1016131640959912,1.0491553943771343
17,454.2245,3.35,11602205.035574416,9672623.108517677,11182004.681585949,11113081.4633796,11693050.655678662,11945901.43966838,12458006.390443852,13959946.21713256,12046014.261011932,11093965.292895224,454.2245,3.35,C27H27N5O2,1.18,0.042,1/1,11052592.988947261,7.346144280850904,12300766.720230391,8.550363635673317,1.1129303985527488,0.9431613547057194
18,442.2246,3.3,30583725.189867266,26133279.924740557,30903592.9945438,33500201.464473013,28744809.668658637,27651333.748310585,29430735.553930733,29663312.171419896,32825734.43143408,28667194.5031868,442.2246,3.3,C26H27N5O2,1.14,0.011,1/1,29973121.84845666,9.126540526897484,29647662.08165642,6.5521376271661325,0.9891416126606446,0.8676680812812673
19,510.2657,3.69,26352985.03510847,27278586.170847148,30622966.356306348,26388800.865126133,31213944.17718205,30079713.5217438,25947880.304183178,27738598.202298284,26094017.31407553,25349265.83334689,510.2657,3.69,C26H35N7O2S,1.07,0.166,1/1,28371456.52091403,8.33130504535231,27041895.035129536,7.082852242943831,0.9531373553273725,0.8907825750723107
20,310.1077,23.76,571100563.3593272,607031952.2827417,627328489.298113,578131837.2687619,622388472.6869367,605002435.5099653,590648482.5806103,593004566.5301243,621522674.7287055,612102852.7157526,310.1077,23.76,C18H15NO4,1.03,0.144,1/1,601196262.979176,4.243807120350514,604456202.4130316,2.1440453026815165,1.005422421319955,0.9761382731261699
