mz,rt,Compound Name,formula,Fold change,p-value,Compound concentration ratio
371.1617,18.85,1,C21H26N2S2,0.47,0,1/2
442.2233,17.66,2,C25H31NO6,21.23,0,16/1
292.1118,3.01,3,C14H17N3O2S,1.91,0.019,2/1
502.2395,22.78,4,C27H31N7OS,1.06,0.29,1/1
342.1706,3.37,5,C20H23NO4,1.07,0.399,1/1
455.1791,17.2,6,C20H22N8O5,0.93,0.098,1/1
408.1344,29.02,7,C21H24ClO6,0.84,0.157,1/1
359.2447,0.58,8,C20H30N4O2,0.99,0.847,1/1
527.3126,26.96,9,C31H38N6O2,0.85,0.151,1/1
571.3155,5.54,10,C31H38N8O3,1.01,0.932,1/1
360.9916,28.92,11,C14H11Cl3N2O3,0.95,0.463,1/1
312.1234,23.36,12,C18H17NO4,0.67,0.073,1/1
205.0975,3.34,13,C11H12N2O2,0.91,0.113,1/1
338.0867,3.32,14,C15H20BrN3O,0.94,0.406,1/1
444.0999,19.69,15,C17H11F6N7O,1.05,0.36,1/1
397.1778,4.69,16,C23H20N6O,0.77,0.032,1/1
454.2245,3.35,17,C27H27N5O2,1.18,0.042,1/1
442.2246,3.3,18,C26H27N5O2,1.14,0.011,1/1
510.2657,3.69,19,C26H35N7O2S,1.07,0.166,1/1
310.1077,23.76,20,C18H15NO4,1.03,0.144,1/1
200.1107,3.34,21,C10H17NOS,0.91,0.112,1/1
309.1601,4.45,22,C19H20N2O2,0.86,0.072,1/1
478.0977,22.77,23,C21H15F4N5O2S,0.23,0.2,1/4
329.1535,0.58,24,C15H24N2O4S,0.99,0.707,1/1
374.2121,19.36,25,C25H27NO2,0.98,0.716,1/1
408.1383,26.89,26,C22H21N3O3S,1.01,0.711,1/1
313.1736,12.3,27,C19H24N2S,4.12,0,4/1
453.2091,15.47,28,C24H30F2O6,0.05,0,1/16
495.2201,25.94,29,C26H32F2O7,0.45,0,1/2
376.1461,12.76,30,C21H23ClFNO2,1.07,0.16,1/1
531.1575,12.31,31,C26H28Cl2N4O4,0.95,0.542,1/1
407.2218,3.35,32,C18H34N2O6S,0.26,0,1/4
345.2429,24.87,33,C22H32O3,0.55,0,1/2
268.1912,3.99,34,C15H25NO3,2.21,0,2/1
416.9913,24.69,35,C18H14Cl4N2O,3.68,0,4/1
264.1751,12.14,36,C19H21N,0.27,0,1/4
320.141,3.46,37,C16H18FN3O3,22.46,0,16/1
414.1554,5.18,38,C22H23NO7,0.8,0.032,1/1
270.1856,9.97,39,C18H23NO,0.89,0.05,1/1
261.1965,6.83,40,C16H24N2O,12.59,0,16/1
340.1549,4.97,41,C20H21NO4,0.12,0,1/4
214.1091,5.47,42,C11H11N5,0.06,0,1/16
288.2324,9.91,43,C19H29NO,3.43,0,4/1
315.2323,28.05,44,C21H30O2,0.46,0.001,1/2
286.1917,4.29,45,C17H23N3O,9.21,0,16/1
277.0646,6.39,46,C13H12N2O3S,0.51,0,1/2
399.0764,11.63,47,C18H14N4O5S,0.24,0,1/4
